epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1
1,21.9813605750079,0.09043315607434178,10.102459907531738,0.13829365079365077,0.14285714285714285,0.10386715787994127
2,10.019216672073338,0.2439004125678654,6.767478942871094,0.21917989417989417,0.23015873015873015,0.1992879983603952
3,4.539350716054132,0.40915057852849496,4.922106742858887,0.283531746031746,0.29365079365079366,0.2497177904492146
4,3.139050075806767,0.497240274866061,5.747639179229736,0.26446608946608946,0.2777777777777778,0.2218949962263551
5,2.162544044077704,0.5818300680370155,3.718843460083008,0.30747354497354495,0.31746031746031744,0.3080587091399506
6,1.454673043832106,0.6667710772974562,3.9657700061798096,0.36011904761904767,0.36507936507936506,0.3401947056068573
7,1.232313396085355,0.7352034593209497,3.086416482925415,0.33925565175565175,0.35714285714285715,0.33222381214512275
8,0.8377163761043712,0.7740198785720188,3.2491707801818848,0.33642376142376146,0.3412698412698413,0.32972331128661053
9,0.7223665448556463,0.7996467382074326,3.17940616607666,0.3604497354497354,0.35714285714285715,0.33597456393509023
10,0.5873159153736397,0.8483361445361403,2.9501237869262695,0.417893217893218,0.42063492063492064,0.4075547267958415
11,0.4662641674639231,0.8581612348507853,2.7285284996032715,0.4378787878787879,0.4365079365079365,0.43072768083957347
12,0.4160157212804804,0.8695825887226571,2.799604654312134,0.4134680134680135,0.4126984126984127,0.4022261753840701
13,0.34742367365068905,0.8975814519716083,2.690659284591675,0.4524891774891775,0.4603174603174603,0.44397311775689996
14,0.29045492703040576,0.9192473814864557,2.5690860748291016,0.4587121212121212,0.4603174603174603,0.45045401114480055
15,0.2543410680380212,0.9330176721061326,2.5848469734191895,0.43846801346801345,0.4365079365079365,0.4301914529037964
16,0.21898100067334003,0.9369446030779689,2.584703207015991,0.42550505050505044,0.42063492063492064,0.42306236066247505
17,0.1908366332366011,0.9444948966840786,2.692939519882202,0.41578282828282825,0.4126984126984127,0.408064593358711
18,0.17023842503507453,0.9533422698939656,2.6443653106689453,0.4296717171717172,0.42857142857142855,0.4204661501352678
19,0.15334443073469678,0.964649145208194,2.603137493133545,0.44326599326599325,0.4444444444444444,0.4345875647829982
20,0.1383724113775613,0.9733339274493518,2.6320159435272217,0.42874579124579126,0.42857142857142855,0.4183636173767753
21,0.11926107734390462,0.9733036903908129,2.604752540588379,0.4601010101010101,0.4603174603174603,0.45710498355958706
22,0.11241502153227129,0.9706457554063409,2.6258153915405273,0.4650613275613275,0.4603174603174603,0.4543803418803419
23,0.1007606845458075,0.9769895878267102,2.6163442134857178,0.45811688311688314,0.4523809523809524,0.45067262475170233
24,0.08692176411771528,0.9829154966673913,2.5934395790100098,0.45811688311688314,0.4523809523809524,0.4513619079313205
25,0.08331150103764362,0.9861822847565987,2.634150743484497,0.45117243867243867,0.4444444444444444,0.4417674718662963
26,0.07214116548763495,0.9893269388446493,2.529940605163574,0.45315656565656565,0.4523809523809524,0.4464219059807295
27,0.0632907897554556,0.9909609257727539,2.545823335647583,0.472005772005772,0.46825396825396826,0.46688128661955886
28,0.05799255591918187,0.9925041356492968,2.583721160888672,0.46645021645021645,0.4603174603174603,0.461658248418205
29,0.05285463366728026,0.9951923076923076,2.545517921447754,0.459505772005772,0.4523809523809524,0.45257126185834623
30,0.046632016189845214,0.9967948717948718,2.5411856174468994,0.4664502164502164,0.4603174603174603,0.4595078639036439
31,0.04294241180646645,0.9967948717948718,2.552783966064453,0.4803391053391053,0.47619047619047616,0.4727056821672517
32,0.039264136242476676,0.9967948717948718,2.5998358726501465,0.4803391053391053,0.47619047619047616,0.4757858691634727
33,0.03720146929925362,1.0,2.591304063796997,0.4733946608946608,0.46825396825396826,0.4667989410588976
34,0.03424815319978637,1.0,2.589174270629883,0.4733946608946608,0.46825396825396826,0.4667989410588976
35,0.03206911945968815,1.0,2.604127883911133,0.46645021645021645,0.4603174603174603,0.46057802118089497
36,0.030202345996325684,1.0,2.625169277191162,0.46645021645021645,0.4603174603174603,0.46057802118089497
37,0.02844325226383755,1.0,2.6068148612976074,0.47339466089466087,0.46825396825396826,0.4657629287271219
38,0.02688485328845436,1.0,2.583085060119629,0.46645021645021645,0.4603174603174603,0.460639818239355
39,0.0252925513565489,1.0,2.6273069381713867,0.46506132756132756,0.4603174603174603,0.45741777957859003
40,0.024401212954274963,1.0,2.6142382621765137,0.4664502164502164,0.4603174603174603,0.45760062399097406
41,0.02327606651015105,1.0,2.604933500289917,0.46645021645021645,0.4603174603174603,0.4580170638565106
42,0.021689899640859916,1.0,2.5953357219696045,0.4650613275613276,0.4603174603174603,0.4598494658665218
43,0.02097522504884179,1.0,2.621002435684204,0.4650613275613276,0.4603174603174603,0.4591193786852343
44,0.01995468053088336,1.0,2.6701982021331787,0.4581168831168831,0.4523809523809524,0.44754921991679963
45,0.01958089573196618,1.0,2.6724188327789307,0.47200577200577204,0.46825396825396826,0.46803960205999506
46,0.01875416346522699,1.0,2.6260170936584473,0.4650613275613276,0.4603174603174603,0.4596092270011695
47,0.01739525907511042,1.0,2.6279590129852295,0.47200577200577204,0.46825396825396826,0.4664056151318905
48,0.016577173572629948,1.0,2.6562209129333496,0.45117243867243867,0.4444444444444444,0.4440218052861131
49,0.01619966054998864,1.0,2.6509850025177,0.4733946608946609,0.46825396825396826,0.47066152427910396
50,0.01590872985565724,1.0,2.621593475341797,0.459505772005772,0.4523809523809524,0.4547890739178318
51,0.01517754661723997,1.0,2.637115478515625,0.47339466089466087,0.46825396825396826,0.46822153902365377
52,0.014772615874772844,1.0,2.6554596424102783,0.46506132756132756,0.4603174603174603,0.4574600423551818
53,0.014110803060720893,1.0,2.6482179164886475,0.45811688311688314,0.4523809523809524,0.45075279844966204
54,0.013718225212572158,1.0,2.656808853149414,0.46506132756132756,0.4603174603174603,0.4570724294186619
55,0.013440973737730729,1.0,2.6641149520874023,0.472005772005772,0.46825396825396826,0.4638453052356553
56,0.012708139815808574,1.0,2.6748414039611816,0.46506132756132756,0.4603174603174603,0.4545777481739806
57,0.01245887716190181,1.0,2.648308038711548,0.47339466089466087,0.46825396825396826,0.4683597687740237
58,0.01235585343637688,1.0,2.6317946910858154,0.47339466089466087,0.46825396825396826,0.46835519139128784
59,0.011970768206578114,1.0,2.6449005603790283,0.47339466089466087,0.46825396825396826,0.4672439980461129
60,0.011369902430592736,1.0,2.6701014041900635,0.4803391053391053,0.47619047619047616,0.4738610369212162
61,0.01118630032646574,1.0,2.6875498294830322,0.47339466089466087,0.46825396825396826,0.46752402158047696
62,0.01066762786807425,1.0,2.66743803024292,0.47339466089466087,0.46825396825396826,0.4672706536407909
63,0.010386066654738738,1.0,2.6532039642333984,0.4664502164502164,0.4603174603174603,0.46064313181256294
64,0.01023529781182513,1.0,2.6574323177337646,0.4664502164502164,0.4603174603174603,0.46064313181256294
65,0.009872786243880575,1.0,2.665912628173828,0.4803391053391053,0.47619047619047616,0.47447911693404504
66,0.009692951612071921,1.0,2.67893648147583,0.4803391053391053,0.47619047619047616,0.47447911693404504
67,0.00949683559901384,1.0,2.676844835281372,0.48033910533910534,0.47619047619047616,0.47692337532573487
68,0.009583623172545392,1.0,2.6705102920532227,0.48728354978354976,0.48412698412698413,0.48392323384299574
69,0.009062822454524019,1.0,2.671470880508423,0.4803391053391053,0.47619047619047616,0.4749363057384206
70,0.008919132538396294,1.0,2.6706955432891846,0.48728354978354976,0.48412698412698413,0.48313684387924827
71,0.008631696943802801,1.0,2.666288375854492,0.48728354978354976,0.48412698412698413,0.483791364796927
72,0.008386264977537467,1.0,2.680065393447876,0.4803391053391053,0.47619047619047616,0.47437533320210296
73,0.008232891858553774,1.0,2.6620242595672607,0.48033910533910534,0.47619047619047616,0.47727856315420736
74,0.007992262189819922,1.0,2.695861339569092,0.48033910533910534,0.47619047619047616,0.476945562821207
75,0.00775834758927895,1.0,2.6913156509399414,0.48728354978354976,0.48412698412698413,0.4834633953471041
76,0.007603699224399925,1.0,2.676164150238037,0.48033910533910534,0.47619047619047616,0.4771180956024355
77,0.007361705449414592,1.0,2.6849117279052734,0.48033910533910534,0.47619047619047616,0.476945562821207
78,0.007171726604465158,1.0,2.687696695327759,0.48033910533910534,0.47619047619047616,0.47665252252816676
79,0.007060529622481735,1.0,2.6896307468414307,0.47339466089466087,0.46825396825396826,0.46577354977102475
80,0.006986709135278367,1.0,2.6953213214874268,0.4803391053391053,0.47619047619047616,0.47300282986781844
81,0.006830635903765433,1.0,2.699852705001831,0.4803391053391053,0.47619047619047616,0.47327480298996133
82,0.0067589818956827336,1.0,2.7066454887390137,0.4942279942279943,0.49206349206349204,0.4898572821657186
83,0.006503177688115641,1.0,2.689180612564087,0.4942279942279943,0.49206349206349204,0.4890947837945247
84,0.0064638637762882215,1.0,2.684656858444214,0.48728354978354976,0.48412698412698413,0.48187554576486463
85,0.006374040951154062,1.0,2.691624641418457,0.4942279942279942,0.49206349206349204,0.4910931174089069
