contrast,seed,left_method,right_method,delta_pp
A2_finetune_minus_direct,11,A2_linearW_lif_finetune,A2_linearW_direct_lif,-0.9099927849927858
A2_finetune_minus_direct,23,A2_linearW_lif_finetune,A2_linearW_direct_lif,-0.8335414585414647
A2_finetune_minus_direct,37,A2_linearW_lif_finetune,A2_linearW_direct_lif,-1.9665750915750957
B6_finetune_minus_direct,11,B6_linearW_lif_finetune,B6_linearW_direct_lif,-3.4133921633921647
B6_finetune_minus_direct,23,B6_linearW_lif_finetune,B6_linearW_direct_lif,-0.5221861471861544
B6_finetune_minus_direct,37,B6_linearW_lif_finetune,B6_linearW_direct_lif,-1.5699578199578124
A2_finetune_minus_random,11,A2_linearW_lif_finetune,randomW_lif_train,3.277417027417029
A2_finetune_minus_random,23,A2_linearW_lif_finetune,randomW_lif_train,0.04960317460317443
A2_finetune_minus_random,37,A2_linearW_lif_finetune,randomW_lif_train,-2.822663447663448
B6_finetune_minus_random,11,B6_linearW_lif_finetune,randomW_lif_train,0.33730158730159165
B6_finetune_minus_random,23,B6_linearW_lif_finetune,randomW_lif_train,-3.5128066378066314
B6_finetune_minus_random,37,B6_linearW_lif_finetune,randomW_lif_train,1.3077200577200632
B6_direct_minus_A2_direct,11,B6_linearW_direct_lif,A2_linearW_direct_lif,-0.43671606171605815
B6_direct_minus_A2_direct,23,B6_linearW_direct_lif,A2_linearW_direct_lif,-3.873765123765116
B6_direct_minus_A2_direct,37,B6_linearW_direct_lif,A2_linearW_direct_lif,3.733766233766228
B6_finetune_minus_A2_finetune,11,B6_linearW_lif_finetune,A2_linearW_lif_finetune,-2.940115440115437
B6_finetune_minus_A2_finetune,23,B6_linearW_lif_finetune,A2_linearW_lif_finetune,-3.562409812409806
B6_finetune_minus_A2_finetune,37,B6_linearW_lif_finetune,A2_linearW_lif_finetune,4.130383505383511
