method,init_source,checkpoint_role,seed,checkpoint_epoch,val_lif_ba,test_lif_ba,val_linear_ba,test_linear_ba,test_mean_total_output_spikes_per_sample,test_silent_sample_fraction,weight_relative_frobenius_drift,weight_norm_ratio,weight_mean_class_cosine
A2_linearW_direct_lif,a2,direct_transfer,11,0,0.49297138047138045,0.5123529248529248,0.5236531986531987,0.5306318681318681,228.29452514648438,0.0,0.0,1.0,1.0
A2_linearW_direct_lif,a2,direct_transfer,23,0,0.5253427128427128,0.5666701354201354,0.5722643097643098,0.5961822899322898,216.19862365722656,0.0,0.0,1.0,1.0
A2_linearW_direct_lif,a2,direct_transfer,37,0,0.4946188071188071,0.49502997002997,0.566576479076479,0.5666909479409479,225.23287963867188,0.0,0.0,1.0,1.0
A2_linearW_lif_finetune,a2,best_val_ba,11,9,0.5207491582491582,0.503252997002997,0.5143638768638769,0.49748792873792863,213.71917724609375,0.0,0.06740119376874378,1.005307565101577,0.9977438456997358
A2_linearW_lif_finetune,a2,best_val_ba,23,6,0.5293410293410294,0.5583347208347208,0.5447510822510823,0.5829247141747141,213.28082275390625,0.0,0.04734506957812831,1.0055764494465858,0.9988802450633884
A2_linearW_lif_finetune,a2,best_val_ba,37,4,0.5306036556036557,0.47536421911421906,0.5648929773929774,0.5482427294927296,214.82876586914062,0.0,0.03468860880193296,1.0044201116938916,0.9994291152175881
B6_linearW_direct_lif,b6,direct_transfer,11,0,0.4733645983645984,0.5079857642357642,0.5228956228956229,0.5102584915084915,274.3835754394531,0.0,0.0,1.0,1.0
B6_linearW_direct_lif,b6,direct_transfer,23,0,0.4807299182299183,0.5279324841824843,0.5531204906204905,0.5741855366855366,265.91094970703125,0.0,0.0,1.0,1.0
B6_linearW_direct_lif,b6,direct_transfer,37,0,0.4608225108225108,0.5323676323676323,0.5454124579124578,0.5736756299256299,264.8630065917969,0.0,0.0,1.0,1.0
B6_linearW_lif_finetune,b6,best_val_ba,11,20,0.5080868205868206,0.4738518426018426,0.4768638768638769,0.4927260239760239,206.79452514648438,0.0,0.20494734688202945,1.0169569161617762,0.9795096488278895
B6_linearW_lif_finetune,b6,best_val_ba,23,4,0.5173460798460799,0.5227106227106227,0.5169733044733045,0.5619942557442557,237.5616455078125,0.0,0.05294902485665573,1.0056153345114613,0.9986437314243729
B6_linearW_lif_finetune,b6,best_val_ba,37,12,0.5074555074555074,0.5166680541680542,0.5265632515632516,0.5683545621045621,216.11643981933594,0.0,0.10599746883726145,1.011259744430615,0.99449819008128
randomW_lif_train,random,best_val_ba,11,36,0.509469696969697,0.4704788267288267,0.4296356421356422,0.48648712398712396,185.9178009033203,0.0,0.7685269594715761,1.1542872354491929,0.7550917072902262
randomW_lif_train,random,best_val_ba,23,25,0.5636002886002885,0.557838689088689,0.5189574314574315,0.4991584804084803,198.01370239257812,0.0,0.7108415295434435,1.1473051778705798,0.7913797837891746
randomW_lif_train,random,best_val_ba,37,53,0.5092352092352092,0.5035908535908535,0.4947150072150071,0.5153693528693529,174.30137634277344,0.0,0.8933599577617954,1.2083175502107053,0.6915834595539114
