seed,init_source,state,val_lif_ba,test_lif_ba,val_linear_ba,test_linear_ba,weight_relative_frobenius_drift,weight_norm_ratio,weight_mean_class_cosine
11,a2,best_val_ba,0.5207491582491582,0.503252997002997,0.5143638768638769,0.49748792873792863,0.06740119376874378,1.005307565101577,0.9977438456997358
11,a2,best_val_loss,0.49987974987975,0.5100621600621601,0.49508177008177007,0.5046307858807858,0.196097845611751,1.011246907001832,0.980421809659608
11,a2,epoch0,0.49297138047138045,0.5123529248529248,0.5236531986531987,0.5306318681318681,0.0,1.0,1.0
11,a2,final,0.49987974987975,0.5100621600621601,0.49508177008177007,0.5046307858807858,0.196097845611751,1.011246907001832,0.980421809659608
23,a2,best_val_ba,0.5293410293410294,0.5583347208347208,0.5447510822510823,0.5829247141747141,0.04734506957812831,1.0055764494465858,0.9988802450633884
23,a2,best_val_loss,0.5187890812890814,0.5537941225441225,0.545508658008658,0.5964528527028526,0.1740786519837916,1.0149525160509902,0.9850028742782562
23,a2,epoch0,0.5253427128427128,0.5666701354201354,0.5722643097643098,0.5961822899322898,0.0,1.0,1.0
23,a2,final,0.5187890812890814,0.5537941225441225,0.545508658008658,0.5964528527028526,0.17782923391070266,1.0152523550911796,0.9843541426991506
37,a2,best_val_ba,0.5306036556036557,0.47536421911421906,0.5648929773929774,0.5482427294927296,0.03468860880193296,1.0044201116938916,0.9994291152175881
37,a2,best_val_loss,0.48238335738335736,0.4967907092907092,0.5348605098605098,0.5583957708957709,0.1599137978053112,1.012101531587379,0.9871750359979701
37,a2,epoch0,0.4946188071188071,0.49502997002997,0.566576479076479,0.5666909479409479,0.0,1.0,1.0
37,a2,final,0.48932780182780183,0.5027430902430902,0.5348605098605098,0.5583957708957709,0.16690389364310088,1.0124364491104179,0.9860193940291122
11,b6,best_val_ba,0.5080868205868206,0.4738518426018426,0.4768638768638769,0.4927260239760239,0.20494734688202945,1.0169569161617762,0.9795096488278895
11,b6,best_val_loss,0.46436387686387687,0.49025904650904645,0.45337902837902844,0.5122065434565434,0.38839852984198114,1.0329308957573915,0.9262415409857496
11,b6,epoch0,0.4733645983645984,0.5079857642357642,0.5228956228956229,0.5102584915084915,0.0,1.0,1.0
11,b6,final,0.45741943241943234,0.49025904650904645,0.46032347282347286,0.5122065434565434,0.3937067759901906,1.033743874078081,0.9242751685150358
23,b6,best_val_ba,0.5173460798460799,0.5227106227106227,0.5169733044733045,0.5619942557442557,0.05294902485665573,1.0056153345114613,0.9986437314243729
23,b6,best_val_loss,0.4680675805675805,0.5576652514152514,0.5378066378066378,0.5698926073926073,0.23968977153208992,1.0236085741027716,0.9718963391510126
23,b6,epoch0,0.4807299182299183,0.5279324841824843,0.5531204906204905,0.5741855366855366,0.0,1.0,1.0
23,b6,final,0.4680675805675805,0.5576652514152514,0.5378066378066378,0.5698926073926073,0.23968977153208992,1.0236085741027716,0.9718963391510126
37,b6,best_val_ba,0.5074555074555074,0.5166680541680542,0.5265632515632516,0.5683545621045621,0.10599746883726145,1.011259744430615,0.99449819008128
37,b6,best_val_loss,0.46647426647426643,0.5242438117438118,0.533507696007696,0.5757950382950383,0.17597443183336547,1.0154003086090435,0.9846433551706726
37,b6,epoch0,0.4608225108225108,0.5323676323676323,0.5454124579124578,0.5736756299256299,0.0,1.0,1.0
37,b6,final,0.48730759980759975,0.527941502941503,0.5529882154882154,0.5817474192474192,0.24409416726478306,1.0209223558200198,0.9705827002713342
11,random,best_val_ba,0.509469696969697,0.4704788267288267,0.4296356421356422,0.48648712398712396,0.7685269594715761,1.1542872354491929,0.7550917072902262
11,random,best_val_loss,0.4553992303992303,0.5074175824175824,0.4611171236171236,0.489328033078033,0.9658875525382238,1.2462155242620214,0.6509761768504071
11,random,epoch0,0.06329365079365079,0.016666666666666666,0.029166666666666664,0.016666666666666666,0.0,1.0,1.0000000000000002
11,random,final,0.47424843674843675,0.5014652014652015,0.44583934583934587,0.494520757020757,0.9853666354178592,1.2566047854752014,0.6408507348619007
23,random,best_val_ba,0.5636002886002885,0.557838689088689,0.5189574314574315,0.4991584804084803,0.7108415295434435,1.1473051778705798,0.7913797837891746
23,random,best_val_loss,0.5410473785473785,0.5263181263181262,0.5160113035113035,0.5227716727716728,1.0031698607558155,1.278730036869786,0.6419513728555747
23,random,epoch0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,1.0,1.0
23,random,final,0.5410473785473785,0.5263181263181262,0.5160113035113035,0.5227716727716728,1.0031698607558155,1.278730036869786,0.6419513728555747
37,random,best_val_ba,0.5092352092352092,0.5035908535908535,0.4947150072150071,0.5153693528693529,0.8933599577617954,1.2083175502107053,0.6915834595539114
37,random,best_val_loss,0.49534632034632037,0.4927752802752802,0.4939514189514189,0.5547882672882672,0.9665548607675719,1.245970349950962,0.6526747025375585
37,random,epoch0,0.07638888888888888,0.06845238095238095,0.07638888888888888,0.07602813852813853,0.0,1.0,1.0
37,random,final,0.48330928330928336,0.4989621489621489,0.4876022126022126,0.5421758796758797,1.1265662770950384,1.334164872199479,0.5647984979768755
