contrast,left_method,right_method,delta_pp_count,delta_pp_mean,delta_pp_std
A2_finetune_minus_direct,A2_linearW_lif_finetune,A2_linearW_direct_lif,3,-1.2367031117031153,0.6332424745551462
A2_finetune_minus_random,A2_linearW_lif_finetune,randomW_lif_train,3,0.16811891811891844,3.0517666910677055
B6_direct_minus_A2_direct,B6_linearW_direct_lif,A2_linearW_direct_lif,3,-0.19223831723831544,3.8096535754073972
B6_finetune_minus_A2_finetune,B6_linearW_lif_finetune,A2_linearW_lif_finetune,3,-0.7907139157139106,4.273138476857037
B6_finetune_minus_direct,B6_linearW_lif_finetune,B6_linearW_direct_lif,3,-1.8351787101787105,1.4637365362296697
B6_finetune_minus_random,B6_linearW_lif_finetune,randomW_lif_train,3,-0.6225949975949923,2.5495922214823827
