seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,q_l1_distance,evidence_l1_distance,top_support_a,top_support_b,different_top_support,high_similarity
23,84,10,0,100,12,6,1.0,0.027895040810108185,0.004101981408894062,5,5,False,True
23,88,11,3,105,9,1,1.0,0.008695796132087708,0.0007219188846647739,11,11,False,True
23,138,12,3,93,8,9,1.0,0.0005740821361541748,4.656054079532623e-05,1,1,False,True
23,30,16,7,32,14,4,1.0,3.6753714084625244e-05,9.377952665090561e-06,7,7,False,True
23,124,24,8,80,40,2,1.0,6.109476089477539e-07,7.217749953269958e-08,3,3,False,True
23,56,3,3,118,8,7,0.9999999403953552,0.005766518414020538,0.0008330638520419598,6,6,False,True
23,20,49,9,26,57,0,0.9139285087585449,0.07399890571832657,0.4918460547924042,9,9,False,True
23,11,55,0,20,49,9,0.9075950980186462,0.08720364421606064,0.4159374535083771,9,9,False,True
23,47,73,4,68,66,5,0.9072643518447876,0.10258124023675919,0.35768604278564453,4,4,False,True
23,36,65,4,112,56,0,0.8986456394195557,0.10622388869524002,0.4496443271636963,6,11,True,False
23,42,68,0,115,59,4,0.8904938697814941,0.18829119205474854,0.7390028238296509,0,6,True,False
23,112,62,0,115,69,4,0.8889742493629456,0.07634573429822922,0.6403381824493408,11,4,True,False
23,47,63,4,68,67,5,0.888915479183197,0.12199853360652924,0.6023817658424377,8,4,True,False
23,73,69,0,107,67,4,0.8889129161834717,0.0966591164469719,0.40655091404914856,6,0,True,False
23,33,12,8,76,5,1,0.8888888955116272,0.0025683417916297913,0.10683061182498932,7,7,False,False
23,35,56,11,113,48,9,0.8888888359069824,0.13061165809631348,0.560578465461731,11,1,True,False
23,68,54,5,115,46,4,0.8872115612030029,0.13660839200019836,0.6627205610275269,4,4,False,False
23,115,65,4,112,62,0,0.8868845701217651,0.07953229546546936,0.9178583025932312,4,11,True,False
23,9,37,0,19,36,11,0.8846158385276794,0.2637721300125122,0.4997454583644867,1,9,True,False
23,2,51,11,11,54,0,0.8844389915466309,0.06540974974632263,0.6021880507469177,9,9,False,False
23,11,50,0,20,49,9,0.883455753326416,0.11936652660369873,0.48370954394340515,9,9,False,False
23,72,61,6,82,56,3,0.8828291296958923,0.11112620681524277,0.36598414182662964,6,6,False,False
23,115,60,4,73,69,0,0.8824477195739746,0.13301436603069305,0.5173101425170898,7,6,True,False
23,113,44,9,35,56,11,0.8819167613983154,0.058939844369888306,0.5795461535453796,1,11,True,False
23,115,64,4,42,68,0,0.879632294178009,0.20528726279735565,0.7008352875709534,7,0,True,False
23,11,53,0,20,49,9,0.8794406652450562,0.11768084764480591,0.5816701054573059,9,9,False,False
23,65,48,1,111,56,6,0.8787752985954285,0.10359462350606918,0.4634796977043152,4,0,True,False
23,71,41,3,72,39,6,0.8785436153411865,0.11104081571102142,0.6166839599609375,4,4,False,False
23,71,60,3,98,84,0,0.8784589767456055,0.08165398985147476,0.6731790900230408,11,4,True,False
23,11,57,0,24,68,11,0.8781445622444153,0.11309559643268585,0.5089248418807983,9,2,True,False
23,9,39,0,62,33,2,0.8780538439750671,0.14347858726978302,0.27140581607818604,9,9,False,False
23,62,33,2,9,37,0,0.8780538439750671,0.136674165725708,0.33446258306503296,9,1,True,False
23,48,61,6,74,37,9,0.8777332901954651,0.11062727123498917,0.38625848293304443,11,11,False,False
23,71,44,3,133,68,0,0.8771926760673523,0.19553473591804504,0.5744604468345642,3,1,True,False
23,71,30,3,140,35,6,0.8769024014472961,0.0577528178691864,0.3698735237121582,3,1,True,False
23,138,39,3,140,40,6,0.8758111596107483,0.0688839703798294,0.5308963656425476,1,7,True,False
23,71,32,3,72,29,6,0.8757603764533997,0.10858297348022461,0.6320447325706482,1,1,False,False
23,67,63,4,110,67,3,0.8750746250152588,0.09802640974521637,0.6880625486373901,4,0,True,False
23,107,60,4,42,68,0,0.8750003576278687,0.27869749069213867,0.531749427318573,11,0,True,False
23,47,61,4,128,59,5,0.874817967414856,0.17213301360607147,0.5000839829444885,7,7,False,False
