model_kind,stimulus_type,layer,state,peak_latency_ms_mean,peak_latency_ms_std,peak_latency_ms_count,peak_amplitude_mean,peak_amplitude_std,peak_amplitude_count,fwhm_ms_mean,fwhm_ms_std,fwhm_ms_count,duration_ms_mean,duration_ms_std,duration_ms_count,peak_to_tail_ratio_mean,peak_to_tail_ratio_std,peak_to_tail_ratio_count
a2,unit_impulse,L1,syn_current,0.0,0.0,11520,0.12870861413628817,0.0895951825705655,11520,103.6376953125,51.41325628545096,11520,326.2939453125,174.84905578876038,11520,7202550.335896524,10657644.847769862,11520
a2,unit_impulse,L1,pre_reset,30.94753689236111,12.718949902609179,11520,0.18457416109518474,0.1290804223366695,11520,160.75303819444446,65.32947275970577,11520,378.45458984375,182.0083341814724,11520,3567342.349297953,5128522.637475355,11520
a2,unit_impulse,L1,spike,0.3011067708333333,2.888733043264626,11520,0.0125,0.11110725268449914,11520,0.2522786458333333,2.466330199817404,11520,0.2522786458333333,2.466330199817404,11520,12500000.0,111107252.68449888,11520
a2,unit_impulse,L2,syn_current,25.00271267361111,24.83488272987263,11520,0.10349478659795243,0.13511483203493013,11520,69.86083984375,69.42072186479699,11520,214.94683159722223,213.09497271401156,11520,3350010.7878630976,8898646.95935686,11520
a2,unit_impulse,L2,pre_reset,41.145833333333336,35.45767700303076,11520,0.15000756379161606,0.19910226680571957,11520,102.63129340277777,93.37556015629546,11520,251.41059027777777,238.1121300987673,11520,1666539.8587523636,5424494.2476587435,11520
a2,unit_impulse,L2,spike,1.9124348958333333,9.990711894346868,11520,0.04157986111111111,0.19963575793814325,11520,2.358669704861111,16.3446365295771,11520,2.358669704861111,16.3446365295771,11520,41579861.11111111,199635757.93814322,11520
a2,real_motif,L1,syn_current,51.36786566840278,27.019204951335464,4608,0.47632868383112104,0.27196161683189113,4608,103.78011067708333,62.17491106605592,4608,328.369140625,186.64689680472705,4608,20662083.91202675,46370221.153852165,4608
a2,real_motif,L1,pre_reset,65.948486328125,30.03998348510457,4608,0.6531993947024198,0.3904679112470326,4608,142.547607421875,80.73045552156054,4608,392.0796712239583,207.44558354392908,4608,11945004.531905817,36878100.729638204,4608
a2,real_motif,L1,spike,20.063612196180557,28.668497315761478,4608,0.4331597222222222,0.4955660125235511,4608,33.192952473958336,63.12337842158817,4608,33.192952473958336,63.12337842158817,4608,433159722.2222222,495566012.523551,4608
a2,real_motif,L2,syn_current,124.27775065104167,71.56504715450342,4608,1.6213978760836956,0.9787143897889907,4608,189.49720594618054,101.32009465655727,4608,486.55531141493054,187.0077553331066,4608,908817.1467613517,10058038.556442011,4608
