profile,readout,seed,intervention,effective_mask_id,probe_type,feature_dim,probe_C,val_ba,test_ba,test_accuracy,test_macro_f1
s2,hidden_count_linear,11,normal,none,l3_whole_count,128,0.01,0.488437950937951,0.5136086136086135,0.5273972602739726,0.5202629690708233
s2,hidden_count_linear,11,normal,none,l3_fixed250_ordered,2048,0.001,0.5563552188552189,0.5566579254079254,0.5753424657534246,0.5553815223381221
s2,hidden_count_linear,11,normal,none,l3_relative10_ordered,1280,0.001,0.5900012025012026,0.6137987012987013,0.6438356164383562,0.5945033026052701
s2,hidden_count_linear,11,resetall250,s2,l3_whole_count,128,0.01,0.5092712842712842,0.5312402874902875,0.547945205479452,0.5322125042713278
s2,hidden_count_linear,11,resetall250,s2,l3_fixed250_ordered,2048,0.001,0.5619107744107744,0.5679313741813742,0.589041095890411,0.5664985785345009
s2,hidden_count_linear,11,resetall250,s2,l3_relative10_ordered,1280,0.01,0.6082551707551708,0.6563825063825063,0.678082191780822,0.6463174762431562
s2,hidden_count_linear,11,reset234,s2,l3_whole_count,128,0.01,0.5092712842712842,0.5312402874902875,0.547945205479452,0.5322125042713278
s2,hidden_count_linear,11,reset234,s2,l3_fixed250_ordered,2048,0.001,0.5619107744107744,0.5679313741813742,0.589041095890411,0.5664985785345009
s2,hidden_count_linear,11,reset234,s2,l3_relative10_ordered,1280,0.01,0.6082551707551708,0.6563825063825063,0.678082191780822,0.6463174762431562
s2,hidden_count_linear,11,reset2345,s2,l3_whole_count,128,0.01,0.5092712842712842,0.5312402874902875,0.547945205479452,0.5322125042713278
s2,hidden_count_linear,11,reset2345,s2,l3_fixed250_ordered,2048,0.001,0.5619107744107744,0.5679313741813742,0.589041095890411,0.5664985785345009
s2,hidden_count_linear,11,reset2345,s2,l3_relative10_ordered,1280,0.01,0.6082551707551708,0.6563825063825063,0.678082191780822,0.6463174762431562
s2,hidden_count_linear,11,reset23456,s2,l3_whole_count,128,0.01,0.5092712842712842,0.5312402874902875,0.547945205479452,0.5322125042713278
s2,hidden_count_linear,11,reset23456,s2,l3_fixed250_ordered,2048,0.001,0.5619107744107744,0.5679313741813742,0.589041095890411,0.5664985785345009
s2,hidden_count_linear,11,reset23456,s2,l3_relative10_ordered,1280,0.01,0.6082551707551708,0.6563825063825063,0.678082191780822,0.6463174762431562
s2,hidden_count_linear,11,reset67,none,l3_whole_count,128,0.01,0.488437950937951,0.5136086136086135,0.5273972602739726,0.5202629690708233
s2,hidden_count_linear,11,reset67,none,l3_fixed250_ordered,2048,0.001,0.5563552188552189,0.5566579254079254,0.5753424657534246,0.5553815223381221
s2,hidden_count_linear,11,reset67,none,l3_relative10_ordered,1280,0.001,0.5900012025012026,0.6137987012987013,0.6438356164383562,0.5945033026052701
s2,hidden_count_linear,11,reset567,none,l3_whole_count,128,0.01,0.488437950937951,0.5136086136086135,0.5273972602739726,0.5202629690708233
s2,hidden_count_linear,11,reset567,none,l3_fixed250_ordered,2048,0.001,0.5563552188552189,0.5566579254079254,0.5753424657534246,0.5553815223381221
s2,hidden_count_linear,11,reset567,none,l3_relative10_ordered,1280,0.001,0.5900012025012026,0.6137987012987013,0.6438356164383562,0.5945033026052701
s2,hidden_count_linear,23,normal,none,l3_whole_count,128,0.1,0.5035834535834536,0.5260205072705072,0.541095890410959,0.5262369045907375
s2,hidden_count_linear,23,normal,none,l3_fixed250_ordered,2048,1.0,0.5522546897546897,0.5667311854811854,0.5821917808219178,0.5816317941317941
s2,hidden_count_linear,23,normal,none,l3_relative10_ordered,1280,0.1,0.624488936988937,0.6570159007659007,0.678082191780822,0.6633910175689015
s2,hidden_count_linear,23,resetall250,s2,l3_whole_count,128,1.0,0.5071548821548821,0.47849164724164717,0.4931506849315068,0.46910596508613295
s2,hidden_count_linear,23,resetall250,s2,l3_fixed250_ordered,2048,10.0,0.5630772005772007,0.5155809468309468,0.5273972602739726,0.5269780535131907
s2,hidden_count_linear,23,resetall250,s2,l3_relative10_ordered,1280,0.01,0.6545815295815296,0.70009435009435,0.7191780821917808,0.7027809586910919
s2,hidden_count_linear,23,reset234,s2,l3_whole_count,128,1.0,0.5071548821548821,0.47849164724164717,0.4931506849315068,0.46910596508613295
s2,hidden_count_linear,23,reset234,s2,l3_fixed250_ordered,2048,10.0,0.5630772005772007,0.5155809468309468,0.5273972602739726,0.5269780535131907
s2,hidden_count_linear,23,reset234,s2,l3_relative10_ordered,1280,0.01,0.6545815295815296,0.70009435009435,0.7191780821917808,0.7027809586910919
s2,hidden_count_linear,23,reset2345,s2,l3_whole_count,128,1.0,0.5071548821548821,0.47849164724164717,0.4931506849315068,0.46910596508613295
