profile,readout,seed,intervention,effective_mask_id,active_neuron_fraction,event_rate_hz,events_per_neuron_gesture,mean_abs_mem,mean_abs_syn,n_neurons,nonzero_fraction,rms_mem,rms_syn,shift,split
s2,hidden_count_linear,11,normal,none,1.0,15.959577603966034,25.626573257314973,1.3494453906158408,0.81347244898787,128,0.24936840006196928,2.095058193252447,1.1773569568948312,all,train
s2,hidden_count_linear,11,normal,none,1.0,15.959577603966034,25.626573257314973,1.3494453906158408,0.81347244898787,128,0.24936840006196928,2.095058193252447,1.1773569568948312,2,train
s2,hidden_count_linear,11,normal,none,1.0,14.772056887016065,20.866629464285715,1.2088948717737689,0.7343721708750329,128,0.23081338885962602,1.976235446562751,1.115068667372482,all,val
s2,hidden_count_linear,11,normal,none,1.0,14.772056887016065,20.866629464285715,1.2088948717737689,0.7343721708750329,128,0.23081338885962602,1.976235446562751,1.115068667372482,2,val
s2,hidden_count_linear,11,normal,none,0.96875,16.31457090788602,21.077643407534246,1.4019092941536977,0.846114707830491,128,0.25491517043571904,2.154441530358096,1.2119785771875329,all,test
s2,hidden_count_linear,11,normal,none,0.96875,16.31457090788602,21.077643407534246,1.4019092941536977,0.846114707830491,128,0.25491517043571904,2.154441530358096,1.2119785771875329,2,test
s2,hidden_count_linear,11,resetall250,s2,1.0,14.250431272715092,22.882167061101548,1.0277327917476176,0.6779216992720702,128,0.22266298863617331,1.6823302421432378,1.0071813449995095,all,train
s2,hidden_count_linear,11,resetall250,s2,1.0,14.250431272715092,22.882167061101548,1.0277327917476176,0.6779216992720702,128,0.22266298863617331,1.6823302421432378,1.0071813449995095,2,train
s2,hidden_count_linear,11,resetall250,s2,1.0,13.173689755069791,18.608816964285715,0.9238230668674831,0.6133691672016285,128,0.2058389024229655,1.589340888351771,0.9549599247094691,all,val
s2,hidden_count_linear,11,resetall250,s2,1.0,13.173689755069791,18.608816964285715,0.9238230668674831,0.6133691672016285,128,0.2058389024229655,1.589340888351771,0.9549599247094691,2,val
s2,hidden_count_linear,11,resetall250,s2,0.9765625,14.689612326043738,18.978274828767123,1.072975932248307,0.7079620462446674,128,0.2295251925944334,1.7354542590333206,1.0393384449221341,all,test
