seed,probe_type,probe_C,val_ba,test_ba
11,local_whole_count,1.0,0.5377044252044252,0.5080031080031079
11,local_fixed250_ordered,0.01,0.5880411255411254,0.642110667110667
11,local_relative10_ordered,0.01,0.6473063973063974,0.7153339715839716
23,local_whole_count,10.0,0.5138407888407889,0.5373820623820623
23,local_fixed250_ordered,1.0,0.5996572871572871,0.5871794871794872
23,local_relative10_ordered,0.01,0.6139369889369889,0.713546176046176
101,local_whole_count,0.1,0.5393999518999518,0.6259150571650571
101,local_fixed250_ordered,0.1,0.5265933140933141,0.6366404428904429
101,local_relative10_ordered,0.01,0.6374218374218373,0.6859036796536796
