epoch,train_objective_loss,val_output_whole_count_ba,val_output_whole_count_loss
1,2.4980452097631773,0.08333333333333333,2.4850637912750244
2,2.4848755645259524,0.08333333333333333,2.485034942626953
3,2.4835216075746205,0.08333333333333333,2.4850826263427734
4,2.4821220400411375,0.08333333333333333,2.4853110313415527
5,2.4815918668822454,0.08333333333333333,2.485502004623413
6,2.4806297990828496,0.08333333333333333,2.485299587249756
7,2.4768574869776345,0.09027777777777778,2.4844183921813965
8,2.474909597748118,0.09722222222222222,2.4835100173950195
9,2.4745355058660197,0.09722222222222222,2.4810094833374023
10,2.471923556467342,0.09722222222222222,2.477935552597046
11,2.471208538327898,0.10416666666666667,2.472623109817505
12,2.4694250475313906,0.11944444444444445,2.4675047397613525
13,2.4660050200102868,0.1125,2.470423698425293
14,2.4621617034872716,0.12638888888888888,2.465315341949463
15,2.4599083294761774,0.14027777777777778,2.4605071544647217
16,2.4580327467335685,0.12142857142857143,2.4574718475341797
17,2.4538329480642296,0.13763227513227513,2.4528160095214844
18,2.449570618069726,0.13763227513227513,2.453329563140869
19,2.443601358367736,0.1353174603174603,2.4521729946136475
20,2.4379350269107523,0.14226190476190476,2.4502816200256348
21,2.4350943150906064,0.14226190476190476,2.442145347595215
22,2.4325853124543024,0.13392857142857142,2.4410860538482666
23,2.427964332386877,0.13392857142857142,2.432371139526367
24,2.4318510324737495,0.14318783068783067,2.4316606521606445
25,2.4217004714447126,0.13392857142857142,2.4335882663726807
26,2.417185086596648,0.14226190476190476,2.4307589530944824
27,2.4153479376676366,0.14226190476190476,2.4332644939422607
28,2.4110781338046627,0.1492063492063492,2.435927152633667
29,2.4033662948674057,0.14226190476190476,2.420309066772461
30,2.403479909322348,0.14226190476190476,2.4238531589508057
31,2.397174792117383,0.1492063492063492,2.4125993251800537
32,2.394107884671315,0.13392857142857142,2.4097421169281006
33,2.388209108641554,0.14087301587301587,2.4177892208099365
34,2.3837831759001427,0.1492063492063492,2.4227912425994873
35,2.3737729781671155,0.15615079365079365,2.4153940677642822
36,2.369788408689778,0.16541005291005292,2.409238338470459
37,2.365319785891219,0.16541005291005292,2.4018616676330566
38,2.362008936023548,0.16541005291005292,2.396847724914551
39,2.3617755968681506,0.17235449735449734,2.388395309448242
40,2.3558979924902856,0.17235449735449734,2.391101360321045
41,2.3487117187907076,0.16541005291005292,2.396770715713501
42,2.3396992026836245,0.17466931216931217,2.390434503555298
43,2.33658054650548,0.15846560846560848,2.39357328414917
44,2.323652786970549,0.17433862433862435,2.4010751247406006
45,2.3272213968680773,0.19318783068783071,2.3787734508514404
46,2.322875501777137,0.18485449735449735,2.3728530406951904
47,2.310997040874987,0.1779100529100529,2.3892626762390137
48,2.3056358515498148,0.1955026455026455,2.3841028213500977
49,2.302145032176873,0.15906084656084657,2.3774232864379883
50,2.2900963781622723,0.20443121693121694,2.378466844558716
51,2.2848079996552197,0.17896825396825397,2.3836848735809326
52,2.286937968455986,0.1812830687830688,2.371612548828125
53,2.275239864438003,0.16600529100529102,2.3722176551818848
54,2.270601529878101,0.17096560846560846,2.377293348312378
55,2.2650719349642836,0.1779100529100529,2.3749396800994873
56,2.256906304219914,0.1779100529100529,2.364895820617676
57,2.2464988580464085,0.16104497354497355,2.353980541229248
58,2.2442313763032478,0.18915343915343916,2.3567867279052734
59,2.243542104908193,0.17989417989417988,2.355198383331299
60,2.232055794556662,0.20304232804232805,2.3515360355377197
61,2.225461405854217,0.18683862433862433,2.346952438354492
62,2.2208762144262737,0.18683862433862433,2.336737871170044
63,2.2176901604755814,0.1960978835978836,2.3440279960632324
64,2.2093678439956115,0.20906084656084659,2.338495969772339
65,2.2008999596364323,0.19576719576719578,2.330357074737549
66,2.1997168511408742,0.20548941798941797,2.309103012084961
67,2.194537905530552,0.21243386243386242,2.3229525089263916
68,2.188042263566114,0.22294973544973543,2.3142547607421875
69,2.1860762475484825,0.22294973544973543,2.3199548721313477
70,2.17253713968904,0.21832010582010583,2.3048012256622314
71,2.1702945031315446,0.22294973544973543,2.317049980163574
72,2.163976377546274,0.216005291005291,2.3191144466400146
73,2.1504418250820927,0.21243386243386245,2.306903600692749
74,2.150845842394279,0.24424603174603177,2.3010289669036865
75,2.1474010509385915,0.24160052910052912,2.3065292835235596
76,2.14019514771624,0.21243386243386245,2.2969136238098145
77,2.1335249611925136,0.2041005291005291,2.297835111618042
78,2.126326936862965,0.23128306878306878,2.2932064533233643
79,2.1247854741633247,0.22294973544973543,2.2854745388031006
80,2.117892353957368,0.2298941798941799,2.2666847705841064
81,2.1133291906005542,0.21937830687830687,2.273458480834961
82,2.1063757886574725,0.24656084656084656,2.2741942405700684
83,2.0990115919129573,0.2743386243386244,2.2646045684814453
84,2.0976085244275615,0.253505291005291,2.283217191696167
85,2.098729412239718,0.26044973544973543,2.276766300201416
86,2.0940584213105824,0.24517195767195768,2.2598366737365723
87,2.0920277187623175,0.2402116402116402,2.2695586681365967
88,2.078908584204065,0.25906084656084655,2.268263816833496
89,2.073680591665324,0.255489417989418,2.2532851696014404
90,2.0659474514027267,0.2332671957671958,2.280078649520874
91,2.0609433232404277,0.2652116402116402,2.265073776245117
92,2.055895813976426,0.24656084656084654,2.259345293045044
93,2.056499422109476,0.2332671957671958,2.2722930908203125
94,2.0491486223552395,0.2743386243386244,2.2507994174957275
95,2.0505378562283805,0.2748015873015873,2.2430410385131836
