epoch,train_objective_loss,val_output_whole_count_ba,val_output_whole_count_loss
1,2.4906539666673195,0.08333333333333333,2.486116886138916
2,2.4726389747068107,0.08333333333333333,2.4845941066741943
3,2.463299986417445,0.08333333333333333,2.4831137657165527
4,2.4553892530385477,0.08333333333333333,2.4833104610443115
5,2.4479477368615785,0.09027777777777778,2.4839324951171875
6,2.439757564597204,0.09722222222222221,2.4827754497528076
7,2.4310978562819567,0.09722222222222221,2.481017589569092
8,2.419915299407381,0.09027777777777778,2.482065200805664
9,2.407669753092702,0.09027777777777778,2.4811949729919434
10,2.3955420228987676,0.0853174603174603,2.4661827087402344
11,2.3758021373551808,0.09126984126984126,2.430009126663208
12,2.3492278851658464,0.12400793650793651,2.399879217147827
13,2.3227406303156264,0.1378968253968254,2.3920233249664307
14,2.3020876360842366,0.12103174603174603,2.3656201362609863
15,2.274145462837154,0.13789682539682538,2.3443400859832764
16,2.242468437516546,0.17261904761904764,2.3200016021728516
17,2.206212490232799,0.16071428571428573,2.307420015335083
18,2.1891957306000123,0.1626984126984127,2.3123719692230225
19,2.1489818022296268,0.20238095238095236,2.239264488220215
20,2.127351256533047,0.19543650793650794,2.2523622512817383
21,2.0920583418027054,0.19775132275132276,2.2824723720550537
22,2.060632802533201,0.24404761904761907,2.191380023956299
23,2.0380508202078422,0.20714285714285716,2.1546106338500977
24,2.0071347703621845,0.22678571428571428,2.169856071472168
25,1.974231407687504,0.2732142857142857,2.134014368057251
26,1.9569173285965256,0.22103174603174602,2.1229772567749023
27,1.934395350810788,0.26746031746031745,2.089052677154541
28,1.9072120462555484,0.28154761904761905,2.105584144592285
29,1.8813160848699626,0.29623015873015873,2.085876226425171
30,1.8596366842929755,0.3087301587301587,2.074305534362793
31,1.8462508750659463,0.2501984126984127,2.067462921142578
32,1.8212332858891578,0.29067460317460314,2.039863348007202
33,1.8038671164422355,0.3240079365079365,2.05416202545166
34,1.773592344865126,0.2876984126984127,2.06740140914917
35,1.7575247404702559,0.3059523809523809,2.0625953674316406
36,1.7477681460355932,0.28432539682539687,2.02732515335083
37,1.7258192233087273,0.33436147186147186,2.016702175140381
38,1.7115711166608354,0.3241762866762867,2.0552632808685303
39,1.6815563411597747,0.26253607503607507,2.013833522796631
40,1.6694435825036027,0.33389850889850886,2.0013577938079834
41,1.6469456640660456,0.310551948051948,2.0178327560424805
42,1.634271506598402,0.3274170274170274,1.9903560876846313
43,1.613566577742309,0.31875300625300623,1.965898871421814
44,1.5877772163400963,0.34004930254930255,1.9872381687164307
45,1.5787736435970627,0.3395863395863396,1.951007604598999
46,1.5610665503549495,0.3150493025493026,1.9454320669174194
47,1.5412650485867683,0.36230759980759975,1.9282034635543823
48,1.523275367159031,0.3521224146224146,1.9263836145401
49,1.510893631925271,0.3554954304954305,1.9095628261566162
50,1.4896331252001238,0.40212241462241455,1.8847442865371704
51,1.477669524859233,0.39719817219817216,1.9078891277313232
52,1.4644156647220947,0.36323352573352574,1.8836510181427002
53,1.4524216922753443,0.3806938431938433,1.8737112283706665
54,1.4375070128301335,0.3910113035113035,1.8955682516098022
55,1.4261704471968948,0.3465668590668591,1.9000998735427856
56,1.406237930110728,0.38624939874939873,1.8905277252197266
57,1.3926631522055541,0.3647847522847523,1.8839648962020874
58,1.3798186508185277,0.36247594997595,1.8868204355239868
59,1.375314571771277,0.38271404521404534,1.8753719329833984
60,1.3500715424394854,0.39458273208273215,1.8725510835647583
61,1.3387553634413754,0.3793049543049543,1.8693552017211914
62,1.329071360487946,0.3793049543049543,1.8862026929855347
63,1.3228380875004753,0.40648749398749406,1.89293372631073
64,1.3170784900602908,0.39319384319384326,1.8769680261611938
65,1.2962933692587428,0.39597162097162103,1.855126142501831
66,1.2857268888650786,0.3783790283790284,1.869201421737671
67,1.2747531612235379,0.3797679172679173,1.8674302101135254
68,1.2665308943714004,0.4208393458393458,1.846143364906311
69,1.2557785773646606,0.40291606541606545,1.8512492179870605
70,1.2496728263090071,0.361550024050024,1.846312165260315
71,1.236930098467973,0.38810125060125067,1.821334958076477
72,1.240740587091692,0.3728234728234728,1.8242032527923584
73,1.2397385772041938,0.3797679172679173,1.8287140130996704
74,1.2094436397650976,0.4168049543049544,1.8350913524627686
75,1.2017292566020394,0.40060125060125057,1.8117129802703857
76,1.194738691111645,0.43291245791245797,1.826292634010315
77,1.1800670443221337,0.40493025493025486,1.8066551685333252
78,1.1707811628479556,0.43135521885521894,1.7975572347640991
79,1.1630585244928908,0.39365680615680615,1.800561547279358
80,1.1573439331760504,0.3869107744107744,1.8333154916763306
81,1.1574586439050618,0.38333934583934587,1.794674038887024
