seed,contrast,test_ba_delta,long_full_firing_fraction_delta,long_padding_firing_fraction_delta,long_mean_max_run_per_neuron_full_delta,long_p95_max_run_per_neuron_full_delta,long_current_rms_full_delta,long_weight_fro_delta
11,all_loss_masked_minus_no_reg,-0.10589896214896213,-0.08049930938302657,-0.08753155380572242,-20.319616866438352,-7.0,-0.6506698515797718,-0.537327766418457
11,wholecount_only_masked_minus_no_reg,-0.10970279720279716,-0.08436563570205483,-0.09584391301770473,-21.40405607876712,-6.0,-0.9265586524768619,-0.5352339744567871
11,wholecount_only_masked_minus_all_loss_masked,-0.003803835053835025,-0.0038663263190282515,-0.008312359211982312,-1.0844392123287676,1.0,-0.2758888008970901,0.002093791961669922
23,all_loss_masked_minus_no_reg,0.059828366078366085,-0.139488742776113,-0.16111181779560546,-35.055543664383556,-13.0,0.6980359125697433,0.09577178955078125
23,wholecount_only_masked_minus_no_reg,0.014727633477633478,-0.1725622725813356,-0.20856417216645592,-43.44285102739725,-19.0,-0.10091339143213585,0.15381956100463867
23,wholecount_only_masked_minus_all_loss_masked,-0.04510073260073261,-0.0330735298052226,-0.047452354370850464,-8.387307363013697,-6.0,-0.7989493040018791,0.05804777145385742
37,all_loss_masked_minus_no_reg,-0.0027645965145964846,-0.18202418497163958,-0.20393730981267785,-45.82223886986301,-25.0,-0.9435269727374358,-0.15431880950927734
37,wholecount_only_masked_minus_no_reg,-0.005001248751248744,-0.23058705787136133,-0.272587831963326,-57.658497431506845,-66.35000000000218,-0.9051053500569637,0.14593267440795898
37,wholecount_only_masked_minus_all_loss_masked,-0.002236652236652259,-0.04856287289972175,-0.06865052215064811,-11.836258561643834,-41.35000000000218,0.03842162268047211,0.30025148391723633
