condition,seed,best_epoch,stopped_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,lambda_rate,lambda_persist,long_current_rms_full,long_current_rms_padding,long_current_rms_valid,long_full_firing_fraction,long_global_max_run_full,long_global_max_run_valid,long_mean_max_run_per_neuron_full,long_mean_max_run_per_neuron_valid,long_mean_run_length_full,long_mean_run_length_valid,long_p95_max_run_per_neuron_full,long_p95_max_run_per_neuron_valid,long_padding_firing_fraction,long_valid_firing_fraction,long_weight_fro,long_weight_mean_abs,long_weight_negative_abs_mean,long_weight_positive_mean
no_reg,11,88,100,0.8185449370248071,0.2843614718614718,0.25925185925185923,0.273972602739726,0.24037301918213436,0.0,0.0,6.881020416560648,7.462219140223629,5.4657907595133,0.3334981839950771,253.0,109.0,81.24047517123287,19.739833047945204,26.99840936780831,19.376037422664854,234.0,72.0,0.37366961498182105,0.24929524416003976,7.216582775115967,0.04730217903852463,0.0478048101067543,0.04679175093770027
no_reg,23,40,70,0.7267284589826448,0.2726250601250601,0.22229020979020978,0.2328767123287671,0.1969158753432947,0.0,0.0,7.17784101253956,7.851040763339455,5.505845671242209,0.3250774226776541,252.0,105.0,79.55998501712328,18.261825770547944,29.131457685535533,18.735072860224104,234.0,70.0,0.3702098111958584,0.23047586874585818,6.919532775878906,0.045722391456365585,0.045653730630874634,0.045793283730745316
no_reg,37,72,100,0.7141066284570887,0.2676346801346801,0.260994560994561,0.2808219178082192,0.23297919230515043,0.0,0.0,9.035000425720563,9.836053935904124,7.067194034711787,0.3228247655581122,252.0,106.0,79.37837114726027,19.210402397260275,33.27161291712445,22.117685576522412,236.0,75.0,0.3621216013278533,0.2404550561216037,7.173029899597168,0.04723481088876724,0.04760510474443436,0.04685424268245697
all_loss_masked,11,21,51,0.48625429364531225,0.2131613756613757,0.1533528971028971,0.1506849315068493,0.13598544973544974,0.05931624145740976,0.013338364007225227,6.230350564980876,6.79745138595066,4.83023519778404,0.2529988746120505,252.0,105.0,60.92085830479452,14.489030393835616,20.808331041122266,16.63555842327546,227.0,64.0,0.28613806117609863,0.18353615287442016,6.67925500869751,0.04479106515645981,0.04568006098270416,0.04387586563825607
all_loss_masked,23,57,87,0.7906188988887722,0.31505531505531503,0.28211857586857586,0.2945205479452055,0.24650807175012324,0.06792499623155242,0.01534860175211098,7.875876925109304,8.633969650329941,5.982875052962767,0.1855886799015411,252.0,105.0,44.504441352739725,10.650952482876713,20.773496174633255,14.613890237979602,221.0,57.0,0.20909799340025292,0.13631104000994035,7.0153045654296875,0.04610507935285568,0.04794623330235481,0.04399941489100456
all_loss_masked,37,49,79,0.6499790367231785,0.22334656084656082,0.2582299644799645,0.273972602739726,0.22366911448534554,0.059851278630770784,0.012956380305971082,8.091473452983127,8.787342292886413,6.3915913674926355,0.1408005805864726,251.0,104.0,33.55613227739726,8.158872003424657,18.949251715989647,14.676283218056062,211.0,51.0,0.15818429151517546,0.10436275575712392,7.018711090087891,0.04649381339550018,0.04907571151852608,0.043533019721508026
wholecount_only_masked,11,22,52,0.4777888085984376,0.2153439153439154,0.14954906204906207,0.1506849315068493,0.1097896052439521,0.03616618448836308,0.007874806970056335,5.954461764083786,6.469021523425181,4.696391440506611,0.24913254829302225,253.0,106.0,59.83641909246575,14.928991866438356,19.924806499607147,17.3239010500089,228.0,65.0,0.2778257019641163,0.18898911220178927,6.68134880065918,0.044735386967659,0.04569428786635399,0.04375157877802849
wholecount_only_masked,23,65,95,0.7974956761367545,0.23172198172198175,0.23701784326784325,0.2465753424657534,0.2181958039285181,0.03967963951907926,0.009075798625370647,7.076927621107425,7.754653133067616,5.3864213613332135,0.1525151500963185,252.0,105.0,36.11713398972603,10.357769691780822,17.465817694369974,13.8189620490814,215.0,56.0,0.16164563902940246,0.1333768223989397,7.073352336883545,0.04645345360040665,0.04792913794517517,0.044811856001615524
wholecount_only_masked,37,82,100,0.7786284181455093,0.2832732082732083,0.25599331224331223,0.2671232876712329,0.2337594341980307,0.03422979430138782,0.007834248172791502,8.1298950756636,8.864769125401768,6.318010214723994,0.09223770768675085,251.0,105.0,21.719873715753426,7.593589469178082,15.41309814879497,13.01824283624473,169.64999999999782,49.0,0.08953376936452735,0.09790540610503645,7.318962574005127,0.04790179431438446,0.05018309876322746,0.04529658704996109
