condition,lambda_rate_mean,lambda_rate_std,lambda_persist_mean,lambda_persist_std,achieved_rate_grad_ratio_mean,achieved_persist_grad_ratio_mean
all_loss_masked,0.06236417210657766,0.00482323956546796,0.013881115355102428,0.001285151793003381,0.025000000000000005,0.05000000000000001
no_reg,0.0,0.0,0.0,0.0,0.0,0.0
wholecount_only_masked,0.03669187276961006,0.002762691504851541,0.008261617922739495,0.0007053927391259497,0.024999999999999998,0.049999999999999996
