target_grad_ratio,architecture,objective,seed,exp015_test_ba,frozen_exp01_test_ba,delta_test_ba_vs_frozen_exp01,exp015_last_hidden_events_per_neuron_second,frozen_exp01_last_hidden_events_per_neuron_second,delta_last_hidden_events_per_neuron_second_vs_frozen_exp01,epochs_trained,best_epoch,early_stopped,kappa
0.05,short_mid_long,whole_count_ce,11,0.08766233766233766,0.2335678210678211,-0.14590548340548343,0.7118124585818423,5.432571239231279,-4.720758780649437,100,1,False,3.6764209820135236
0.05,short_mid_long,whole_count_ce,23,0.091991341991342,0.2314713064713065,-0.13947996447996452,1.052766732935719,4.828528827037774,-3.7757620941020544,100,13,False,4.337219174022561
0.05,short_mid_long,whole_count_ce,37,0.10131673881673882,0.2239607614607614,-0.12264402264402259,0.5845344599072233,5.190772034459907,-4.606237574552684,74,47,True,3.6405742614900785
0.05,short_mid_long,whole_count_ce,53,0.07575757575757576,0.1978785103785103,-0.12212093462093453,0.4271040424121935,3.531022200132538,-3.1039181577203445,88,5,True,4.264894089862359
0.05,short_mid_long,whole_count_ce,71,0.091991341991342,0.2067370129870129,-0.11474567099567091,0.9379555997349238,4.86174618952949,-3.9237905897945664,50,15,True,3.895672018416966
0.05,short_mid_long,timestep_ce,11,0.08928571428571429,0.1098484848484848,-0.02056277056277052,0.720303180914513,1.5637839628893306,-0.8434807819748177,50,1,True,5.314457974619955
0.05,short_mid_long,timestep_ce,23,0.10714285714285714,0.1327922077922078,-0.025649350649350658,0.6755301524188204,2.4341865473823723,-1.7586563949635519,100,8,False,6.116867275921725
0.05,short_mid_long,timestep_ce,37,0.08333333333333333,0.1525974025974026,-0.06926406926406926,0.03864314115308151,2.611994698475812,-2.5733515573227304,72,10,True,4.84047448312408
0.05,short_mid_long,timestep_ce,53,0.08333333333333333,0.1384448884448884,-0.05511155511155506,0.23873426110006626,1.6695245195493704,-1.4307902584493042,50,4,True,6.261763784665608
0.05,short_mid_long,timestep_ce,71,0.08766233766233766,0.1268398268398268,-0.039177489177489144,0.1859261100066269,1.755881378396289,-1.569955268389662,82,52,True,5.757631057878401
0.05,short_mid,whole_count_ce,11,0.41516608391608395,0.441629204129204,-0.02646312021312003,6.75849072233267,9.800985752153744,-3.0424950298210742,100,97,False,0.7522331442220047
0.05,short_mid,whole_count_ce,23,0.5305749805749805,0.4869241869241869,0.04365079365079366,6.549743207422134,10.414057322730285,-3.864314115308151,100,90,False,1.282406880460482
0.05,short_mid,whole_count_ce,37,0.45046758796758796,0.4688956876456876,-0.018428099678099663,10.63108846918489,11.094599072233269,-0.46351060304837866,100,93,False,0.2890192106556608
0.05,short_mid,whole_count_ce,53,0.3836545399045399,0.4186383061383061,-0.0349837662337662,5.7139662027833005,8.822813121272366,-3.108846918489066,100,95,False,2.193498078272094
0.05,short_mid,whole_count_ce,71,0.41237443112443106,0.4699640637140637,-0.05758963258963262,8.853711066931742,9.455434062292907,-0.6017229953611647,100,98,False,0.5281967132387914
0.05,short_mid,timestep_ce,11,0.20437895437895437,0.2570845820845821,-0.052705627705627756,0.7011679920477137,2.867586149768058,-2.1664181577203445,100,99,False,1.6909249185575228
0.05,short_mid,timestep_ce,23,0.16463536463536463,0.3131451881451881,-0.14850982350982347,0.4945328031809145,3.326209410205434,-2.8316766070245194,100,100,False,2.738549179156102
0.05,short_mid,timestep_ce,37,0.24335803085803087,0.2543539793539793,-0.010995948495948427,2.636679920477137,3.399271040424122,-0.7625911199469848,100,90,False,0.5515845839545004
0.05,short_mid,timestep_ce,53,0.19393939393939394,0.28996003996004,-0.09602064602064606,0.4648359840954274,3.367544731610338,-2.902708747514911,100,93,False,2.3600304391483395
0.05,short_mid,timestep_ce,71,0.25422077922077924,0.2927738927738927,-0.03855311355311347,2.0384774685222,5.23678760768721,-3.1983101391650104,100,99,False,1.1976692930598543
0.05,mid_long,whole_count_ce,11,0.4379315129315129,0.432004107004107,0.005927405927405871,8.674080516898607,12.877982107355864,-4.2039015904572565,100,99,False,1.3924349521671537
0.05,mid_long,whole_count_ce,23,0.4130383505383506,0.417130092130092,-0.004091741591741416,9.742254804506295,11.984095427435388,-2.241840622929093,100,97,False,1.2946127396433196
0.05,mid_long,whole_count_ce,37,0.30573246198246196,0.4012099012099011,-0.09547743922743912,6.534128561961564,10.528330019880716,-3.994201457919152,100,58,False,2.2436280066906638
0.05,mid_long,whole_count_ce,53,0.3654123654123654,0.3507048507048507,0.01470751470751469,6.178967859509609,11.504307488402915,-5.325339628893306,100,89,False,1.9155414276705773
0.05,mid_long,whole_count_ce,71,0.3459942834942835,0.4029005716505716,-0.056906288156288065,8.25360337972167,11.332049370444002,-3.078445990722333,100,95,False,0.9113150950485983
0.05,mid_long,timestep_ce,11,0.22132034632034633,0.3461829836829836,-0.12486263736263728,0.9307902584493042,8.536903578528827,-7.606113320079523,100,94,False,3.346521512736398
0.05,mid_long,timestep_ce,23,0.323989898989899,0.3281773781773782,-0.004187479187479193,2.87259774685222,11.262259774685225,-8.389662027833005,100,96,False,2.242473169000439
0.05,mid_long,timestep_ce,37,0.09407259407259407,0.2499167499167499,-0.15584415584415584,1.9110337972166997,7.959203114645461,-6.048169317428761,50,10,True,3.703813671804014
