architecture,objective,mean,std,count
mid_long,timestep_ce,0.304034299034299,0.044997094508910235,5
mid_long,whole_count_ce,0.4007899045399045,0.0306368736022209,5
short_mid,timestep_ce,0.28146353646353645,0.0251649721244545,5
short_mid,whole_count_ce,0.4572102897102896,0.02698467670942381,5
short_mid_long,timestep_ce,0.13210456210456206,0.015681832788252182,5
short_mid_long,whole_count_ce,0.21872308247308245,0.01572004141028019,5
