target_grad_ratio,architecture,objective,calibration_ratio_median_mean,calibration_ratio_median_std,calibration_ratio_median_count,kappa_mean,kappa_std,kappa_count,calibration_cosine_mean_mean,calibration_cosine_mean_std,calibration_cosine_mean_count,calibration_cosine_median_mean,calibration_cosine_median_std,calibration_cosine_median_count
0.05,mid_long,timestep_ce,0.01756314926820156,0.004817636550227169,5,3.0131699277192205,0.7596653999017096,5,0.2937512173391368,0.06543934773657753,5,0.2792135379916257,0.06950258100491141,5
0.05,mid_long,whole_count_ce,0.03555665766031241,0.012726668533383905,5,1.5515064442440625,0.527422222939469,5,0.21415357204802574,0.1090518383752136,5,0.2141791911877134,0.1199805585016489,5
0.05,short_mid,timestep_ce,0.04028186117332747,0.029594529480503052,5,1.707751682775264,0.8782369553896109,5,0.20271558195612646,0.17423726746773996,5,0.20390902919999504,0.20277276610117498,5
0.05,short_mid,whole_count_ce,0.07918263270598644,0.05915625828631538,5,1.0090708053698065,0.7571757309993847,5,0.09406001040801415,0.15885033542185448,5,0.09080433993743106,0.14245679135554065,5
0.05,short_mid_long,timestep_ce,0.008916215929113323,0.0009632617902100417,5,5.658238915241954,0.5855307508625255,5,0.1700530369792345,0.05382339823400055,5,0.2022790842043102,0.04438795270667552,5
0.05,short_mid_long,whole_count_ce,0.012684156197738878,0.001027521462053916,5,3.9629561051610978,0.3247302609759262,5,0.08293720974797188,0.05474523634532678,5,0.09192349396107155,0.055825163448054195,5
0.1,mid_long,timestep_ce,0.01756314991209784,0.004817636194579717,5,6.026339547866227,1.5193305063278546,5,0.2937511529072593,0.06543934573139555,5,0.2792133167961476,0.06950267762609381,5
0.1,mid_long,whole_count_ce,0.03555665718418245,0.012726673400278422,5,3.103013083741179,1.054844647038507,5,0.21415355698733193,0.1090518454272786,5,0.2141791053826191,0.11998063437691045,5
0.1,short_mid,timestep_ce,0.04028186117332747,0.029594529480503052,5,3.415503365550528,1.7564739107792218,5,0.20271558028637565,0.17423726578860155,5,0.2039090208512407,0.2027727592817463,5
0.1,short_mid,whole_count_ce,0.07918262403973084,0.0591562411633646,5,2.018141640950277,1.5143514282539208,5,0.09406001724346501,0.1588503473912073,5,0.09080435177877373,0.14245679755730747,5
0.1,short_mid_long,timestep_ce,0.008916215933726898,0.0009632617846347522,5,11.316477823248032,1.1710614924022482,5,0.17005303808965883,0.05382340124827179,5,0.20227909200987212,0.04438796562626639,5
0.1,short_mid_long,whole_count_ce,0.012684156327469557,0.0010275199609175885,5,7.925912002964819,0.649459519029187,5,0.0829371813392992,0.054745203203412876,5,0.09192352931121384,0.055825192982708195,5
0.2,mid_long,timestep_ce,0.01756314959678938,0.004817636503378954,5,12.052679427416797,3.038661347222075,5,0.2937511670461582,0.06543935712602213,5,0.27921331498369234,0.06950267565054744,5
0.2,mid_long,whole_count_ce,0.03555665718418245,0.012726673400278422,5,6.206026167482358,2.109689294077014,5,0.21415355698733193,0.1090518454272786,5,0.2141791053826191,0.11998063437691045,5
0.2,short_mid,timestep_ce,0.04028185422675891,0.029594514494056416,5,6.831006839548257,3.5129474242369367,5,0.2027155971190437,0.17423725945135624,5,0.20390900849399102,0.20277277026621954,5
0.2,short_mid,whole_count_ce,0.0791826307102523,0.0591562336941232,5,4.036280660234112,3.02869760907204,5,0.09406005379734425,0.15885035254888719,5,0.09080437626847843,0.1424568316716464,5
0.2,short_mid_long,timestep_ce,0.008916217184776441,0.000963264221198355,5,22.632953365275046,2.3421274707805178,5,0.1700528553936074,0.053823705167465895,5,0.2022789385927754,0.04438802735126807,5
0.2,short_mid_long,whole_count_ce,0.012684154589070898,0.0010275264871317026,5,15.851827267264088,1.298927601511935,5,0.08293712043804374,0.05474531097507529,5,0.09192333595569557,0.0558253667337303,5
