target_grad_ratio,architecture,objective,train_ba_mean,train_ba_std,train_ba_count,val_ba_mean,val_ba_std,val_ba_count,test_ba_mean,test_ba_std,test_ba_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_last_hidden_events_per_neuron_second_mean,test_last_hidden_events_per_neuron_second_std,test_last_hidden_events_per_neuron_second_count,test_last_hidden_dead_neuron_fraction_mean,test_last_hidden_dead_neuron_fraction_std,test_last_hidden_dead_neuron_fraction_count,epochs_trained_mean,epochs_trained_std,epochs_trained_count,best_epoch_mean,best_epoch_std,best_epoch_count,kappa_mean,kappa_std,kappa_count
0.05,mid_long,timestep_ce,0.3322300527724966,0.17670604343192978,5,0.19600649350649352,0.0643699285977445,5,0.20517815517815516,0.0886446413000569,5,0.21369863013698626,0.0972747432802585,5,0.15423163608642634,0.08083990294743237,5,1.6341368455931078,0.9063850629987329,5,0.096875,0.08986073209069131,5,88.6,21.789905919943756,5,72.6,37.971041597512176,5,3.0131699277192205,0.7596653999017096,5
0.05,mid_long,whole_count_ce,0.8569306107085964,0.06019638225596589,5,0.3491233766233766,0.06689952770319868,5,0.37362179487179487,0.05274713341656026,5,0.3835616438356164,0.05056446253504588,5,0.3555696960737114,0.05961705360732992,5,7.876607024519549,1.4952390292909776,5,0.0,0.0,5,100.0,0.0,5,87.6,16.964669168598604,5,1.5515064442440625,0.527422222939469,5
0.05,short_mid,timestep_ce,0.2826771500412273,0.07418708312226555,5,0.17916666666666664,0.042344031165072626,5,0.21210650460650463,0.03672035570363627,5,0.22602739726027393,0.04166275705683712,5,0.15896812790465373,0.037799079284168036,5,1.2671388336646785,1.0039346358726187,5,0.20625,0.14839637588229707,5,100.0,0.0,5,96.2,4.438468204234427,5,1.707751682775264,0.8782369553896109,5
0.05,short_mid,whole_count_ce,0.7905820209782668,0.06144962824263382,5,0.42677368927368925,0.030231812944154723,5,0.4384475246975247,0.05669226782226167,5,0.45479452054794517,0.06021946476803634,5,0.4142069738355885,0.06465462685957449,5,7.701399933730947,2.0047555769700023,5,0.009375,0.02096313728906053,5,100.0,0.0,5,94.6,3.209361307176244,5,1.0090708053698065,0.7571757309993847,5
0.05,short_mid_long,timestep_ce,0.09933998943876858,0.020315257027292633,5,0.09444444444444444,0.007917884896521796,5,0.09015151515151515,0.009856806341180715,5,0.08356164383561644,0.011254573099421222,5,0.02668688484044788,0.015364265904384047,5,0.37182736911862163,0.306983531845582,5,0.384375,0.27189295917695255,5,70.8,21.475567512873788,5,15.0,20.97617696340303,5,5.658238915241954,0.5855307508625255,5
0.05,short_mid_long,whole_count_ce,0.14436474917602368,0.04678055127373796,5,0.10694444444444444,0.015987311712807418,5,0.08974386724386725,0.009273386070653273,5,0.08493150684931507,0.010387500608289794,5,0.036017607746976585,0.01641874883239594,5,0.7428346587143804,0.2548711557679151,5,0.1296875,0.049595532025324615,5,82.4,21.04281350010022,5,16.2,18.143869488066763,5,3.9629561051610978,0.3247302609759262,5
0.1,mid_long,timestep_ce,0.15578340727249346,0.12024121344301864,5,0.12261904761904763,0.05303913239657781,5,0.11576617826617826,0.05895304709918826,5,0.11369863013698629,0.0670393660451625,5,0.057887484311809824,0.07493781617341992,5,1.7326126573889993,1.7622364477110954,5,0.2203125,0.19751878866325603,5,62.0,21.6794833886788,5,25.0,31.709619991415853,5,6.026339547866227,1.5193305063278546,5
0.1,mid_long,whole_count_ce,0.8137309656260852,0.055125547839235456,5,0.3121669071669072,0.05139593159245321,5,0.37769952269952267,0.020538647003978384,5,0.38630136986301367,0.01576830744276895,5,0.36038179330340486,0.025029345583526808,5,5.606742876076872,1.4996058373895265,5,0.00625,0.010186253758129139,5,100.0,0.0,5,89.0,5.385164807134504,5,3.103013083741179,1.054844647038507,5
0.1,short_mid,timestep_ce,0.1806845307990526,0.1181734908348761,5,0.12277777777777779,0.06736898579401043,5,0.13060966810966812,0.06384879095193713,5,0.13013698630136986,0.07487401064751865,5,0.07062086137798895,0.07813072965755766,5,0.4459244532803181,0.5678643100578469,5,0.465625,0.2574334334468816,5,80.0,27.386127875258307,5,59.4,53.32260308724622,5,3.415503365550528,1.7564739107792218,5
0.1,short_mid,whole_count_ce,0.6700786264843466,0.1512024790767297,5,0.3658742183742184,0.08636064736725531,5,0.3887923187923188,0.06561604176145291,5,0.40684931506849314,0.06362862554791009,5,0.3525891367419906,0.07022109401199358,5,5.488626573889993,2.745429932556735,5,0.06875,0.13205205087625485,5,100.0,0.0,5,91.4,10.261578825892242,5,2.018141640950277,1.5143514282539208,5
