target_grad_ratio,architecture,objective,epochs_trained_mean,epochs_trained_std,epochs_trained_count,best_epoch_mean,best_epoch_std,best_epoch_count,early_stopped_int_mean,early_stopped_int_std,early_stopped_int_count
0.05,mid_long,timestep_ce,88.6,21.789905919943756,5,72.6,37.971041597512176,5,0.4,0.5477225575051661,5
0.05,mid_long,whole_count_ce,100.0,0.0,5,87.6,16.964669168598604,5,0.0,0.0,5
0.05,short_mid,timestep_ce,100.0,0.0,5,96.2,4.438468204234427,5,0.0,0.0,5
0.05,short_mid,whole_count_ce,100.0,0.0,5,94.6,3.209361307176244,5,0.0,0.0,5
0.05,short_mid_long,timestep_ce,70.8,21.475567512873788,5,15.0,20.97617696340303,5,0.8,0.4472135954999579,5
0.05,short_mid_long,whole_count_ce,82.4,21.04281350010022,5,16.2,18.143869488066763,5,0.6,0.5477225575051661,5
0.1,mid_long,timestep_ce,62.0,21.6794833886788,5,25.0,31.709619991415853,5,0.8,0.4472135954999579,5
0.1,mid_long,whole_count_ce,100.0,0.0,5,89.0,5.385164807134504,5,0.0,0.0,5
0.1,short_mid,timestep_ce,80.0,27.386127875258307,5,59.4,53.32260308724622,5,0.4,0.5477225575051661,5
0.1,short_mid,whole_count_ce,100.0,0.0,5,91.4,10.261578825892242,5,0.0,0.0,5
0.1,short_mid_long,timestep_ce,50.0,0.0,5,3.0,2.5495097567963922,5,1.0,0.0,5
0.1,short_mid_long,whole_count_ce,60.4,15.323185047502363,5,11.2,10.639548862616309,5,1.0,0.0,5
0.2,mid_long,timestep_ce,57.4,16.546903033498445,5,13.6,19.81918262693999,5,1.0,0.0,5
0.2,mid_long,whole_count_ce,96.2,8.497058314499203,5,84.6,22.38972978845435,5,0.2,0.447213595499958,5
0.2,short_mid,timestep_ce,52.2,4.919349550499538,5,13.2,26.72452057568106,5,1.0,0.0,5
0.2,short_mid,whole_count_ce,90.0,22.360679774997898,5,76.2,42.12718837045739,5,0.2,0.4472135954999579,5
0.2,short_mid_long,timestep_ce,50.0,0.0,5,2.4,2.1908902300206643,5,1.0,0.0,5
0.2,short_mid_long,whole_count_ce,50.0,0.0,5,4.4,3.2093613071762426,5,1.0,0.0,5
