target_grad_ratio,architecture,objective,seed,calibration_ratio_median,calibration_ratio_mean,calibration_ratio_std,kappa,calibration_cosine_mean,calibration_cosine_median
0.05,short_mid_long,whole_count_ce,11,0.013600183505811598,0.013524928939498807,0.001161796525801477,3.6764209820135236,0.1714107917819677,0.16477574876584558
0.05,short_mid_long,whole_count_ce,23,0.011528123895483803,0.013110165462473237,0.004864298655246583,4.337219174022561,0.0993736126657633,0.12959042316803945
0.05,short_mid_long,whole_count_ce,37,0.013734096988186452,0.014736892808141309,0.0052714993127891885,3.6405742614900785,0.056439465768376995,0.05239537097046539
0.05,short_mid_long,whole_count_ce,53,0.0117236205510589,0.013375859823240428,0.0066746422596418095,4.264894089862359,0.03617915745366125,0.02764247204969888
0.05,short_mid_long,whole_count_ce,71,0.012834756048153628,0.012069068685403878,0.002375169356724058,3.895672018416966,0.051283021070090105,0.0852134548513084
0.05,short_mid_long,timestep_ce,11,0.009408297184545066,0.009098492385524359,0.0011522819739009644,5.314457974619955,0.1892204320337097,0.22227128289274783
0.05,short_mid_long,timestep_ce,23,0.00817411883315152,0.008854738198539058,0.001355527481272935,6.116867275921725,0.159843014503742,0.17603930352341998
0.05,short_mid_long,timestep_ce,37,0.01032956586680106,0.01094976919238453,0.0020254515974068815,4.84047448312408,0.21404433423517397,0.21974400777258665
0.05,short_mid_long,timestep_ce,53,0.00798497064396531,0.009459263895781339,0.0026370191410931463,6.261763784665608,0.08121210785944964,0.13999145192220286
0.05,short_mid_long,timestep_ce,71,0.008684127117103651,0.009707360028423562,0.0015913232696156633,5.757631057878401,0.20594529626409716,0.25334937491059367
0.05,short_mid,whole_count_ce,11,0.06646875424734493,0.06881530492045061,0.024520163688847706,0.7522331442220047,-0.02830559386823068,0.025235824483714583
0.05,short_mid,whole_count_ce,23,0.038989185695920615,0.04252744653651813,0.022439749108746243,1.282406880460482,0.32020476409162013,0.24243526393662382
0.05,short_mid,whole_count_ce,37,0.17299888089297394,0.2227781209590014,0.22650977366066535,0.2890192106556608,-0.05315480179714405,-0.06453195525728267
0.05,short_mid,whole_count_ce,53,0.022794640439980234,0.053134257483275736,0.05605781901898053,2.193498078272094,0.1938912087555066,0.24239379924833798
0.05,short_mid,whole_count_ce,71,0.09466170225371244,0.1591053080495833,0.14840412432955855,0.5281967132387914,0.0376644748583187,0.008488767275761566
0.05,short_mid,timestep_ce,11,0.02956961568858628,0.04175390009326453,0.027027916349037628,1.6909249185575228,0.09459158568020823,0.1370974570771916
0.05,short_mid,timestep_ce,23,0.018257842649153287,0.020812225766864926,0.006503940105121013,2.738549179156102,0.4344027123108332,0.4778020053824242
0.05,short_mid,timestep_ce,37,0.09064792863051525,0.19163777975235768,0.26624320172566396,0.5515845839545004,0.0422319906810462,-0.035776535764829843
0.05,short_mid,timestep_ce,53,0.021186167419960662,0.020517572007941916,0.0063595056215771245,2.3600304391483395,0.3428890666266632,0.3364121088114329
0.05,short_mid,timestep_ce,71,0.041747751478421864,0.0766341036941427,0.09683088734592224,1.1976692930598543,0.09946255448188161,0.10401011049375641
0.05,mid_long,whole_count_ce,11,0.03590832011375551,0.03661178461557617,0.0034266512498825757,1.3924349521671537,0.264328120935429,0.2389790119670015
0.05,mid_long,whole_count_ce,23,0.03862158811582185,0.036371934851756334,0.004298932607881822,1.2946127396433196,0.3279177446938342,0.3631079448491798
0.05,mid_long,whole_count_ce,37,0.022285334222471965,0.02285325541783006,0.0023202816838639832,2.2436280066906638,0.10140083787684304,0.10084243361630961
0.05,mid_long,whole_count_ce,53,0.026102280680404415,0.027094247272857874,0.003752805193045087,1.9155414276705773,0.28365595092536655,0.28427716717885443
0.05,mid_long,whole_count_ce,71,0.0548657651691083,0.05169543984893442,0.00714968666190578,0.9113150950485983,0.09346520580865592,0.08368939832722146
0.05,mid_long,timestep_ce,11,0.014940887070262934,0.015309863123523157,0.0006604644987437166,3.346521512736398,0.308249780247417,0.2797771990634555
0.05,mid_long,timestep_ce,23,0.022296810811915767,0.022673889732435473,0.001989712987280526,2.242473169000439,0.3514177821320127,0.3434508837642509
0.05,mid_long,timestep_ce,37,0.013499599178175326,0.01329122276832954,0.0008857149074300825,3.703813671804014,0.18521699297130553,0.17373583469024442
0.05,mid_long,timestep_ce,53,0.013788604076817788,0.014530206690674776,0.0014591940007920386,3.626182876921018,0.3359415821763639,0.3398187339276181
0.05,mid_long,timestep_ce,71,0.023289845203835972,0.024004822924004375,0.0022877650998557393,2.1468584081342335,0.2879299491685849,0.2592850385125596
0.1,short_mid_long,whole_count_ce,11,0.013600181359512263,0.01352492851895869,0.0011617967002964392,7.3528431244086185,0.1714107211330767,0.16477577888303818
0.1,short_mid_long,whole_count_ce,23,0.011528126542796766,0.013110166263509549,0.00486429765694117,8.674436356051626,0.0993735422989383,0.12959056202922886
0.1,short_mid_long,whole_count_ce,37,0.013734096461392151,0.014736892888137908,0.005271499125152505,7.281148802260819,0.0564394686149368,0.052395380823288804
0.1,short_mid_long,whole_count_ce,53,0.011723621173682797,0.01337586074236714,0.006674644804323407,8.52978772672049,0.036179150668507125,0.027642479935170782
0.1,short_mid_long,whole_count_ce,71,0.012834756099963809,0.012069068829489129,0.0023751695155760457,7.791344005382539,0.05128302398103709,0.08521344488534252
0.1,short_mid_long,timestep_ce,11,0.009408297184545066,0.009098492393529384,0.0011522819830957329,10.62891594923991,0.18922043338928404,0.22227128342687671
0.1,short_mid_long,timestep_ce,23,0.00817411883315152,0.008854738301215572,0.0013555276820642528,12.23373455184345,0.15984301139077622,0.17603929229246285
0.1,short_mid_long,timestep_ce,37,0.01032956586680106,0.01094976919238453,0.0020254515974068815,9.68094896624816,0.21404433694699693,0.21974402416673855
0.1,short_mid_long,timestep_ce,53,0.00798497066703319,0.009459263900394916,0.0026370191378689736,12.523527533151844,0.08121210539924723,0.13999145192220286
0.1,short_mid_long,timestep_ce,71,0.008684127117103651,0.009707360028423562,0.0015913232696156633,11.515262115756801,0.20594530332198974,0.25334940824107977
0.1,short_mid,whole_count_ce,11,0.06646875424734493,0.06881530358742766,0.024520161221378255,1.5044662884440094,-0.028305593807798846,0.02523582643736299
0.1,short_mid,whole_count_ce,23,0.03898918559548775,0.04252744600483652,0.022439749621649786,2.5648137675277085,0.3202047851719165,0.2424352807825633
0.1,short_mid,whole_count_ce,37,0.17299883766212878,0.22277811307275974,0.22650977547858636,0.578038565757896,-0.05315480690345241,-0.06453195525728267
0.1,short_mid,whole_count_ce,53,0.022794640439980234,0.05313425686664005,0.0560578188801338,4.386996156544188,0.19389122870721218,0.242393818203908
0.1,short_mid,whole_count_ce,71,0.09466170225371244,0.1591053132752514,0.14840412358737673,1.0563934264775827,0.03766447304944766,0.008488788727316992
0.1,short_mid,timestep_ce,11,0.02956961568858628,0.04175390009326453,0.027027916349037628,3.3818498371150456,0.09459158568020823,0.1370974570771916
0.1,short_mid,timestep_ce,23,0.018257842649153287,0.020812225766864926,0.006503940105121013,5.477098358312204,0.4344027123108332,0.4778020053824242
0.1,short_mid,timestep_ce,37,0.09064792863051525,0.19163777975235768,0.26624320172566396,1.1031691679090008,0.0422319906810462,-0.035776535764829843
0.1,short_mid,timestep_ce,53,0.021186167419960662,0.02051757201304452,0.00635950561543366,4.720060878296679,0.3428890582779089,0.33641206706766136
