architecture,objective,seed,epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
short_mid_long,whole_count_ce,11,1,0.05,0.0136001835058115,3.676420982013524,0.1,0.3676420982013524,0.0036764209820135,0.0367642098201352,2.50807693657079,0.0002661928704672,0.0077387868168662,0.0007765405994107,0.0002854890189563,2.5083623646458744,0.0001138278554352,0.0902777777777777,2.4803056716918945,2.4803056716918945,1,0,False,0.023264096615386,0.000254590139048,0.0109434784104065,0.004023283364423,-0.0597758122288567,0.0001611847904043,3.709927173444589e-05,0.0006002945484927
short_mid_long,whole_count_ce,11,2,0.05,0.0136001835058115,3.676420982013524,0.2,0.7352841964027048,0.007352841964027,0.0735284196402704,2.4822072728365505,0.0002655582897214,0.0069915870935519,0.0007018143018201,0.0005160329692913,2.4827233000999884,0.0002078927795186,0.0833333333333333,2.48450255393982,2.48450255393982,1,1,False,,,,,,0.0001592107118228,3.500362848182748e-05,0.0006024605021916
short_mid_long,whole_count_ce,11,3,0.05,0.0136001835058115,3.676420982013524,0.3,1.102926294604057,0.0110292629460405,0.1102926294604057,2.479774501770992,0.0002665676608547,0.0065942837659545,0.00066209405754,0.0007302409106875,2.480504709759185,0.0002944787560989,0.0833333333333333,2.485227584838867,2.485227584838867,1,2,False,,,,,,0.0001590526262526,3.4432810531086975e-05,0.0006062175577431
short_mid_long,whole_count_ce,11,4,0.05,0.0136001835058115,3.676420982013524,0.4,1.4705683928054096,0.014705683928054,0.1470568392805409,2.4770887690033643,0.0002518998423515,0.0061312188937772,0.0006156408986583,0.0009053420617482,2.477994110005653,0.0003654863213127,0.0833333333333333,2.4850594997406006,2.4850594997406006,1,3,False,,,,,,0.0001586376124429,3.3195529458633576e-05,0.0005638664034307
short_mid_long,whole_count_ce,11,5,0.05,0.0136001835058115,3.676420982013524,0.5,1.8382104910067616,0.0183821049100676,0.1838210491006762,2.473490769194244,0.0002298182172437,0.0056011289592171,0.0005624110893812,0.0010338299362735,2.4745245829301528,0.0004179639354831,0.0833333333333333,2.4852612018585205,2.4852612018585205,1,4,False,0.0043270896403391,0.0001419999344137,0.0328164993602002,0.0603236334020367,0.011380183219382,0.0001594542544793,3.061955789995854e-05,0.0004993808134571
short_mid_long,whole_count_ce,11,6,0.05,0.0136001835058115,3.676420982013524,0.6,2.205852589208114,0.0220585258920811,0.2205852589208114,2.4688472357961686,0.0002027922884873,0.0050422584657235,0.0005062537830544,0.0011167211739407,2.4699638981417,0.0004523249384365,0.0833333333333333,2.4851179122924805,2.4851179122924805,1,5,False,,,,,,0.0001624307281913,2.7644315089637905e-05,0.0004183018113265
short_mid_long,whole_count_ce,11,7,0.05,0.0136001835058115,3.676420982013524,0.7,2.5734946874094664,0.0257349468740946,0.2573494687409466,2.4661806721285164,0.0001791089211464,0.0046014166753675,0.0004619327775545,0.0011887815488396,2.467369439064328,0.0004820334382937,0.0833333333333333,2.4850924015045166,2.4850924015045166,1,6,False,,,,,,0.0001685195622012,2.472271969935736e-05,0.0003440844812474
short_mid_long,whole_count_ce,11,8,0.05,0.0136001835058115,3.676420982013524,0.8,2.9411367856108197,0.0294113678561081,0.2941136785610819,2.464964388159589,0.000165585830019,0.0040971262335597,0.0004113684909293,0.0012098910077034,2.466174285711397,0.0004908350861031,0.0833333333333333,2.485335111618042,2.485335111618042,1,7,False,,,,,,0.0001773400281136,2.217291553365307e-05,0.0002972445448318
short_mid_long,whole_count_ce,11,9,0.05,0.0136001835058115,3.676420982013524,0.9,3.3087788838121712,0.0330877888381217,0.3308778883812171,2.457772100648864,0.0001591621609731,0.003729549262243,0.0003745465667833,0.0012392918324809,2.4590113712875445,0.0005042338271126,0.0833333333333333,2.4852616786956787,2.4852616786956787,1,8,False,,,,,,0.0001880007627127,2.0959106349814467e-05,0.0002685266091262
short_mid_long,whole_count_ce,11,10,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.4545061255896563,0.0001504832518968,0.0034810764716678,0.0003496124866985,0.0012853226425861,2.45579147831298,0.0005236583560276,0.0833333333333333,2.4851365089416504,2.4851365089416504,1,9,False,0.0016908328094754,0.0001119562048105,0.0662136458336825,0.2434292368385627,-0.0454269744645389,0.0002015903994854,1.9176455005595525e-05,0.0002306829043443
short_mid_long,whole_count_ce,11,11,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.451273259936019,0.0001436801634391,0.003146277543433,0.0003160645614423,0.0011619863432163,2.4524352365845044,0.0004740337857096,0.0833333333333333,2.484906911849976,2.484906911849976,1,10,False,,,,,,0.0002195064422555,1.739880555037252e-05,0.000194135230602
short_mid_long,whole_count_ce,11,12,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.452514070652028,0.0001436842836223,0.0028379533596965,0.0002852321856674,0.001048633561615,2.4535627348697946,0.0004275749420415,0.0833333333333333,2.484906911849976,2.484906911849976,1,11,False,,,,,,0.0002400324994092,1.6300818086528408e-05,0.0001747195493234
short_mid_long,whole_count_ce,11,13,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.450137284864862,0.0001492225930191,0.0026552553890551,0.0002670177666706,0.0009816697150069,2.4511189583862096,0.0004006590655433,0.0833333333333333,2.484906911849976,2.484906911849976,1,12,False,,,,,,0.0002633463427033,1.4936568508230842e-05,0.0001693848734312
short_mid_long,whole_count_ce,11,14,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.4464568221835794,0.0001531195280167,0.0025500460955027,0.0002565358064326,0.000943133610913,2.4473999170346024,0.0003855100169195,0.0833333333333333,2.484906911849976,2.484906911849976,1,13,False,,,,,,0.0002855024619205,1.371631343645026e-05,0.0001601397954562
short_mid_long,whole_count_ce,11,15,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.4404313026730247,0.000157281629366,0.0024595798611185,0.0002475308076832,0.0009100274511463,2.4413413435169424,0.0003728961557531,0.0833333333333333,2.484906911849976,2.484906911849976,1,14,False,,,,,,0.0003078535651301,1.3081529619730347e-05,0.0001509097835224
short_mid_long,whole_count_ce,11,16,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.4368252639310906,0.0001648890603235,0.0023829930511234,0.0002399482052988,0.0008821506050203,2.4377074430403325,0.0003620081497338,0.0833333333333333,2.484906911849976,2.484906911849976,1,15,False,,,,,,0.0003313405828277,1.2686858753522052e-05,0.0001506397431431
short_mid_long,whole_count_ce,11,17,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.430910785924547,0.000168928542827,0.002455329742297,0.0002472222600183,0.0009088931004007,2.4318196486277754,0.0003738899451446,0.0833333333333333,2.484906911849976,2.484906911849976,1,16,False,,,,,,0.0003546450195734,1.2202836774239666e-05,0.000139937791343
short_mid_long,whole_count_ce,11,18,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.429234847349472,0.0001743624681925,0.0024121775662144,0.0002429613875318,0.0008932283216696,2.430128044597869,0.0003676994518023,0.0833333333333333,2.484906911849976,2.484906911849976,1,17,False,,,,,,0.0003780988081604,1.1993615856175166e-05,0.0001329949740209
short_mid_long,whole_count_ce,11,19,0.05,0.0136001835058115,3.676420982013524,1.0,3.676420982013524,0.0367642098201352,0.3676420982013524,2.4254287380770028,0.0001744180335412,0.0022209708497934,0.0002238412681512,0.0008229347234014,2.4262517220797517,0.0003392945381087,0.0833333333333333,2.474571704864502,2.474571704864502,19,0,False,,,,,,0.0004003334526179,1.085394630415494e-05,0.0001120667111097
