system,target_grad_ratio,architecture,objective,mean_test_ba,sd_test_ba,n,training_budget
exp0.1.5_gradient_calibrated_all_fixes,0.05,mid_long,timestep_ce,0.20517815517815516,0.0886446413000569,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.05,mid_long,whole_count_ce,0.37362179487179487,0.05274713341656026,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.05,short_mid,timestep_ce,0.21210650460650463,0.03672035570363627,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.05,short_mid,whole_count_ce,0.4384475246975247,0.05669226782226167,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.05,short_mid_long,timestep_ce,0.09015151515151515,0.009856806341180715,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.05,short_mid_long,whole_count_ce,0.08974386724386725,0.009273386070653273,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,mid_long,timestep_ce,0.11576617826617826,0.05895304709918826,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,mid_long,whole_count_ce,0.37769952269952267,0.020538647003978384,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,short_mid,timestep_ce,0.13060966810966812,0.06384879095193713,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,short_mid,whole_count_ce,0.3887923187923188,0.06561604176145291,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,short_mid_long,timestep_ce,0.0869047619047619,0.004096145209475228,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.1,short_mid_long,whole_count_ce,0.08831168831168831,0.009453449264901497,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,mid_long,timestep_ce,0.09593073593073592,0.02035446438280098,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,mid_long,whole_count_ce,0.3180863580863581,0.06636035427308458,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,short_mid,timestep_ce,0.09214285714285714,0.019698694087498143,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,short_mid,whole_count_ce,0.30918262293262294,0.15247261562789316,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,short_mid_long,timestep_ce,0.08268398268398268,0.005430161776754155,5,"50-100 epochs, patience-30 after epoch 50"
exp0.1.5_gradient_calibrated_all_fixes,0.2,short_mid_long,whole_count_ce,0.08831168831168831,0.011937921155187275,5,"50-100 epochs, patience-30 after epoch 50"
frozen_exp0.1_no_reg,0.0,mid_long,timestep_ce,0.304034299034299,0.044997094508910235,5,frozen Exp0.1 100 epochs
frozen_exp0.1_no_reg,0.0,mid_long,whole_count_ce,0.4007899045399045,0.0306368736022209,5,frozen Exp0.1 100 epochs
frozen_exp0.1_no_reg,0.0,short_mid,timestep_ce,0.28146353646353645,0.0251649721244545,5,frozen Exp0.1 100 epochs
frozen_exp0.1_no_reg,0.0,short_mid,whole_count_ce,0.4572102897102896,0.02698467670942381,5,frozen Exp0.1 100 epochs
frozen_exp0.1_no_reg,0.0,short_mid_long,timestep_ce,0.13210456210456206,0.015681832788252182,5,frozen Exp0.1 100 epochs
frozen_exp0.1_no_reg,0.0,short_mid_long,whole_count_ce,0.21872308247308245,0.01572004141028019,5,frozen Exp0.1 100 epochs
