family,target_grad_ratio,target_grad_percent,architecture,objective,variant,hidden_cap,output_cap,seed,epochs_trained,early_stopped,stop_reason,best_epoch,calibration_ratio_median,kappa,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,test_last_hidden_events_per_neuron_second,test_mean_dead_neuron_fraction,test_last_hidden_dead_neuron_fraction,test_mean_active_step_fraction,test_last_hidden_active_step_fraction
direct_snn,0.05,5,short_mid_long,whole_count_ce,binary,1,1,11,100,False,max_epochs,1,0.013600183505811598,3.6764209820135236,0.0752052957935311,0.09027777777777778,0.08766233766233766,0.0821917808219178,0.03187559989030577,0.7118124585818423,0.375,0.078125,0.004307704122487298,0.011122069665341286
direct_snn,0.05,5,short_mid_long,whole_count_ce,binary,1,1,23,100,False,max_epochs,13,0.011528123895483803,4.337219174022561,0.16390350214966384,0.125,0.091991341991342,0.08904109589041095,0.046623146357188915,1.052766732935719,0.3958333333333333,0.109375,0.0069030262867241,0.01644948020212061
direct_snn,0.05,5,short_mid_long,whole_count_ce,binary,1,1,37,74,True,patience_30_after_min50,47,0.013734096988186452,3.6405742614900785,0.20021417916465087,0.1111111111111111,0.10131673881673882,0.0958904109589041,0.05434217799889441,0.5845344599072233,0.5520833333333334,0.2109375,0.0034157036944996687,0.009133350936050364
direct_snn,0.05,5,short_mid_long,whole_count_ce,binary,1,1,53,88,True,patience_30_after_min50,5,0.0117236205510589,4.264894089862359,0.1262448906617423,0.09027777777777778,0.07575757575757576,0.0684931506849315,0.011261261261261262,0.4271040424121935,0.4296875,0.1328125,0.002498679796222664,0.006673500662690524
direct_snn,0.05,5,short_mid_long,whole_count_ce,binary,1,1,71,50,True,patience_30_after_min50,15,0.012834756048153628,3.895672018416966,0.15625587811053032,0.11805555555555557,0.091991341991342,0.08904109589041095,0.035985853227232543,0.9379555997349238,0.4895833333333333,0.1171875,0.005683132110117076,0.014655556245858185
direct_snn,0.05,5,short_mid_long,timestep_ce,binary,1,1,11,50,True,patience_30_after_min50,1,0.009408297184545066,5.314457974619955,0.0688229707837551,0.09027777777777778,0.08928571428571429,0.0821917808219178,0.0357210806697108,0.720303180914513,0.3932291666666667,0.1015625,0.004346965084493041,0.011254737201789265
direct_snn,0.05,5,short_mid_long,timestep_ce,binary,1,1,23,100,False,max_epochs,8,0.00817411883315152,6.116867275921725,0.10191430817610063,0.10416666666666667,0.10714285714285714,0.10273972602739725,0.047149122807017545,0.6755301524188204,0.4973958333333333,0.2265625,0.004282680652197924,0.010555158631544069
direct_snn,0.05,5,short_mid_long,timestep_ce,binary,1,1,37,72,True,patience_30_after_min50,10,0.01032956586680106,4.84047448312408,0.10354414162590263,0.09722222222222222,0.08333333333333333,0.07534246575342465,0.011752136752136752,0.03864314115308151,0.7604166666666666,0.6953125,0.00027568961232604373,0.0006037990805168986
direct_snn,0.05,5,short_mid_long,timestep_ce,binary,1,1,53,50,True,patience_30_after_min50,4,0.00798497064396531,6.261763784665608,0.0968306523141429,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.011827956989247311,0.23873426110006626,0.4869791666666667,0.2421875,0.0014608529379279876,0.0037302228296885354
direct_snn,0.05,5,short_mid_long,timestep_ce,binary,1,1,71,82,True,patience_30_after_min50,52,0.008684127117103651,5.757631057878401,0.12558787429394164,0.09722222222222222,0.08766233766233766,0.0821917808219178,0.026984126984126982,0.1859261100066269,0.8229166666666666,0.65625,0.0010650075242986526,0.0029050954688535453
