epoch,train_objective_loss,train_phase_ce,train_progress_loss,train_phase_balanced_accuracy,train_progress_sample_balanced_mae,val_objective_loss,val_phase_ce,val_progress_loss,val_phase_balanced_accuracy,val_progress_sample_balanced_mae
1,2.3457960388951786,2.2938248910099626,0.051971168524991215,0.14638203810144104,0.27455907680491776,2.1486661955714226,2.1119296550750732,0.036736540496349335,0.2060592932745938,0.22898558964804996
2,2.1317124510385903,2.0929952209459524,0.03871721089553094,0.21076284832524989,0.2334467482443726,2.0795356519520283,2.0452654361724854,0.03427021577954292,0.24429060513947548,0.21861722734239367
3,2.049884289349213,2.0128265286887164,0.0370577409632645,0.2460409988509958,0.2274634431848838,2.011681728065014,1.9795204401016235,0.03216128796339035,0.2707788513761574,0.20929212418813553
4,1.9747425231588893,1.9406302562063615,0.03411230438496283,0.2732739990990694,0.21358725208013274,1.9773872327059507,1.9469224214553833,0.030464811250567436,0.2806062732077466,0.2019790770515563
5,1.919316484267453,1.8886692484972194,0.03064723267971751,0.2898562807527907,0.20118391493306512,1.9489918015897274,1.9196386337280273,0.029353167861700058,0.30010037383116595,0.19736521584647043
6,1.8806972788861613,1.8517548481896904,0.028942414064107788,0.3087474474879793,0.19474948088601615,1.9259682204574347,1.8968044519424438,0.029163768514990807,0.3086278086929053,0.19720749627976192
7,1.8389022436486668,1.8107071515820319,0.02819510905485658,0.3205843203197138,0.19274398094610584,1.916412739083171,1.888099193572998,0.028313545510172844,0.30605008565146835,0.1933269500732422
8,1.804171032010996,1.776899157826133,0.027271863861769285,0.32980659729265954,0.18781204683234892,1.909117927774787,1.880982518196106,0.028135409578680992,0.31415918969100426,0.19166439298599486
9,1.7807386126657772,1.7539423905223248,0.026796210563634227,0.34252245821385985,0.1858018310468086,1.9210779406130314,1.8927927017211914,0.02828523889183998,0.3131035260720887,0.19269976540217323
10,1.7571603942040528,1.7309878313602967,0.026172583457883994,0.3492076096978017,0.18266306727765555,1.9048995394259691,1.8767540454864502,0.02814549393951893,0.3117751220468149,0.1919945308140346
11,1.7234176803579018,1.6980041686105647,0.02541351739297943,0.3594533020815906,0.1791668348591422,1.8915143720805645,1.8636751174926758,0.027839254587888718,0.3146330837360515,0.19018026382204087
12,1.70008468094463,1.6751474630401795,0.024937232619667626,0.36604134417092793,0.17659102126366094,1.9196580927819014,1.8919298648834229,0.027728227898478508,0.31037054106038187,0.1896774201166062
13,1.6757794647331696,1.6514757387404186,0.024303707491330765,0.3762030369626016,0.17303087789302438,1.8843907993286848,1.8574280738830566,0.026962725445628166,0.3112061699125446,0.18697031717451792
14,1.6624879787793052,1.6384950137589762,0.023992983015212462,0.3776750741082965,0.17172131891299852,1.9479490742087364,1.9192838668823242,0.0286652073264122,0.30248221718427526,0.1939687274751209
15,1.6535598626440446,1.6299123924078096,0.023647465981966247,0.38566870267299624,0.16969633841063192,1.9041794389486313,1.877426266670227,0.026753172278404236,0.3096658488748897,0.18517606220548116
16,1.633395930575832,1.6101545772536077,0.023241372205150313,0.3929601461232209,0.16756129470011044,1.8969917818903923,1.8704402446746826,0.026551537215709686,0.3148215103671846,0.18529348524789963
17,1.653974241110626,1.6310120747134524,0.022962173822106673,0.3795744891973489,0.16627122777259287,1.9855624046176672,1.9582293033599854,0.027333101257681847,0.30626317377338114,0.18912668076772537
18,1.6523209194718458,1.6298817783953197,0.02243914370218263,0.37532688081996735,0.16369136475449791,1.9161772429943085,1.8904616832733154,0.025715559720993042,0.30705214612606485,0.18089569939507377
19,1.635534666696637,1.613295720079064,0.022238959816385465,0.3768116398766339,0.16224819288401512,2.05572072789073,2.0270779132843018,0.028642814606428146,0.2846892311994388,0.19294908311631945
20,1.6300789152693624,1.6079040369765893,0.022174905254641827,0.38056085181651733,0.1622788565499442,1.9412376061081886,1.914731502532959,0.026506103575229645,0.30013750552077556,0.18574068281385633
21,1.5974641012447837,1.5757400788456561,0.02172400380794132,0.3925388951859238,0.16027367833149003,1.958260778337717,1.9312067031860352,0.0270540751516819,0.29798507445628636,0.1876462603372241
22,1.5723214026367398,1.550775199051363,0.021546184766569564,0.40260739934447337,0.1595479945512729,1.9205803517252207,1.8940589427947998,0.026521408930420876,0.3125945159783923,0.185315555996365
23,1.5534629985920945,1.5323119093752153,0.021151101710387022,0.41200607457683225,0.15699919406805515,2.0119621604681015,1.9843378067016602,0.027624353766441345,0.3054403986845638,0.18966208563910592
24,1.5563359814543731,1.5350570744368377,0.021278883114123712,0.4118782169435827,0.15750294749379773,1.9598871767520905,1.9337091445922852,0.026178032159805298,0.30626693032269625,0.18332821982247488
25,1.5446975694876324,1.5239696695554277,0.020727913320167133,0.41227341265866607,0.15504559633448695,1.9255082178860903,1.8995085954666138,0.02599962241947651,0.31307173031270263,0.18341187068394252
26,1.5321341020515167,1.51170318651938,0.020430917484547922,0.41873121552044906,0.15375893866954285,1.972059153020382,1.9456722736358643,0.02638687938451767,0.3115102295936064,0.18521443624345083
27,1.537468373467713,1.5169717719755977,0.02049658659095403,0.41424050105091864,0.15377791202827493,1.9435760527849197,1.9179401397705078,0.025635913014411926,0.3133306325598778,0.18247749691917783
