configuration,configuration_label,objective,seed,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_hidden_1_firing_rate,train_hidden_2_firing_rate,train_output_firing_rate,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_hidden_1_firing_rate,val_hidden_2_firing_rate,val_output_firing_rate,val_silent_output_fraction,val_hidden_1_shift_2_firing_rate,val_hidden_2_shift_2_firing_rate
single_scale_2,Single-scale 2,timestep_ce,23,1,2.484863315309797,0.08433734939759036,0.08541666666666665,0.016464279898573988,0.0001957475672869178,3.519792486643107e-05,3.34969099100608e-05,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,2.2632999736634185e-05,0.0,0.0,1.0,2.2632999736634185e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,2,2.484821399600083,0.08605851979345955,0.08698899371069181,0.01969481136147803,0.0001983645133736413,3.5328772170767246e-05,3.628831906923253e-05,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,2.5376393644104996e-05,0.0,0.0,1.0,2.5376393644104996e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,3,2.4847107799451242,0.08950086058519793,0.09019412191582,0.026025343051470983,0.00020569196241646708,3.951588590952485e-05,4.884966028550533e-05,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,2.7433939074708104e-05,0.0,0.0,1.0,2.7433939074708104e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,4,2.4846223262419183,0.08950086058519793,0.09019412191582,0.026025343051470983,0.00021995431858911016,5.1030448691108246e-05,7.815945645680853e-05,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,3.429242384338513e-05,0.0,0.0,1.0,3.429242384338513e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,5,2.4844632251332426,0.09122203098106713,0.09227745524915336,0.029525330547232862,0.00023722616276148525,6.529280486375131e-05,0.0001172391846852128,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,3.7721666227723644e-05,0.0,0.0,1.0,3.7721666227723644e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,6,2.48422785634223,0.09294320137693632,0.09436078858248668,0.033111129894005414,0.0002615637613680138,8.191041251444554e-05,0.00016329743581154638,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,4.1836757088929855e-05,0.0,0.0,1.0,4.1836757088929855e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,7,2.484107748366469,0.09294320137693632,0.09436078858248668,0.032595012609942034,0.0002882566114525935,0.00010873410990336142,0.0002163342098358093,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,5.34961811956808e-05,0.0,0.0,1.0,5.34961811956808e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,8,2.4838437192821665,0.0963855421686747,0.09804668601838414,0.03900608191388333,0.0003183514914499137,0.00013568865459661345,0.0002540182334846277,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,6.446975682556405e-05,0.0,0.0,1.0,6.446975682556405e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,9,2.4835029309054457,0.0963855421686747,0.09804668601838414,0.038061203754816024,0.00035642805701174065,0.00017952250154923207,0.00035311325863522425,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,8.23018172241243e-05,0.0,0.0,1.0,8.23018172241243e-05,0.0
single_scale_2,Single-scale 2,timestep_ce,23,10,2.483078960297235,0.09982788296041308,0.10125656256159403,0.0436994327412221,0.0004018320716163934,0.00024102073458723432,0.0004340641242512045,2.4849066734313965,0.05555555555555555,0.08333333333333333,0.008771929824561403,0.00010013387762268458,2.057545430603108e-06,0.0,1.0,0.00010013387762268458,2.057545430603108e-06
