seed,backbone_objective,case,aggregation,center,bias,selected_C,train_ba,val_ba,test_ba,legacy_l2_wholecount_probe_test_ba,test_ba_minus_legacy_pp,weight_l2,explicit_intercept_l2,centering_offset_l2,effective_intercept_l2,effective_intercept_span,p7_abs_test_ba_delta
11,wcce,P1_mean_scale_no_center_bias,mean,False,True,0.1,0.9629059821622222,0.5577801827801828,0.5470009157509156,0.5758297258297258,-2.882881007881022,17.965307309095408,2.9188089096895546,0.0,2.9188089096895546,2.6465101926493375,
23,wcce,P1_mean_scale_no_center_bias,mean,False,True,1.0,0.9850409906477239,0.5420093795093796,0.5671509046509046,0.5878697691197691,-2.0718864468864506,39.61910530657324,5.205193674567738,0.0,5.205193674567738,4.620912738827194,
37,wcce,P1_mean_scale_no_center_bias,mean,False,True,0.1,0.9502493917482789,0.5623737373737373,0.5561750749250748,0.5951208513708514,-3.894577644577657,18.41668589339384,2.286247390687642,0.0,2.286247390687642,2.0138694917711915,
11,wcce,P2_mean_scale_center_no_bias,mean,True,False,0.1,0.9645085462647863,0.5528198653198654,0.539425158175158,0.5758297258297258,-3.6404567654567788,18.04117243859667,0.0,3.054075435585455,3.054075435585455,2.9164089935016175,
23,wcce,P2_mean_scale_center_no_bias,mean,True,False,1.0,0.9850409906477239,0.5512686387686389,0.581594794094794,0.5878697691197691,-0.6274975024975094,40.421850222449045,0.0,5.491906524967074,5.491906524967074,5.011316887645045,
37,wcce,P2_mean_scale_center_no_bias,mean,True,False,0.1,0.9455010536666074,0.5838023088023088,0.5623619436119437,0.5951208513708514,-3.2758907758907663,18.504943601467996,0.0,2.4580715934105855,2.4580715934105855,2.1661335775431665,
11,wcce,P3_mean_scale_center_bias,mean,True,True,0.1,0.9644783092062474,0.5508357383357384,0.5470009157509156,0.5758297258297258,-2.882881007881022,17.970300012087566,2.8546151943382965,5.014323535515278,3.0003293568815326,2.7430347591799715,
23,wcce,P3_mean_scale_center_bias,mean,True,True,1.0,0.9850409906477239,0.548953823953824,0.5671509046509046,0.5878697691197691,-2.0718864468864506,39.57512465334567,6.310230216684494,10.134667296928562,5.713204539360142,5.148534025502364,
37,wcce,P3_mean_scale_center_bias,mean,True,True,0.1,0.9502493917482789,0.5693181818181817,0.5561750749250748,0.5951208513708514,-3.894577644577657,18.424606870082464,2.7086313887338602,4.4925224170452935,2.3339525196505546,2.1094110758144096,
11,wcce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,10.0,0.9967634489693312,0.5441859066859068,0.5357656232656232,0.5758297258297258,-4.006410256410264,0.6641525149654435,0.0,0.0,0.0,0.0,
23,wcce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,10.0,0.9949115971174795,0.5698232323232323,0.5069597069597068,0.5878697691197691,-8.091006216006225,0.7782259447269498,0.0,0.0,0.0,0.0,
37,wcce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,0.01,0.9213292716903475,0.5649891774891774,0.5802190864690865,0.5951208513708514,-1.490176490176487,0.08204050586060388,0.0,0.0,0.0,0.0,
11,wcce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.01,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5758297258297258,0.0,0.0792987396781396,4.839626697148874,0.0,4.839626697148874,3.9545821455246752,
23,wcce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.01,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.5878697691197691,0.0,0.07938737887780548,4.995596226192942,0.0,4.995596226192942,4.23125033790851,
37,wcce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.01,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.5951208513708514,0.0,0.07885442829836932,4.711548512156169,0.0,4.711548512156169,3.691007193775651,
11,wcce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.1,0.9645097320317878,0.5298400673400674,0.5404172216672216,0.5758297258297258,-3.541250416250419,0.1730271536894547,0.0,4.984813035324763,4.984813035324763,4.5159341830944175,
23,wcce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.1,0.9550582540552467,0.5575877825877825,0.6074855699855699,0.5878697691197691,1.9615800865800836,0.1780274462160107,0.0,5.204257458355669,5.204257458355669,4.689376700491789,
37,wcce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.01,0.9159185008357148,0.5524531024531024,0.569687950937951,0.5951208513708514,-2.5432900432900363,0.07846345279174854,0.0,5.069198962957868,5.069198962957868,4.269362635960244,
11,wcce,P7_wholecount_scale_center_bias,wholecount,True,True,0.01,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5758297258297258,0.0,0.07930641981108079,1.272131803647013,5.720149803572326,4.825347211892604,3.9635460735918304,0.0
23,wcce,P7_wholecount_scale_center_bias,wholecount,True,True,0.01,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.5878697691197691,0.0,0.07938502026111048,1.2359260213889067,5.845701278511044,4.987903772204379,4.23992741438738,0.0
37,wcce,P7_wholecount_scale_center_bias,wholecount,True,True,0.01,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.5951208513708514,0.0,0.07887105921405813,1.3319267457730675,5.685800613814223,4.698218171861993,3.6740099686303718,0.0
