seed,backbone_objective,case,aggregation,center,bias,selected_C,train_ba,val_ba,test_ba,legacy_l2_wholecount_probe_test_ba,test_ba_minus_legacy_pp,weight_l2,explicit_intercept_l2,centering_offset_l2,effective_intercept_l2,effective_intercept_span,p7_abs_test_ba_delta
11,tsce,P0_mean_scale_no_center_no_bias,mean,False,False,1.0,0.9883316225350539,0.5298400673400674,0.552977577977578,0.6151737151737151,-6.219613719613715,57.765458835631236,0.0,0.0,0.0,0.0,
23,tsce,P0_mean_scale_no_center_no_bias,mean,False,False,0.01,0.7647112730877336,0.48932780182780183,0.5039155289155289,0.5594148906648906,-5.549936174936166,11.970295381331296,0.0,0.0,0.0,0.0,
37,tsce,P0_mean_scale_no_center_no_bias,mean,False,False,0.01,0.8675379007684211,0.5236231361231362,0.5524884837384837,0.6137758075258076,-6.128732378732393,10.70469855656116,0.0,0.0,0.0,0.0,
11,tsce,P1_mean_scale_no_center_bias,mean,False,True,0.01,0.8902149265166165,0.5156144781144781,0.5621905871905871,0.6151737151737151,-5.298312798312798,11.144383110407594,3.5957106899850615,0.0,3.5957106899850615,3.5843877771418002,
23,tsce,P1_mean_scale_no_center_bias,mean,False,True,0.01,0.788717615576922,0.5008958633958634,0.539539627039627,0.5594148906648906,-1.9875263625263595,11.694876744061366,3.5201275550183584,0.0,3.5201275550183584,3.4890666809031425,
37,tsce,P1_mean_scale_no_center_bias,mean,False,True,0.1,0.9279683238198269,0.5106541606541607,0.5542450604950605,0.6137758075258076,-5.953074703074712,24.251018209230466,3.602569296964965,0.0,3.602569296964965,3.575113458936101,
11,tsce,P2_mean_scale_center_no_bias,mean,True,False,0.01,0.8859544274295804,0.5213323713323713,0.5691350316350315,0.6151737151737151,-4.603868353868357,11.148243425654712,0.0,3.7966007536540562,3.7966007536540562,3.9172196067043377,
23,tsce,P2_mean_scale_center_no_bias,mean,True,False,0.01,0.7890927691996249,0.5008958633958634,0.5499562937062936,0.5594148906648906,-0.9458596958596965,11.706712585576147,0.0,3.621210739110598,3.621210739110598,3.7116757874807336,
37,tsce,P2_mean_scale_center_no_bias,mean,True,False,1.0,0.9770643570662517,0.5271945646945647,0.5630383505383506,0.6137758075258076,-5.073745698745702,55.07259974295239,0.0,3.6299730553783482,3.6299730553783482,3.86370382566222,
11,tsce,P3_mean_scale_center_bias,mean,True,True,1.0,0.9851264943299257,0.5208754208754209,0.5733738483738483,0.6151737151737151,-4.17998667998668,56.60588429002311,3.8712254047130137,7.152835942395095,4.292984158338006,4.968274602937549,
23,tsce,P3_mean_scale_center_bias,mean,True,True,0.01,0.788717615576922,0.5008958633958634,0.539539627039627,0.5594148906648906,-1.9875263625263595,11.695213239429425,0.6900079104266157,3.8674931366020155,3.51014738855585,3.4855017887752364,
37,tsce,P3_mean_scale_center_bias,mean,True,True,0.1,0.9279683238198269,0.5106541606541607,0.5542450604950605,0.6137758075258076,-5.953074703074712,24.26487879890883,1.8829413886048032,4.983076828130006,3.601074185037291,3.6142452898946993,
11,tsce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,1.0,0.9884337467180604,0.5327801827801829,0.5781378343878343,0.6151737151737151,-3.7035880785880826,0.5724746110434226,0.0,0.0,0.0,0.0,
23,tsce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,0.1,0.8490951482349853,0.5118446368446369,0.5343829781329781,0.5594148906648906,-2.5031912531912504,0.31942189975438257,0.0,0.0,0.0,0.0,
37,tsce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,0.01,0.8483050366826159,0.5236231361231362,0.5405837218337218,0.6137758075258076,-7.3192085692085795,0.10748949800023416,0.0,0.0,0.0,0.0,
11,tsce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.01,0.8759427949702943,0.5590969215969216,0.6151737151737151,0.6151737151737151,0.0,0.10366374570246313,5.182431165036792,0.0,5.182431165036792,4.41806759348476,
23,tsce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.1,0.8698922069794636,0.5092291967291968,0.5594148906648906,0.5594148906648906,0.0,0.3015119293209327,5.883158467311565,0.0,5.883158467311565,5.103175220695394,
37,tsce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.1,0.9228181219699829,0.5222282347282348,0.6062000499500501,0.6137758075258076,-0.7575757575757569,0.23985952720757847,5.095270155781207,0.0,5.095270155781207,4.379532542461634,
11,tsce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.1,0.9386972622263458,0.5636303511303512,0.5884421134421134,0.6151737151737151,-2.6731601731601717,0.24922733420044732,0.0,5.584100855066247,5.584100855066247,4.865605933562222,
23,tsce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.1,0.8659403498677364,0.5035113035113036,0.5821941946941946,0.5594148906648906,2.277930402930406,0.3069698703741492,0.0,5.754298914005812,5.754298914005812,5.062144509411748,
37,tsce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.01,0.8588578471450625,0.5275853775853776,0.620021645021645,0.6137758075258076,0.6245837495837403,0.10132688189536453,0.0,4.866088892378379,4.866088892378379,4.360727349588537,
11,tsce,P7_wholecount_scale_center_bias,wholecount,True,True,0.01,0.8775453590728582,0.5590969215969216,0.6151737151737151,0.6151737151737151,0.0,0.10364739494883962,0.8283332818410355,5.709535167149573,5.190273750005227,4.444945372325416,0.0
23,tsce,P7_wholecount_scale_center_bias,wholecount,True,True,0.1,0.8714354168560069,0.5092291967291968,0.5594148906648906,0.5594148906648906,0.0,0.3015843362413784,2.777893447945597,7.833826682387244,5.889434908520103,5.147963917924205,0.0
37,tsce,P7_wholecount_scale_center_bias,wholecount,True,True,0.1,0.9228181219699829,0.5291726791726792,0.6137758075258076,0.6137758075258076,0.0,0.2397413924566078,2.4863299317545047,7.170035902528157,5.095232878112107,4.445251635329223,0.0
11,wcce,P0_mean_scale_no_center_no_bias,mean,False,False,10.0,0.9983974358974358,0.5427970177970178,0.5611985236985236,0.5758297258297258,-1.463120213120217,69.03664796684683,0.0,0.0,0.0,0.0,
23,wcce,P0_mean_scale_no_center_no_bias,mean,False,False,10.0,0.9932449304508127,0.5551406926406927,0.5290556665556665,0.5878697691197691,-5.881410256410257,79.02941132779064,0.0,0.0,0.0,0.0,
37,wcce,P0_mean_scale_no_center_no_bias,mean,False,False,0.1,0.9502493917482789,0.577651515151515,0.5561750749250748,0.5951208513708514,-3.894577644577657,18.520479579015408,0.0,0.0,0.0,0.0,
