seed,backbone_objective,selected_C,test_ba,legacy_l2_wholecount_probe_test_ba,p7_abs_test_ba_delta
11,tsce,0.01,0.6151737151737151,0.6151737151737151,0.0
23,tsce,0.1,0.5594148906648906,0.5594148906648906,0.0
37,tsce,0.1,0.6137758075258076,0.6137758075258076,0.0
11,wcce,0.01,0.5758297258297258,0.5758297258297258,0.0
23,wcce,0.01,0.5878697691197691,0.5878697691197691,0.0
37,wcce,0.01,0.5951208513708514,0.5951208513708514,0.0
