backbone_objective,case,aggregation,center,bias,selected_C_mean,selected_C_std,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,legacy_l2_wholecount_probe_test_ba_mean,legacy_l2_wholecount_probe_test_ba_std,test_ba_minus_legacy_pp_mean,test_ba_minus_legacy_pp_std,weight_l2_mean,weight_l2_std,explicit_intercept_l2_mean,explicit_intercept_l2_std,centering_offset_l2_mean,centering_offset_l2_std,effective_intercept_l2_mean,effective_intercept_l2_std,effective_intercept_span_mean,effective_intercept_span_std,p7_abs_test_ba_delta_mean,p7_abs_test_ba_delta_std
tsce,P0_mean_scale_no_center_no_bias,mean,False,False,0.34,0.5715767664977295,0.8735269321304028,0.11193040938112626,0.5142636684303351,0.02181766808926918,0.5364605302105302,0.028185858781708324,0.5961214711214712,0.03179651432247856,-5.966094091094091,0.36325667635403075,26.81348425784123,26.812664573459237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
tsce,P1_mean_scale_no_center_bias,mean,False,True,0.04,0.051961524227066326,0.8689669553044551,0.07201595064298105,0.5090548340548341,0.007488510465188682,0.5519917582417583,0.011492368216501285,0.5961214711214712,0.03179651432247856,-4.41297128797129,2.1258564398276723,15.696759354566476,7.41331701902875,3.572802513989462,0.04574656926351691,0.0,0.0,3.572802513989462,0.04574656926351691,3.549522638993681,0.052561348879465314,,
tsce,P2_mean_scale_center_no_bias,mean,True,False,0.34,0.5715767664977295,0.8840371845651523,0.0940004591819963,0.5164742664742664,0.013806024395488871,0.560709891959892,0.009799096215901784,0.5961214711214712,0.03179651432247856,-3.541157916157919,2.25983977728944,25.975851918061085,25.200069889578355,0.0,0.0,3.682594849381001,0.09882916676483632,3.682594849381001,0.09882916676483632,3.8308664066157636,0.1066338945761658,,
tsce,P3_mean_scale_center_bias,mean,True,True,0.37000000000000005,0.5474486277268398,0.9006041445755582,0.10102331732098968,0.510808481641815,0.009990672674808182,0.555719511969512,0.01696523323406293,0.5961214711214712,0.03179651432247856,-4.040195915195917,1.9864665876241259,30.85532544278712,23.169324197697556,2.1480582345814776,1.6070940834325542,5.334468635709039,1.6706215878287134,3.801401910643716,0.42814337582838136,4.022673893869162,0.8214403496378191,,
tsce,P4_wholecount_scale_no_center_no_bias,wholecount,False,False,0.37000000000000005,0.5474486277268399,0.8952779772118872,0.0806762301628041,0.522749318582652,0.010495091172799922,0.5510348447848448,0.023675754257792895,0.5961214711214712,0.03179651432247856,-4.508662633662637,2.50691333644904,0.33312866959934645,0.2327953940537351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
tsce,P5_wholecount_scale_no_center_bias,wholecount,False,True,0.07,0.05196152422706632,0.8895510413065802,0.028968541483093375,0.530184784351451,0.02586846549953829,0.5935962185962186,0.0299400075358765,0.5961214711214712,0.03179651432247856,-0.2525252525252523,0.4373865675678979,0.2150117340769914,0.10123752050439229,5.386953262709855,0.4319305085184216,0.0,0.0,5.386953262709855,0.4319305085184216,4.633591785547263,0.40712736270542926,,
tsce,P6_wholecount_scale_center_no_bias,wholecount,True,False,0.07,0.051961524227066326,0.8878318197463816,0.04419287714345018,0.5315756774090108,0.030257508839413638,0.5968859843859843,0.02027814628994702,0.5961214711214712,0.03179651432247856,0.07645132645132484,2.520647007839454,0.219174695489987,0.10606427531321508,0.0,0.0,5.401496220483479,0.4714208311669955,5.401496220483479,0.4714208311669955,4.762825930854169,0.36182772798821794,,
tsce,P7_wholecount_scale_center_bias,wholecount,True,True,0.07,0.05196152422706632,0.8905996326329494,0.028068775175338945,0.5324995991662659,0.025099776759038527,0.5961214711214712,0.03179651432247856,0.5961214711214712,0.03179651432247856,0.0,0.0,0.21499104121560864,0.10126298976909634,2.030852220513712,1.0515660556490372,6.904465917354991,1.0867608629299945,5.391647178879146,0.43370803505166405,4.679386975192948,0.4057995649255745,0.0,0.0
wcce,P0_mean_scale_no_center_no_bias,mean,False,False,6.7,5.715767664977295,0.9806305860321758,0.02643671315956819,0.5585297418630751,0.017672669222063286,0.5488097550597549,0.017290944707140384,0.5862734487734488,0.00974412952227766,-3.746369371369377,2.212870533005605,55.528846291217626,32.437296973169374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wcce,P1_mean_scale_no_center_bias,mean,False,True,0.4000000000000001,0.5196152422706632,0.9660654548527416,0.01760967175323174,0.5540544332210998,0.010681183227510991,0.5567756317756317,0.010088409912641478,0.5862734487734488,0.00974412952227766,-2.9497816997817097,0.9131854014754311,25.333699503020828,12.373582742509036,3.4700833249816445,1.5355746360112499,0.0,0.0,3.4700833249816445,1.5355746360112499,3.0937641410825747,1.3598513498897282,,
