contrast,backbone_objective,seed,left_case,right_case,delta_pp
wholecount_bias_effect_centered,wcce,11,P7_wholecount_scale_center_bias,P6_wholecount_scale_center_no_bias,3.541250416250419
wholecount_bias_effect_centered,wcce,23,P7_wholecount_scale_center_bias,P6_wholecount_scale_center_no_bias,-1.9615800865800836
wholecount_bias_effect_centered,wcce,37,P7_wholecount_scale_center_bias,P6_wholecount_scale_center_no_bias,2.5432900432900363
aggregation_effect_no_center_no_bias,tsce,11,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,2.516025641025632
aggregation_effect_no_center_no_bias,tsce,23,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,3.046744921744915
aggregation_effect_no_center_no_bias,tsce,37,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,-1.1904761904761862
aggregation_effect_no_center_no_bias,wcce,11,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,-2.5432900432900474
aggregation_effect_no_center_no_bias,wcce,23,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,-2.209595959595967
aggregation_effect_no_center_no_bias,wcce,37,P4_wholecount_scale_no_center_no_bias,P0_mean_scale_no_center_no_bias,2.40440115440117
aggregation_effect_no_center_bias,tsce,11,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,5.298312798312798
aggregation_effect_no_center_bias,tsce,23,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,1.9875263625263595
aggregation_effect_no_center_bias,tsce,37,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,5.195498945498955
aggregation_effect_no_center_bias,wcce,11,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,2.882881007881022
aggregation_effect_no_center_bias,wcce,23,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,2.0718864468864506
aggregation_effect_no_center_bias,wcce,37,P5_wholecount_scale_no_center_bias,P1_mean_scale_no_center_bias,3.894577644577657
aggregation_effect_center_no_bias,tsce,11,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,1.930708180708185
aggregation_effect_center_no_bias,tsce,23,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,3.2237900987901025
aggregation_effect_center_no_bias,tsce,37,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,5.698329448329442
aggregation_effect_center_no_bias,wcce,11,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,0.09920634920635996
aggregation_effect_center_no_bias,wcce,23,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,2.589077589077593
aggregation_effect_center_no_bias,wcce,37,P6_wholecount_scale_center_no_bias,P2_mean_scale_center_no_bias,0.73260073260073
aggregation_effect_center_bias,tsce,11,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,4.17998667998668
aggregation_effect_center_bias,tsce,23,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,1.9875263625263595
aggregation_effect_center_bias,tsce,37,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,5.953074703074712
aggregation_effect_center_bias,wcce,11,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,2.882881007881022
aggregation_effect_center_bias,wcce,23,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,2.0718864468864506
aggregation_effect_center_bias,wcce,37,P7_wholecount_scale_center_bias,P3_mean_scale_center_bias,3.894577644577657
full_bridge_P7_minus_P0,tsce,11,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,6.219613719613715
full_bridge_P7_minus_P0,tsce,23,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,5.549936174936166
full_bridge_P7_minus_P0,tsce,37,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,6.128732378732393
full_bridge_P7_minus_P0,wcce,11,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,1.463120213120217
full_bridge_P7_minus_P0,wcce,23,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,5.881410256410257
full_bridge_P7_minus_P0,wcce,37,P7_wholecount_scale_center_bias,P0_mean_scale_no_center_no_bias,3.894577644577657
