contrast,backbone_objective,delta_pp_count,delta_pp_mean,delta_pp_std
aggregation_effect_center_bias,tsce,3,4.040195915195917,1.9864665876241259
aggregation_effect_center_bias,wcce,3,2.9497816997817097,0.9131854014754311
aggregation_effect_center_no_bias,tsce,3,3.617609242609243,1.9144353325685441
aggregation_effect_center_no_bias,wcce,3,1.1402948902948944,1.2940346179480453
aggregation_effect_no_center_bias,tsce,3,4.1604460354460375,1.882505670855636
aggregation_effect_no_center_bias,wcce,3,2.9497816997817097,0.9131854014754311
aggregation_effect_no_center_no_bias,tsce,3,1.4574314574314535,2.3084576934866328
aggregation_effect_no_center_no_bias,wcce,3,-0.7828282828282814,2.765259761673319
full_bridge_P7_minus_P0,tsce,3,5.966094091094091,0.36325667635403075
full_bridge_P7_minus_P0,wcce,3,3.746369371369377,2.212870533005605
mean_bias_effect_centered,tsce,3,-0.49903799903799895,0.8033827986395613
mean_bias_effect_centered,wcce,3,-0.4351666851666917,1.1123946604034407
mean_bias_effect_no_center,tsce,3,1.553122803122801,1.7795846921994136
mean_bias_effect_no_center,wcce,3,0.7965876715876674,2.7041206162163167
mean_center_effect_no_bias,tsce,3,2.4249361749361724,1.9079051141919878
mean_center_effect_no_bias,wcce,3,1.2317543567543592,3.753365872334022
mean_center_effect_with_bias,tsce,3,0.3727753727753728,0.6456658854573737
mean_center_effect_with_bias,wcce,3,0.0,0.0
wholecount_bias_effect_centered,tsce,3,-0.07645132645132484,2.520647007839454
wholecount_bias_effect_centered,wcce,3,1.3743201243201237,2.931749288277025
wholecount_bias_effect_no_center,tsce,3,4.2561373811373855,2.084878898073508
wholecount_bias_effect_no_center,wcce,3,4.529197654197659,3.331323800655433
wholecount_center_effect_no_bias,tsce,3,4.585113960113962,3.4608476043686234
wholecount_center_effect_no_bias,wcce,3,3.1548775298775347,6.021634185086981
wholecount_center_effect_with_bias,tsce,3,0.2525252525252523,0.4373865675678979
wholecount_center_effect_with_bias,wcce,3,0.0,0.0
