l2_width,layer,layer_width,shifts,shift,group_neurons,tau_syn_ms,source_experiment,source_architecture
32,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W32
32,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W32
32,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W32
32,L2,32,"2,3,4",2,11,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W32
32,L2,32,"2,3,4",3,11,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W32
32,L2,32,"2,3,4",4,10,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W32
64,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W64
64,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W64
64,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W64
64,L2,64,"2,3,4",2,22,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W64
64,L2,64,"2,3,4",3,21,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W64
64,L2,64,"2,3,4",4,21,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W64
128,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,B
128,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,B
128,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,B
128,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,B
128,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,B
128,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,B
256,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W256
256,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W256
256,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W256
256,L2,256,"2,3,4",2,86,54.31342963722199,experiment_3_0_4_l2_width_representation_capacity,W256
256,L2,256,"2,3,4",3,85,117.0136826471659,experiment_3_0_4_l2_width_representation_capacity,W256
256,L2,256,"2,3,4",4,85,242.10347130039656,experiment_3_0_4_l2_width_representation_capacity,W256
