objective,l2_width,mean_test_balanced_accuracy,mean_train_test_ba_gap,mean_head_feature_dim,mean_head_parameter_count,mean_l1_fixed250_raw_probe_ba,mean_l2_fixed250_raw_probe_ba,mean_raw_l2_minus_l1_fixed250_probe_ba,mean_l1_fixed250_pca128_probe_ba,mean_l2_fixed250_pca128_probe_ba,mean_pca128_l2_minus_l1_fixed250_probe_ba,mean_l2_raw_minus_pca128_fixed250_probe_ba,mean_l2_pca128_explained_variance_ratio_sum,mean_l2_test_firing_rate,mean_l2_test_total_spikes_per_timestep,sd_test_balanced_accuracy,sd_train_test_ba_gap,sd_head_feature_dim,sd_head_parameter_count,sd_l1_fixed250_raw_probe_ba,sd_l2_fixed250_raw_probe_ba,sd_raw_l2_minus_l1_fixed250_probe_ba,sd_l1_fixed250_pca128_probe_ba,sd_l2_fixed250_pca128_probe_ba,sd_pca128_l2_minus_l1_fixed250_probe_ba,sd_l2_raw_minus_pca128_fixed250_probe_ba,sd_l2_pca128_explained_variance_ratio_sum,sd_l2_test_firing_rate,sd_l2_test_total_spikes_per_timestep
fixed250_sequence_ce,32,0.5069120694120693,0.44297674448166097,512.0,6156.0,0.49809727309727303,0.5151508214008214,0.01705354830354829,0.4778027528027528,0.4707227957227957,-0.007079957079957067,0.04442802567802565,0.9729401469230652,0.25768479401369565,8.24591340843826,0.009880575476542688,0.03428696244913288,0.0,0.0,0.0052136014686020304,0.04196699291653146,0.04103857532276161,0.009035223237858419,0.029361019626171683,0.023034431419132032,0.05232650137708495,0.002343974272512489,0.0615489321115013,1.9695658275680417
fixed250_sequence_ce,64,0.5374375624375625,0.456939846645729,1024.0,12300.0,0.5139066951566952,0.5466205091205091,0.03271381396381399,0.49573736448736444,0.47461982461982455,-0.021117539867539874,0.07200068450068453,0.9544283747673035,0.2820826775458361,18.05329136293351,0.05094270581465312,0.05039676960353985,0.0,0.0,0.030707543885752295,0.025201615322054772,0.012304431323287963,0.02079475967193067,0.03835264441213928,0.017867666241748466,0.016264524229179806,0.0013992276892226905,0.005263055847940435,0.33683557426818783
fixed250_sequence_ce,128,0.49700137825137825,0.49524858916198783,2048.0,24588.0,0.476312345062345,0.49496637621637624,0.018654031154031192,0.4534863284863284,0.4772977022977023,0.023811373811373826,0.01766867391867394,0.9372701446215311,0.23980013150265078,30.6944168323393,0.017805491287098525,0.02166879937142526,0.0,0.0,0.029895998749319218,0.006234783659991006,0.03484808886151877,0.03594036648771209,0.03473781441020703,0.04658055298067193,0.03888561582565528,0.0031916421204008015,0.027481196571690084,3.5175931611763307
fixed250_sequence_ce,256,0.5366559366559366,0.4497551585746802,4096.0,49164.0,0.46266626891626883,0.5199881137381137,0.057321844821844804,0.4470843970843971,0.45918803418803417,0.0121036371036371,0.06080007955007949,0.9161374568939209,0.15027985300005522,38.47164236801414,0.015303983978814502,0.021308309257741843,0.0,0.0,0.008692513709802228,0.018908561182184452,0.01028870703389174,0.03322390261608846,0.022804298555522292,0.052690054852858804,0.04164843703222409,0.013082175854588707,0.05433401084803014,13.909506777095716
relative10_sequence_ce,32,0.7106946294446294,0.2758270552332856,320.0,3852.0,0.5300606800606801,0.5443903318903319,0.014329651829651771,0.49199226699226695,0.5047614422614423,0.012769175269175278,0.03962888962888963,0.9714711705843607,0.3045149243428319,9.74447757897062,0.04730102247078686,0.044510693449191126,0.0,0.0,0.013405689844797218,0.031318004995120594,0.02855983194771216,0.02902314491544103,0.03883650980735846,0.030920635055605012,0.04017746024017237,0.001256343057990589,0.013621603811160574,0.43589132195713837
relative10_sequence_ce,64,0.6848928848928848,0.2932960768879492,640.0,7692.0,0.4569555444555444,0.5308614996114995,0.07390595515595516,0.42547175047175045,0.5144052706552706,0.08893352018352012,0.016456228956228964,0.9558534423510233,0.2552268852164789,16.33452065385465,0.04380519549543676,0.06563078874222099,0.0,0.0,0.04896149403985273,0.031048452074948652,0.07998280022047709,0.017143247536575104,0.028140452831777716,0.04100705449099776,0.0064438194081456535,0.001104488028425046,0.050202599031743025,3.2129663380315536
relative10_sequence_ce,128,0.6763884263884264,0.30955789515493193,1280.0,15372.0,0.47367724867724864,0.5307324619824619,0.05705521330521329,0.4580100455100455,0.49661750286750284,0.03860745735745741,0.0341149591149591,0.9393460949261984,0.227974600314778,29.180748840291585,0.024584606531164708,0.03218037424277034,0.0,0.0,0.014509485340494205,0.03825466070099673,0.023965642651401855,0.03206921825898648,0.046898620153166266,0.037122062913770376,0.013970349734014495,0.005553951173204302,0.026311777966145887,3.3679075796666735
relative10_sequence_ce,256,0.6647308709808709,0.31690042774119015,2560.0,30732.0,0.471575184075184,0.5150444462944462,0.04346926221926225,0.4506666944166944,0.5061940374440375,0.05552734302734306,0.00885040885040885,0.9225260019302368,0.17250835266180695,44.16213828142258,0.00570463211475079,0.018420621626272376,0.0,0.0,0.04365223531156764,0.010273552050636852,0.03340042421466388,0.020003423069590028,0.032334465533159176,0.041145303335415655,0.03630956319291287,0.003187047394026449,0.022115404903805196,5.66154365537413
timestep_ce,32,0.40943177193177194,0.1971094168212091,32.0,396.0,0.5422128797128797,0.5625513375513375,0.02033845783845778,0.483521571021571,0.538181031931032,0.05465946090946091,0.024370305620305583,0.9681695699691772,0.3319993235034239,10.623978352109566,0.01358527969975437,0.010598383211945579,0.0,0.0,0.023321997069610596,0.005341375772091543,0.019660896292865174,0.027167833732931967,0.007096531575160658,0.030875788552979615,0.011242688237938498,0.0014457411835077857,0.013461903156266667,0.43078090100053334
timestep_ce,64,0.4599361286861287,0.24923649118964505,64.0,780.0,0.5239852739852741,0.5629157879157879,0.03893051393051392,0.5099900099900099,0.5665029415029416,0.056512931512931554,-0.0035871535871535576,0.9475541909535726,0.316000697205655,20.22404462116192,0.05252631705751929,0.03357515104019312,0.0,0.0,0.0296623136025053,0.043468485105740085,0.02902063470585015,0.019718575724022983,0.008958175287666886,0.018829205721589585,0.051053500395355916,0.002303576157555839,0.015287349519638347,0.9783903692568542
