objective,l2_width,last_layer,layer,probe_type,mean_input_feature_dim,mean_feature_dim,mean_pca_explained_variance_ratio_sum,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_input_feature_dim,sd_feature_dim,sd_pca_explained_variance_ratio_sum,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,32,L2,L1,fixed250,2048.0,2048.0,,0.5026354818021485,0.49809727309727303,0.49174143198608333,0.5114155251141553,0.0,0.0,,0.02490207704300992,0.0052136014686020304,0.006997004310782498,0.003954453898559113
fixed250_sequence_ce,32,L2,L1,fixed250_pca128,2048.0,128.0,0.9100565115610758,0.467720859387526,0.4778027528027528,0.48375722135500393,0.4885844748858448,0.0,0.0,0.006176019926762141,0.039582416895404406,0.009035223237858419,0.02197415905396234,0.010462501586657163
fixed250_sequence_ce,32,L2,L1,full_count,128.0,128.0,,0.4361311527978195,0.48160057535057527,0.4726431543095166,0.4931506849315068,0.0,0.0,,0.005556080432079513,0.047067952032951034,0.057047925739330874,0.051711194762128425
fixed250_sequence_ce,32,L2,L2,fixed250,512.0,512.0,,0.551643418310085,0.5151508214008214,0.5229763471254311,0.5319634703196346,0.0,0.0,,0.057614354186528466,0.04196699291653146,0.05056759054619163,0.041850006346628686
fixed250_sequence_ce,32,L2,L2,fixed250_pca128,512.0,128.0,0.9729401469230652,0.48995109828443156,0.4707227957227957,0.48231040378096407,0.4817351598173516,0.0,0.0,0.002343974272512489,0.04769292793553683,0.029361019626171683,0.017956842392434787,0.031635631188472645
fixed250_sequence_ce,32,L2,L2,full_count,32.0,32.0,,0.40935545935545936,0.4127259314759315,0.392891445628993,0.42922374429223736,0.0,0.0,,0.023834213146715914,0.042367637207913506,0.04274358644751964,0.04403493498170299
fixed250_sequence_ce,64,L2,L1,fixed250,2048.0,2048.0,,0.49397546897546896,0.5139066951566952,0.5150962291518072,0.5251141552511416,0.0,0.0,,0.0061075579435536775,0.030707543885752295,0.032070592438490156,0.03236860017981239
fixed250_sequence_ce,64,L2,L1,fixed250_pca128,2048.0,128.0,0.9119576811790466,0.46544612794612794,0.49573736448736444,0.48872807294375925,0.502283105022831,0.0,0.0,0.0021350872030151498,0.022635545627684737,0.02079475967193067,0.0101033550503577,0.022017467490851487
fixed250_sequence_ce,64,L2,L1,full_count,128.0,128.0,,0.4119789161455829,0.4640410515410515,0.46063941535624414,0.4703196347031963,0.0,0.0,,0.028111940643567403,0.008796189999458949,0.013937054379181489,0.010462501586657173
fixed250_sequence_ce,64,L2,L2,fixed250,1024.0,1024.0,,0.586940836940837,0.5466205091205091,0.5523078249796697,0.5593607305936074,0.0,0.0,,0.02915099784085224,0.025201615322054772,0.018163588194608078,0.02593108833698756
