l2_width,objective,seed,last_layer,firing_rate,layer,neurons,scope,shift,split,tau_syn_ms,total_spikes_per_timestep
32,fixed250_sequence_ce,11,L2,0.0008283631544068919,L1,43,tau_subgroup,2,test,54.31342963722199,0.03561961563949635
32,fixed250_sequence_ce,23,L2,0.0007031454682756176,L1,43,tau_subgroup,2,test,54.31342963722199,0.030235255135851558
32,fixed250_sequence_ce,101,L2,0.0017607533095997658,L1,43,tau_subgroup,2,test,54.31342963722199,0.07571239231278992
32,fixed250_sequence_ce,11,L2,0.006698182995052938,L1,43,tau_subgroup,3,test,117.0136826471659,0.28802186878727637
32,fixed250_sequence_ce,23,L2,0.012408109482639049,L1,43,tau_subgroup,3,test,117.0136826471659,0.5335487077534792
32,fixed250_sequence_ce,101,L2,0.01615115508499391,L1,43,tau_subgroup,3,test,117.0136826471659,0.6944996686547382
32,fixed250_sequence_ce,11,L2,0.05929107892328568,L1,42,tau_subgroup,4,test,242.10347130039656,2.4902253147779985
32,fixed250_sequence_ce,23,L2,0.06289445864495566,L1,42,tau_subgroup,4,test,242.10347130039656,2.6415672630881377
32,fixed250_sequence_ce,101,L2,0.0881102275237464,L1,42,tau_subgroup,4,test,242.10347130039656,3.700629555997349
32,fixed250_sequence_ce,11,L2,0.15598078197481777,L2,11,tau_subgroup,2,test,54.31342963722199,1.7157886017229953
32,fixed250_sequence_ce,23,L2,0.1631649496957648,L2,11,tau_subgroup,2,test,54.31342963722199,1.7948144466534128
32,fixed250_sequence_ce,101,L2,0.30748087234170735,L2,11,tau_subgroup,2,test,54.31342963722199,3.3822895957587806
32,fixed250_sequence_ce,11,L2,0.23585758178203506,L2,11,tau_subgroup,3,test,117.0136826471659,2.594433399602386
32,fixed250_sequence_ce,23,L2,0.23502921862762818,L2,11,tau_subgroup,3,test,117.0136826471659,2.58532140490391
32,fixed250_sequence_ce,101,L2,0.36053376709440327,L2,11,tau_subgroup,3,test,117.0136826471659,3.965871438038436
32,fixed250_sequence_ce,11,L2,0.2604042412193506,L2,10,tau_subgroup,4,test,242.10347130039656,2.6040424121935057
32,fixed250_sequence_ce,23,L2,0.2934973492379059,L2,10,tau_subgroup,4,test,242.10347130039656,2.934973492379059
32,fixed250_sequence_ce,101,L2,0.3160205434062293,L2,10,tau_subgroup,4,test,242.10347130039656,3.1602054340622927
32,fixed250_sequence_ce,11,L2,0.021983334368787275,L1,128,whole_layer,-1,test,,2.8138667992047712
32,fixed250_sequence_ce,23,L2,0.025041806452948973,L1,128,whole_layer,-1,test,,3.2053512259774686
32,fixed250_sequence_ce,101,L2,0.034928450132538105,L1,128,whole_layer,-1,test,,4.4708416169648775
32,fixed250_sequence_ce,11,L2,0.21607076292246521,L2,32,whole_layer,-1,test,,6.914264413518887
32,fixed250_sequence_ce,23,L2,0.22859716699801194,L2,32,whole_layer,-1,test,,7.315109343936382
32,fixed250_sequence_ce,101,L2,0.3283864521206097,L2,32,whole_layer,-1,test,,10.50836646785951
32,fixed250_sequence_ce,11,L2,0.0010500891757851617,L1,43,tau_subgroup,2,train,54.31342963722199,0.04515383455876196
32,fixed250_sequence_ce,23,L2,0.000817558301176949,L1,43,tau_subgroup,2,train,54.31342963722199,0.03515500695060881
32,fixed250_sequence_ce,101,L2,0.0019264618187809384,L1,43,tau_subgroup,2,train,54.31342963722199,0.08283785820758036
32,fixed250_sequence_ce,11,L2,0.006011916330951028,L1,43,tau_subgroup,3,train,117.0136826471659,0.2585124022308942
32,fixed250_sequence_ce,23,L2,0.01080937492818613,L1,43,tau_subgroup,3,train,117.0136826471659,0.4648031219120036
32,fixed250_sequence_ce,101,L2,0.014142706963189623,L1,43,tau_subgroup,3,train,117.0136826471659,0.6081363994171538
32,fixed250_sequence_ce,11,L2,0.05125186725334112,L1,42,tau_subgroup,4,train,242.10347130039656,2.152578424640327
32,fixed250_sequence_ce,23,L2,0.05589198682135859,L1,42,tau_subgroup,4,train,242.10347130039656,2.3474634464970605
32,fixed250_sequence_ce,101,L2,0.07554749502929783,L1,42,tau_subgroup,4,train,242.10347130039656,3.172994791230509
32,fixed250_sequence_ce,11,L2,0.13357806378725198,L2,11,tau_subgroup,2,train,54.31342963722199,1.4693587016597718
32,fixed250_sequence_ce,23,L2,0.14018304538679033,L2,11,tau_subgroup,2,train,54.31342963722199,1.5420134992546937
32,fixed250_sequence_ce,101,L2,0.24163604998347993,L2,11,tau_subgroup,2,train,54.31342963722199,2.657996549818279
32,fixed250_sequence_ce,11,L2,0.201797565992719,L2,11,tau_subgroup,3,train,117.0136826471659,2.219773225919909
32,fixed250_sequence_ce,23,L2,0.1988894251778001,L2,11,tau_subgroup,3,train,117.0136826471659,2.187783676955801
32,fixed250_sequence_ce,101,L2,0.29447285760615854,L2,11,tau_subgroup,3,train,117.0136826471659,3.239201433667744
32,fixed250_sequence_ce,11,L2,0.23953137823035825,L2,10,tau_subgroup,4,train,242.10347130039656,2.3953137823035826
32,fixed250_sequence_ce,23,L2,0.2917011405697824,L2,10,tau_subgroup,4,train,242.10347130039656,2.9170114056978242
32,fixed250_sequence_ce,101,L2,0.30096806069640075,L2,10,tau_subgroup,4,train,242.10347130039656,3.0096806069640074
32,fixed250_sequence_ce,11,L2,0.019189411417421743,L1,128,whole_layer,-1,train,,2.456244661429983
32,fixed250_sequence_ce,23,L2,0.022245481057497445,L1,128,whole_layer,-1,train,,2.847421575359673
32,fixed250_sequence_ce,101,L2,0.030187258194181586,L1,128,whole_layer,-1,train,,3.863969048855243
32,fixed250_sequence_ce,11,L2,0.19013892843385197,L2,32,whole_layer,-1,train,,6.084445709883263
32,fixed250_sequence_ce,23,L2,0.20771276818463497,L2,32,whole_layer,-1,train,,6.646808581908319
32,fixed250_sequence_ce,101,L2,0.27833995595156347,L2,32,whole_layer,-1,train,,8.906878590450031
32,fixed250_sequence_ce,11,L2,0.00030419772443769356,L1,43,tau_subgroup,2,val,54.31342963722199,0.013080502150820824
32,fixed250_sequence_ce,23,L2,0.0002796985788453961,L1,43,tau_subgroup,2,val,54.31342963722199,0.012027038890352032
32,fixed250_sequence_ce,101,L2,0.000783972658953519,L1,43,tau_subgroup,2,val,54.31342963722199,0.03371082433500132
32,fixed250_sequence_ce,11,L2,0.0035952496156696537,L1,43,tau_subgroup,3,val,117.0136826471659,0.1545957334737951
32,fixed250_sequence_ce,23,L2,0.006165618307394863,L1,43,tau_subgroup,3,val,117.0136826471659,0.2651215872179791
32,fixed250_sequence_ce,101,L2,0.00928109298854869,L1,43,tau_subgroup,3,val,117.0136826471659,0.3990869985075937
32,fixed250_sequence_ce,11,L2,0.03992500344883806,L1,42,tau_subgroup,4,val,242.10347130039656,1.6768501448511983
32,fixed250_sequence_ce,23,L2,0.044845345740789515,L1,42,tau_subgroup,4,val,242.10347130039656,1.8835045211131596
32,fixed250_sequence_ce,101,L2,0.06241142756813023,L1,42,tau_subgroup,4,val,242.10347130039656,2.6212799578614696
32,fixed250_sequence_ce,11,L2,0.09757304410978364,L2,11,tau_subgroup,2,val,54.31342963722199,1.07330348520762
32,fixed250_sequence_ce,23,L2,0.10658334729970231,L2,11,tau_subgroup,2,val,54.31342963722199,1.1724168202967256
32,fixed250_sequence_ce,101,L2,0.2171969896489254,L2,11,tau_subgroup,2,val,54.31342963722199,2.389166886138179
32,fixed250_sequence_ce,11,L2,0.17249662811948827,L2,11,tau_subgroup,3,val,117.0136826471659,1.897462909314371
32,fixed250_sequence_ce,23,L2,0.16909681486979353,L2,11,tau_subgroup,3,val,117.0136826471659,1.8600649635677289
32,fixed250_sequence_ce,101,L2,0.27210477170972297,L2,11,tau_subgroup,3,val,117.0136826471659,2.993152488806953
32,fixed250_sequence_ce,11,L2,0.22232464226143447,L2,10,tau_subgroup,4,val,242.10347130039656,2.2232464226143445
32,fixed250_sequence_ce,23,L2,0.24438591870775173,L2,10,tau_subgroup,4,val,242.10347130039656,2.4438591870775173
32,fixed250_sequence_ce,101,L2,0.29513651128083573,L2,10,tau_subgroup,4,val,242.10347130039656,2.9513651128083573
32,fixed250_sequence_ce,11,L2,0.0144103623474673,L1,128,whole_layer,-1,val,,1.8445263804758143
32,fixed250_sequence_ce,23,L2,0.016880102712667894,L1,128,whole_layer,-1,val,,2.1606531472214905
32,fixed250_sequence_ce,101,L2,0.023859982661750503,L1,128,whole_layer,-1,val,,3.0540777807040644
32,fixed250_sequence_ce,11,L2,0.16231290053551048,L2,32,whole_layer,-1,val,,5.194012817136335
32,fixed250_sequence_ce,23,L2,0.17113565534193662,L2,32,whole_layer,-1,val,,5.476340970941972
32,fixed250_sequence_ce,101,L2,0.26042764024229653,L2,32,whole_layer,-1,val,,8.333684487753489
64,fixed250_sequence_ce,11,L2,0.0008900087845022886,L1,43,tau_subgroup,2,test,54.31342963722199,0.03827037773359841
64,fixed250_sequence_ce,23,L2,0.0006626905235255136,L1,43,tau_subgroup,2,test,54.31342963722199,0.028495692511597084
64,fixed250_sequence_ce,101,L2,0.001217501194384083,L1,43,tau_subgroup,2,test,54.31342963722199,0.052352551358515576
64,fixed250_sequence_ce,11,L2,0.012099881332162067,L1,43,tau_subgroup,3,test,117.0136826471659,0.5202948972829688
64,fixed250_sequence_ce,23,L2,0.023340576694869542,L1,43,tau_subgroup,3,test,117.0136826471659,1.0036447978793903
64,fixed250_sequence_ce,101,L2,0.013787430456023549,L1,43,tau_subgroup,3,test,117.0136826471659,0.5928595096090126
64,fixed250_sequence_ce,11,L2,0.08885969894916217,L1,42,tau_subgroup,4,test,242.10347130039656,3.732107355864811
64,fixed250_sequence_ce,23,L2,0.07221551642525798,L1,42,tau_subgroup,4,test,242.10347130039656,3.033051689860835
