objective,l2_width,last_layer,mean_test_balanced_accuracy,mean_test_macro_f1,mean_test_accuracy,mean_val_balanced_accuracy,mean_train_balanced_accuracy,mean_train_test_ba_gap,mean_best_epoch,mean_head_feature_dim,mean_head_parameter_count,sd_test_balanced_accuracy,sd_test_macro_f1,sd_test_accuracy,sd_val_balanced_accuracy,sd_train_balanced_accuracy,sd_train_test_ba_gap,sd_best_epoch,sd_head_feature_dim,sd_head_parameter_count
fixed250_sequence_ce,32,L2,0.5069120694120693,0.5046510765426914,0.5205479452054794,0.601691518358185,0.9498888138937304,0.44297674448166097,50.0,512.0,6156.0,0.009880575476542688,0.010053311943766236,0.011863361695677208,0.04464717311727554,0.041984473858919125,0.03428696244913288,26.28687885618983,0.0,0.0
fixed250_sequence_ce,64,L2,0.5374375624375625,0.536871450116017,0.547945205479452,0.6021564854898188,0.9943774090832914,0.456939846645729,69.33333333333333,1024.0,12300.0,0.05094270581465312,0.047416316700203985,0.053494860793881174,0.011759676870669965,0.0009525833579200644,0.05039676960353985,15.50268793897798,0.0,0.0
fixed250_sequence_ce,128,L2,0.49700137825137825,0.4873832360358608,0.5114155251141552,0.5671877505210837,0.9922499674133661,0.49524858916198783,80.33333333333333,2048.0,24588.0,0.017805491287098525,0.02187027966837979,0.020925003173314416,0.033014937869907626,0.00489108692691839,0.02166879937142526,32.34707611722168,0.0,0.0
fixed250_sequence_ce,256,L2,0.5366559366559366,0.533062000229659,0.5502283105022832,0.5637826679493346,0.9864110952306168,0.4497551585746802,54.666666666666664,4096.0,49164.0,0.015303983978814502,0.022248456482284688,0.019772269492795435,0.023469905080127758,0.006004682772934906,0.021308309257741843,19.39931270260195,0.0,0.0
relative10_sequence_ce,32,L2,0.7106946294446294,0.7093005854380143,0.7214611872146119,0.6571428571428571,0.986521684677915,0.2758270552332856,72.0,320.0,3852.0,0.04730102247078686,0.040957184175655637,0.04560498711287253,0.031277460806755635,0.0037774320469630414,0.044510693449191126,11.789826122551595,0.0,0.0
relative10_sequence_ce,64,L2,0.6848928848928848,0.6844406941533195,0.6940639269406392,0.6795715087381754,0.9781889617808339,0.2932960768879492,53.0,640.0,7692.0,0.04380519549543676,0.03590586640529746,0.03772308594031581,0.010235867835703518,0.022123353566167656,0.06563078874222099,25.238858928247925,0.0,0.0
relative10_sequence_ce,128,L2,0.6763884263884264,0.6749929494355812,0.6872146118721462,0.6735670194003527,0.9859463215433584,0.30955789515493193,61.666666666666664,1280.0,15372.0,0.024584606531164708,0.029480984577422254,0.025931088336987592,0.030287423194583635,0.008173306568928722,0.03218037424277034,31.214312956291916,0.0,0.0
relative10_sequence_ce,256,L2,0.6647308709808709,0.6617944438961771,0.682648401826484,0.6455587622254289,0.9816312987220611,0.31690042774119015,60.0,2560.0,30732.0,0.00570463211475079,0.0034244730196940293,0.01046250158665715,0.02530642448486332,0.013248725640596055,0.018420621626272376,29.816103031751148,0.0,0.0
timestep_ce,32,L2,0.40943177193177194,0.3535536811459031,0.43607305936073065,0.38038720538720544,0.606541188752981,0.1971094168212091,96.66666666666667,32.0,396.0,0.01358527969975437,0.027787536522537844,0.015817815594236322,0.039429454707389636,0.023860570520990602,0.010598383211945579,1.1547005383792495,0.0,0.0
timestep_ce,64,L2,0.4599361286861287,0.4223351495416921,0.48630136986301364,0.4221039762706429,0.7091726198757736,0.24923649118964505,95.66666666666667,64.0,780.0,0.05252631705751929,0.05492616442657759,0.058520573598065305,0.02785919191145089,0.03285003671963267,0.03357515104019312,5.773502691896256,0.0,0.0
timestep_ce,128,L2,0.4926210363710363,0.4647229488096552,0.5159817351598174,0.48035513868847196,0.7969084596105772,0.3042874232395409,96.0,128.0,1548.0,0.02102492441667257,0.02850985551048444,0.02201746749085152,0.00669107461471749,0.00687204804247176,0.014898010283396141,2.0,0.0,0.0
timestep_ce,256,L2,0.5102388352388352,0.488289919251172,0.5319634703196348,0.484177088343755,0.8271740840203501,0.31693524878151486,88.0,256.0,3084.0,0.028876335743831427,0.033439300081791176,0.031635631188472645,0.0070349771885467455,0.055263587277473276,0.04756801019601007,14.798648586948742,0.0,0.0
