l2_width,objective,seed,last_layer,feature_dim,group_neurons,input_feature_dim,layer,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,shift,tau_syn_ms
32,fixed250_sequence_ce,23,L2,672,42,672,L1,,1.0,0.4863013698630137,0.4785277222777223,0.4856449796020679,fixed250,0.4807720057720058,4,242.10347130039656
32,fixed250_sequence_ce,101,L2,672,42,672,L1,,0.1,0.5273972602739726,0.5178495115995115,0.530975324343443,fixed250,0.5625420875420876,4,242.10347130039656
32,fixed250_sequence_ce,11,L2,42,42,42,L1,,1.0,0.4726027397260274,0.463804945054945,0.4388020919679763,full_count,0.40903679653679653,4,242.10347130039656
32,fixed250_sequence_ce,23,L2,42,42,42,L1,,10.0,0.3424657534246575,0.32948856698856693,0.3185223483850486,full_count,0.3607864357864358,4,242.10347130039656
32,fixed250_sequence_ce,101,L2,42,42,42,L1,,10.0,0.4041095890410959,0.3994221056721057,0.3944057366346434,full_count,0.42024410774410775,4,242.10347130039656
32,fixed250_sequence_ce,11,L2,176,11,176,L2,,0.1,0.547945205479452,0.5295114607614607,0.5184413256993902,fixed250,0.4539381914381914,2,54.31342963722199
32,fixed250_sequence_ce,23,L2,176,11,176,L2,,0.1,0.4794520547945205,0.4784375346875347,0.48062907937049815,fixed250,0.4426948051948052,2,54.31342963722199
32,fixed250_sequence_ce,101,L2,176,11,176,L2,,0.01,0.5205479452054794,0.5014423076923077,0.5099765408588938,fixed250,0.46011904761904754,2,54.31342963722199
32,fixed250_sequence_ce,11,L2,11,11,11,L2,,10.0,0.3013698630136986,0.2883630258630258,0.2414095600531794,full_count,0.31379268879268873,2,54.31342963722199
32,fixed250_sequence_ce,23,L2,11,11,11,L2,,10.0,0.3698630136986301,0.3700549450549451,0.33478006667661836,full_count,0.34298941798941796,2,54.31342963722199
32,fixed250_sequence_ce,101,L2,11,11,11,L2,,1.0,0.3698630136986301,0.3598998223998224,0.34900793622627796,full_count,0.3534752284752285,2,54.31342963722199
32,fixed250_sequence_ce,11,L2,176,11,176,L2,,1.0,0.410958904109589,0.4027722277722278,0.4084656855709487,fixed250,0.4538480038480039,3,117.0136826471659
32,fixed250_sequence_ce,23,L2,176,11,176,L2,,0.1,0.5136986301369864,0.5002858252858252,0.5078226366989366,fixed250,0.47761544011544005,3,117.0136826471659
32,fixed250_sequence_ce,101,L2,176,11,176,L2,,0.1,0.5068493150684932,0.4932123432123432,0.49711042250811205,fixed250,0.5870791245791246,3,117.0136826471659
32,fixed250_sequence_ce,11,L2,11,11,11,L2,,0.1,0.3835616438356164,0.3694347319347319,0.3287678008266243,full_count,0.34880952380952385,3,117.0136826471659
32,fixed250_sequence_ce,23,L2,11,11,11,L2,,10.0,0.4041095890410959,0.39942418692418696,0.39044029129280616,full_count,0.3505651755651756,3,117.0136826471659
32,fixed250_sequence_ce,101,L2,11,11,11,L2,,0.01,0.363013698630137,0.35309274059274065,0.30062715711692695,full_count,0.41737012987012984,3,117.0136826471659
32,fixed250_sequence_ce,11,L2,160,10,160,L2,,10.0,0.4383561643835616,0.4281600344100343,0.43045001045001047,fixed250,0.465921115921116,4,242.10347130039656
32,fixed250_sequence_ce,23,L2,160,10,160,L2,,0.1,0.4794520547945205,0.4693896381396381,0.48764855333719415,fixed250,0.4345959595959595,4,242.10347130039656
32,fixed250_sequence_ce,101,L2,160,10,160,L2,,0.1,0.4383561643835616,0.4332382894882895,0.4316724669665846,fixed250,0.4695887445887446,4,242.10347130039656
32,fixed250_sequence_ce,11,L2,10,10,10,L2,,0.1,0.3561643835616438,0.3416860916860917,0.3158178640974813,full_count,0.31022727272727274,4,242.10347130039656
32,fixed250_sequence_ce,23,L2,10,10,10,L2,,10.0,0.3972602739726027,0.3915757853257853,0.38748170818517225,full_count,0.37338864838864844,4,242.10347130039656
32,fixed250_sequence_ce,101,L2,10,10,10,L2,,0.01,0.2808219178082192,0.2703324453324453,0.22764700664494766,full_count,0.3422979797979799,4,242.10347130039656
64,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.1,0.14383561643835616,0.14211760461760461,0.1331081338316498,fixed250,0.15,2,54.31342963722199
64,fixed250_sequence_ce,23,L2,688,43,688,L1,,10.0,0.18493150684931506,0.18107864357864356,0.1706288957117146,fixed250,0.15158730158730158,2,54.31342963722199
64,fixed250_sequence_ce,101,L2,688,43,688,L1,,1.0,0.18493150684931506,0.18169677544677545,0.1567459983658861,fixed250,0.21084656084656084,2,54.31342963722199
64,fixed250_sequence_ce,11,L2,43,43,43,L1,,1.0,0.17123287671232876,0.15281385281385276,0.1211330409356725,full_count,0.1417929292929293,2,54.31342963722199
64,fixed250_sequence_ce,23,L2,43,43,43,L1,,0.1,0.1917808219178082,0.171994671994672,0.1346630304810853,full_count,0.1042027417027417,2,54.31342963722199
64,fixed250_sequence_ce,101,L2,43,43,43,L1,,0.1,0.1780821917808219,0.15800865800865802,0.11191583004544448,full_count,0.16973304473304474,2,54.31342963722199
64,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.1,0.410958904109589,0.40409798534798536,0.4110812167281752,fixed250,0.3473244348244348,3,117.0136826471659
64,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.1,0.4657534246575342,0.4598477910977911,0.44887164146926456,fixed250,0.4144540644540644,3,117.0136826471659
64,fixed250_sequence_ce,101,L2,688,43,688,L1,,0.1,0.4589041095890411,0.4497668997668997,0.44536640117135473,fixed250,0.36525974025974034,3,117.0136826471659
64,fixed250_sequence_ce,11,L2,43,43,43,L1,,10.0,0.2671232876712329,0.26369533244533244,0.2438432556170482,full_count,0.2892917267917268,3,117.0136826471659
64,fixed250_sequence_ce,23,L2,43,43,43,L1,,0.1,0.3424657534246575,0.3282953157953158,0.30080743073926935,full_count,0.31362433862433864,3,117.0136826471659
64,fixed250_sequence_ce,101,L2,43,43,43,L1,,10.0,0.23972602739726026,0.23303640803640804,0.2106710198014546,full_count,0.26717171717171717,3,117.0136826471659
64,fixed250_sequence_ce,11,L2,672,42,672,L1,,10.0,0.4726027397260274,0.4636467698967699,0.4765296253454148,fixed250,0.5241341991341991,4,242.10347130039656
64,fixed250_sequence_ce,23,L2,672,42,672,L1,,1.0,0.5068493150684932,0.4949141136641137,0.5062292562550923,fixed250,0.4833874458874459,4,242.10347130039656
64,fixed250_sequence_ce,101,L2,672,42,672,L1,,1.0,0.5,0.4946733821733822,0.4951280373897007,fixed250,0.4948232323232323,4,242.10347130039656
64,fixed250_sequence_ce,11,L2,42,42,42,L1,,10.0,0.3698630136986301,0.3674415861915861,0.3625140809011777,full_count,0.39144420394420393,4,242.10347130039656
64,fixed250_sequence_ce,23,L2,42,42,42,L1,,1.0,0.5,0.48803626928626925,0.4901863704899687,full_count,0.46915584415584416,4,242.10347130039656
64,fixed250_sequence_ce,101,L2,42,42,42,L1,,0.1,0.4589041095890411,0.4470689033189033,0.42190404690404687,full_count,0.3645562770562771,4,242.10347130039656
64,fixed250_sequence_ce,11,L2,352,22,352,L2,,1.0,0.5342465753424658,0.515001665001665,0.5171890732123116,fixed250,0.5442340067340068,2,54.31342963722199
64,fixed250_sequence_ce,23,L2,352,22,352,L2,,1.0,0.5068493150684932,0.4992347929847929,0.5057086582482109,fixed250,0.4439935064935065,2,54.31342963722199
64,fixed250_sequence_ce,101,L2,352,22,352,L2,,1.0,0.5342465753424658,0.5218004218004219,0.5115657035565502,fixed250,0.5319985569985569,2,54.31342963722199
64,fixed250_sequence_ce,11,L2,22,22,22,L2,,1.0,0.4452054794520548,0.4443473193473193,0.40803561512894343,full_count,0.4050384800384801,2,54.31342963722199
64,fixed250_sequence_ce,23,L2,22,22,22,L2,,10.0,0.4520547945205479,0.43987332112332106,0.4349429641760933,full_count,0.41508537758537756,2,54.31342963722199
64,fixed250_sequence_ce,101,L2,22,22,22,L2,,0.1,0.4178082191780822,0.4010281385281385,0.36065452976795104,full_count,0.36548220298220296,2,54.31342963722199
64,fixed250_sequence_ce,11,L2,336,21,336,L2,,1.0,0.4863013698630137,0.47843059718059716,0.4891435823548715,fixed250,0.5499158249158249,3,117.0136826471659
64,fixed250_sequence_ce,23,L2,336,21,336,L2,,1.0,0.5136986301369864,0.5009691697191697,0.5024843457245775,fixed250,0.546079846079846,3,117.0136826471659
64,fixed250_sequence_ce,101,L2,336,21,336,L2,,1.0,0.5205479452054794,0.509836691086691,0.5162078781765798,fixed250,0.5648629148629148,3,117.0136826471659
64,fixed250_sequence_ce,11,L2,21,21,21,L2,,10.0,0.3972602739726027,0.3951270951270951,0.3671659821659821,full_count,0.38297859547859553,3,117.0136826471659
64,fixed250_sequence_ce,23,L2,21,21,21,L2,,0.1,0.3972602739726027,0.3799242424242424,0.34843696331899593,full_count,0.4192159692159692,3,117.0136826471659
64,fixed250_sequence_ce,101,L2,21,21,21,L2,,0.1,0.4178082191780822,0.4048382173382173,0.37752445927108597,full_count,0.42196368446368443,3,117.0136826471659
64,fixed250_sequence_ce,11,L2,336,21,336,L2,,10.0,0.4520547945205479,0.43907967032967027,0.4393336772299508,fixed250,0.5320286195286195,4,242.10347130039656
64,fixed250_sequence_ce,23,L2,336,21,336,L2,,0.1,0.6027397260273972,0.5850579975579976,0.5859944300448051,fixed250,0.5553030303030303,4,242.10347130039656
64,fixed250_sequence_ce,101,L2,336,21,336,L2,,0.1,0.5136986301369864,0.5002386502386502,0.5034327602306278,fixed250,0.4586760461760462,4,242.10347130039656
64,fixed250_sequence_ce,11,L2,21,21,21,L2,,0.1,0.3356164383561644,0.3271256521256521,0.3014482538595455,full_count,0.31442400192400194,4,242.10347130039656
64,fixed250_sequence_ce,23,L2,21,21,21,L2,,1.0,0.3767123287671233,0.3734550172050172,0.371020461020461,full_count,0.39332611832611836,4,242.10347130039656
64,fixed250_sequence_ce,101,L2,21,21,21,L2,,0.1,0.363013698630137,0.3497807747807748,0.33927827603644006,full_count,0.3497775372775372,4,242.10347130039656
128,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.01,0.1780821917808219,0.1663017538017538,0.1411972254569743,fixed250,0.15912698412698412,2,54.31342963722199
128,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.01,0.17123287671232876,0.1599997224997225,0.13517501017501016,fixed250,0.198015873015873,2,54.31342963722199
128,fixed250_sequence_ce,101,L2,688,43,688,L1,,0.1,0.1780821917808219,0.16709124209124207,0.13270258620600942,fixed250,0.17389971139971142,2,54.31342963722199
128,fixed250_sequence_ce,11,L2,43,43,43,L1,,0.01,0.17123287671232876,0.1538059163059163,0.11378882385007612,full_count,0.13952020202020202,2,54.31342963722199
128,fixed250_sequence_ce,23,L2,43,43,43,L1,,1.0,0.14383561643835616,0.14588744588744587,0.114167431251115,full_count,0.17936507936507937,2,54.31342963722199
128,fixed250_sequence_ce,101,L2,43,43,43,L1,,0.1,0.1506849315068493,0.13914835164835163,0.1146540530328481,full_count,0.13383838383838384,2,54.31342963722199
128,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.01,0.3424657534246575,0.3319388944388944,0.32481947996008886,fixed250,0.2609788359788359,3,117.0136826471659
128,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.1,0.4383561643835616,0.4344801032301033,0.42614911814695633,fixed250,0.4461038961038961,3,117.0136826471659
128,fixed250_sequence_ce,101,L2,688,43,688,L1,,1.0,0.3082191780821918,0.3061854811854812,0.30527466558587996,fixed250,0.391017316017316,3,117.0136826471659
128,fixed250_sequence_ce,11,L2,43,43,43,L1,,0.1,0.2602739726027397,0.24353424353424355,0.2168123399588917,full_count,0.20441919191919192,3,117.0136826471659
128,fixed250_sequence_ce,23,L2,43,43,43,L1,,10.0,0.3013698630136986,0.3076735764235764,0.29559389566146055,full_count,0.32818061568061563,3,117.0136826471659
128,fixed250_sequence_ce,101,L2,43,43,43,L1,,0.1,0.2534246575342466,0.24563353313353312,0.2363960717221587,full_count,0.26666666666666666,3,117.0136826471659
128,fixed250_sequence_ce,11,L2,672,42,672,L1,,1.0,0.4863013698630137,0.4806089743589743,0.4724185561551153,fixed250,0.5389790764790764,4,242.10347130039656
128,fixed250_sequence_ce,23,L2,672,42,672,L1,,0.1,0.5273972602739726,0.5145264457764458,0.51958595766672,fixed250,0.43077200577200575,4,242.10347130039656
128,fixed250_sequence_ce,101,L2,672,42,672,L1,,0.1,0.4931506849315068,0.4835490897990898,0.4871959155988195,fixed250,0.49339826839826834,4,242.10347130039656
128,fixed250_sequence_ce,11,L2,42,42,42,L1,,0.1,0.4657534246575342,0.44590964590964594,0.4059502821596475,full_count,0.3919372294372295,4,242.10347130039656
128,fixed250_sequence_ce,23,L2,42,42,42,L1,,0.1,0.3904109589041096,0.3874431124431124,0.35954382174954497,full_count,0.416017316017316,4,242.10347130039656
128,fixed250_sequence_ce,101,L2,42,42,42,L1,,1.0,0.3561643835616438,0.34745185370185366,0.3401275387415948,full_count,0.47252886002886,4,242.10347130039656
128,fixed250_sequence_ce,11,L2,688,43,688,L2,,0.1,0.4589041095890411,0.45017760017760017,0.4466386151798865,fixed250,0.5136002886002885,2,54.31342963722199
128,fixed250_sequence_ce,23,L2,688,43,688,L2,,10.0,0.4383561643835616,0.4218337218337218,0.40620483361930354,fixed250,0.5082130832130832,2,54.31342963722199
128,fixed250_sequence_ce,101,L2,688,43,688,L2,,0.1,0.4931506849315068,0.48121600621600624,0.4671699537489011,fixed250,0.5307359307359307,2,54.31342963722199
128,fixed250_sequence_ce,11,L2,43,43,43,L2,,10.0,0.4041095890410959,0.40504079254079256,0.39075990681180023,full_count,0.3772907647907648,2,54.31342963722199
128,fixed250_sequence_ce,23,L2,43,43,43,L2,,0.1,0.4315068493150685,0.41772602397602393,0.39269326018552025,full_count,0.34219576719576716,2,54.31342963722199
128,fixed250_sequence_ce,101,L2,43,43,43,L2,,1.0,0.4315068493150685,0.42705142080142083,0.4149457075911933,full_count,0.4525913900913901,2,54.31342963722199
128,fixed250_sequence_ce,11,L2,688,43,688,L2,,1.0,0.4452054794520548,0.4346674159174159,0.4371832568539729,fixed250,0.5085137085137085,3,117.0136826471659
128,fixed250_sequence_ce,23,L2,688,43,688,L2,,1.0,0.4931506849315068,0.48156496281496275,0.4890501693133272,fixed250,0.5150252525252524,3,117.0136826471659
128,fixed250_sequence_ce,101,L2,688,43,688,L2,,0.1,0.5068493150684932,0.4929126429126429,0.5013875324775725,fixed250,0.5143578643578643,3,117.0136826471659
128,fixed250_sequence_ce,11,L2,43,43,43,L2,,1.0,0.4041095890410959,0.40289432789432783,0.3966189407236879,full_count,0.384565897065897,3,117.0136826471659
128,fixed250_sequence_ce,23,L2,43,43,43,L2,,0.1,0.5,0.48878898878898874,0.47730148033462777,full_count,0.4416726791726791,3,117.0136826471659
128,fixed250_sequence_ce,101,L2,43,43,43,L2,,0.1,0.4315068493150685,0.4168283105783106,0.40468782435887696,full_count,0.42229437229437233,3,117.0136826471659
128,fixed250_sequence_ce,11,L2,672,42,672,L2,,1.0,0.5342465753424658,0.5189636752136751,0.5196563859849864,fixed250,0.5115860990860991,4,242.10347130039656
128,fixed250_sequence_ce,23,L2,672,42,672,L2,,1.0,0.4657534246575342,0.4526466588966589,0.43476146683914085,fixed250,0.48321308321308326,4,242.10347130039656
128,fixed250_sequence_ce,101,L2,672,42,672,L2,,0.1,0.4657534246575342,0.4558594183594184,0.45009569772500807,fixed250,0.5628787878787879,4,242.10347130039656
128,fixed250_sequence_ce,11,L2,42,42,42,L2,,1.0,0.4178082191780822,0.4104298479298479,0.4013848677806035,full_count,0.4031806156806157,4,242.10347130039656
128,fixed250_sequence_ce,23,L2,42,42,42,L2,,10.0,0.3561643835616438,0.35479451104451104,0.35294821192485265,full_count,0.4391895141895142,4,242.10347130039656
128,fixed250_sequence_ce,101,L2,42,42,42,L2,,1.0,0.3493150684931507,0.34667832167832163,0.34520321384794056,full_count,0.3879088504088504,4,242.10347130039656
256,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.01,0.11643835616438356,0.10210622710622712,0.06177436491838114,fixed250,0.14662698412698413,2,54.31342963722199
256,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.01,0.13013698630136986,0.13445859695859694,0.10812812882590106,fixed250,0.10079365079365078,2,54.31342963722199
256,fixed250_sequence_ce,101,L2,688,43,688,L1,,0.001,0.1232876712328767,0.10805860805860805,0.06129575436640653,fixed250,0.10416666666666667,2,54.31342963722199
256,fixed250_sequence_ce,11,L2,43,43,43,L1,,1.0,0.1095890410958904,0.10335497835497837,0.0672172554703958,full_count,0.1279761904761905,2,54.31342963722199
256,fixed250_sequence_ce,23,L2,43,43,43,L1,,0.001,0.1095890410958904,0.09523809523809523,0.03573687539531942,full_count,0.09027777777777778,2,54.31342963722199
256,fixed250_sequence_ce,101,L2,43,43,43,L1,,0.01,0.13013698630136986,0.114010989010989,0.08857942367230294,full_count,0.10492424242424243,2,54.31342963722199
256,fixed250_sequence_ce,11,L2,688,43,688,L1,,0.1,0.3150684931506849,0.30773254523254523,0.3064792607312224,fixed250,0.33482443482443475,3,117.0136826471659
256,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.01,0.410958904109589,0.3966935841935842,0.37269499870255096,fixed250,0.26531385281385284,3,117.0136826471659
256,fixed250_sequence_ce,101,L2,688,43,688,L1,,0.1,0.3904109589041096,0.38115842490842494,0.3780343989902813,fixed250,0.3633597883597883,3,117.0136826471659
256,fixed250_sequence_ce,11,L2,43,43,43,L1,,10.0,0.2534246575342466,0.24256021756021753,0.2342943127956871,full_count,0.21105699855699853,3,117.0136826471659
256,fixed250_sequence_ce,23,L2,43,43,43,L1,,1.0,0.3082191780821918,0.29292096792096795,0.2787976402682285,full_count,0.2370731120731121,3,117.0136826471659
256,fixed250_sequence_ce,101,L2,43,43,43,L1,,10.0,0.273972602739726,0.27366106116106115,0.26024850476400907,full_count,0.30609066859066864,3,117.0136826471659
256,fixed250_sequence_ce,11,L2,672,42,672,L1,,0.1,0.5273972602739726,0.5131736319236319,0.5207703943625263,fixed250,0.5134740259740259,4,242.10347130039656
256,fixed250_sequence_ce,23,L2,672,42,672,L1,,1.0,0.4657534246575342,0.45235112110112113,0.462946374425033,fixed250,0.44294131794131797,4,242.10347130039656
256,fixed250_sequence_ce,101,L2,672,42,672,L1,,10.0,0.4246575342465753,0.4129564879564879,0.41928330350222337,fixed250,0.4809704184704184,4,242.10347130039656
256,fixed250_sequence_ce,11,L2,42,42,42,L1,,10.0,0.4383561643835616,0.42957875457875455,0.41567249539706985,full_count,0.37851130351130347,4,242.10347130039656
256,fixed250_sequence_ce,23,L2,42,42,42,L1,,1.0,0.4452054794520548,0.4314796314796314,0.4197404422115596,full_count,0.3942881192881192,4,242.10347130039656
256,fixed250_sequence_ce,101,L2,42,42,42,L1,,0.1,0.4657534246575342,0.45298937173937176,0.4253893755119245,full_count,0.3706409331409331,4,242.10347130039656
256,fixed250_sequence_ce,11,L2,1376,86,1376,L2,,1.0,0.4452054794520548,0.43729811854811845,0.42865375268075123,fixed250,0.46268638768638776,2,54.31342963722199
256,fixed250_sequence_ce,23,L2,1376,86,1376,L2,,0.01,0.5342465753424658,0.5250492562992563,0.5213781340125426,fixed250,0.42097162097162094,2,54.31342963722199
256,fixed250_sequence_ce,101,L2,1376,86,1376,L2,,10.0,0.4657534246575342,0.4570630758130758,0.4646710522958255,fixed250,0.49822631072631074,2,54.31342963722199
256,fixed250_sequence_ce,11,L2,86,86,86,L2,,1.0,0.3835616438356164,0.38485680985680987,0.37649830917060206,full_count,0.409397546897547,2,54.31342963722199
256,fixed250_sequence_ce,23,L2,86,86,86,L2,,1.0,0.4315068493150685,0.42335789210789215,0.4217968045220986,full_count,0.35956589706589703,2,54.31342963722199
256,fixed250_sequence_ce,101,L2,86,86,86,L2,,0.1,0.4041095890410959,0.3974469974469974,0.40825220101535886,full_count,0.4055315055315056,2,54.31342963722199
256,fixed250_sequence_ce,11,L2,1360,85,1360,L2,,10.0,0.4520547945205479,0.4362318237318237,0.44544804604368465,fixed250,0.47462121212121205,3,117.0136826471659
256,fixed250_sequence_ce,23,L2,1360,85,1360,L2,,0.1,0.547945205479452,0.5381694694194694,0.5337322349527066,fixed250,0.4615800865800865,3,117.0136826471659
256,fixed250_sequence_ce,101,L2,1360,85,1360,L2,,1.0,0.5205479452054794,0.5023601398601398,0.4955129382363956,fixed250,0.512085137085137,3,117.0136826471659
256,fixed250_sequence_ce,11,L2,85,85,85,L2,,0.1,0.4383561643835616,0.42747946497946493,0.41814885597494295,full_count,0.36164622414622416,3,117.0136826471659
256,fixed250_sequence_ce,23,L2,85,85,85,L2,,0.1,0.4863013698630137,0.4690517815517816,0.4500718686317063,full_count,0.43469215969215963,3,117.0136826471659
256,fixed250_sequence_ce,101,L2,85,85,85,L2,,0.1,0.4315068493150685,0.4199307636807637,0.40377525150445365,full_count,0.42417628667628676,3,117.0136826471659
256,fixed250_sequence_ce,11,L2,1360,85,1360,L2,,1.0,0.5068493150684932,0.4881396381396381,0.478480499567087,fixed250,0.5293831168831168,4,242.10347130039656
256,fixed250_sequence_ce,23,L2,1360,85,1360,L2,,1.0,0.5,0.49342948717948715,0.4791758293150641,fixed250,0.4748737373737373,4,242.10347130039656
256,fixed250_sequence_ce,101,L2,1360,85,1360,L2,,1.0,0.5342465753424658,0.5215180652680652,0.5299607686716764,fixed250,0.5234908609908611,4,242.10347130039656
256,fixed250_sequence_ce,11,L2,85,85,85,L2,,1.0,0.4178082191780822,0.4094648407148407,0.4016819777857863,full_count,0.3893638768638768,4,242.10347130039656
256,fixed250_sequence_ce,23,L2,85,85,85,L2,,0.1,0.5136986301369864,0.5000534188034188,0.4905348155575016,full_count,0.42513828763828765,4,242.10347130039656
256,fixed250_sequence_ce,101,L2,85,85,85,L2,,0.1,0.4315068493150685,0.4270465645465645,0.4286420684665466,full_count,0.3846981721981722,4,242.10347130039656
32,relative10_sequence_ce,11,L2,688,43,688,L1,,0.01,0.21232876712328766,0.20280969030969032,0.19364023938299302,fixed250,0.1632936507936508,2,54.31342963722199
32,relative10_sequence_ce,23,L2,688,43,688,L1,,0.01,0.21232876712328766,0.20388084138084137,0.1757584956410505,fixed250,0.2035714285714286,2,54.31342963722199
32,relative10_sequence_ce,101,L2,688,43,688,L1,,0.01,0.1780821917808219,0.17974664224664225,0.14360257971806492,fixed250,0.21746031746031746,2,54.31342963722199
32,relative10_sequence_ce,11,L2,43,43,43,L1,,1.0,0.21232876712328766,0.2025308025308025,0.1835655428558242,full_count,0.13472222222222222,2,54.31342963722199
32,relative10_sequence_ce,23,L2,43,43,43,L1,,1.0,0.21232876712328766,0.2109584859584859,0.19316023252356018,full_count,0.20975829725829728,2,54.31342963722199
32,relative10_sequence_ce,101,L2,43,43,43,L1,,0.01,0.2054794520547945,0.1890831390831391,0.1549900536179432,full_count,0.16186868686868686,2,54.31342963722199
32,relative10_sequence_ce,11,L2,688,43,688,L1,,0.01,0.3493150684931507,0.3451291763791764,0.3235118454758635,fixed250,0.298478835978836,3,117.0136826471659
32,relative10_sequence_ce,23,L2,688,43,688,L1,,0.1,0.4726027397260274,0.45993589743589736,0.44468126453420576,fixed250,0.5068302068302069,3,117.0136826471659
32,relative10_sequence_ce,101,L2,688,43,688,L1,,0.1,0.4178082191780822,0.4133449883449884,0.4048558096790504,fixed250,0.3858886483886484,3,117.0136826471659
32,relative10_sequence_ce,11,L2,43,43,43,L1,,1.0,0.23972602739726026,0.2274239649239649,0.19569757163701262,full_count,0.2676286676286676,3,117.0136826471659
32,relative10_sequence_ce,23,L2,43,43,43,L1,,0.1,0.4589041095890411,0.43762071262071256,0.40243200209038726,full_count,0.37023809523809526,3,117.0136826471659
32,relative10_sequence_ce,101,L2,43,43,43,L1,,1.0,0.2945205479452055,0.29022435897435894,0.28013796489338,full_count,0.2815175565175565,3,117.0136826471659
32,relative10_sequence_ce,11,L2,672,42,672,L1,,1.0,0.5136986301369864,0.5086573149073149,0.5219379945453048,fixed250,0.5147366522366522,4,242.10347130039656
32,relative10_sequence_ce,23,L2,672,42,672,L1,,1.0,0.5068493150684932,0.49778971028971025,0.48959604283545927,fixed250,0.5232022607022607,4,242.10347130039656
32,relative10_sequence_ce,101,L2,672,42,672,L1,,1.0,0.5,0.48916985791985784,0.49032926834263657,fixed250,0.4926767676767676,4,242.10347130039656
32,relative10_sequence_ce,11,L2,42,42,42,L1,,10.0,0.3835616438356164,0.36806804306804297,0.36886391565032034,full_count,0.45229076479076474,4,242.10347130039656
32,relative10_sequence_ce,23,L2,42,42,42,L1,,0.1,0.4520547945205479,0.43145257520257524,0.40703960822951973,full_count,0.42463924963924965,4,242.10347130039656
32,relative10_sequence_ce,101,L2,42,42,42,L1,,1.0,0.410958904109589,0.3894653957153957,0.3745060942593805,full_count,0.35027056277056273,4,242.10347130039656
32,relative10_sequence_ce,11,L2,176,11,176,L2,,1.0,0.5273972602739726,0.5114010989010989,0.5172578958649738,fixed250,0.4774891774891774,2,54.31342963722199
32,relative10_sequence_ce,23,L2,176,11,176,L2,,0.01,0.5205479452054794,0.50499777999778,0.4922714654912797,fixed250,0.4848605098605099,2,54.31342963722199
32,relative10_sequence_ce,101,L2,176,11,176,L2,,1.0,0.5136986301369864,0.5058094683094683,0.5111600219395392,fixed250,0.4663780663780664,2,54.31342963722199
