l2_width,objective,seed,last_layer,feature_dim,group_neurons,input_feature_dim,layer,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,shift,tau_syn_ms
32,fixed250_sequence_ce,11,L2,688,43,688,L1,,1.0,0.1506849315068493,0.1507825507825508,0.11839878649341566,fixed250,0.14166666666666666,2,54.31342963722199
32,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.01,0.23972602739726026,0.21348790098790102,0.17833878216267132,fixed250,0.16544011544011544,2,54.31342963722199
32,fixed250_sequence_ce,101,L2,688,43,688,L1,,0.01,0.1917808219178082,0.18209568209568208,0.1471528481228371,fixed250,0.21064213564213563,2,54.31342963722199
32,fixed250_sequence_ce,11,L2,43,43,43,L1,,0.1,0.1917808219178082,0.1779220779220779,0.15841146625935154,full_count,0.14305555555555557,2,54.31342963722199
32,fixed250_sequence_ce,23,L2,43,43,43,L1,,0.1,0.2534246575342466,0.24493839493839495,0.2213155041415911,full_count,0.1444805194805195,2,54.31342963722199
32,fixed250_sequence_ce,101,L2,43,43,43,L1,,0.1,0.15753424657534246,0.1465978465978466,0.12408209651549838,full_count,0.17945526695526695,2,54.31342963722199
32,fixed250_sequence_ce,11,L2,688,43,688,L1,,1.0,0.273972602739726,0.26868548118548113,0.25078048794275887,fixed250,0.3417328042328042,3,117.0136826471659
32,fixed250_sequence_ce,23,L2,688,43,688,L1,,0.1,0.3835616438356164,0.37257534132534137,0.35379560668204973,fixed250,0.4272907647907647,3,117.0136826471659
32,fixed250_sequence_ce,101,L2,688,43,688,L1,,1.0,0.3013698630136986,0.290761322011322,0.2832427432833113,fixed250,0.40325877825877826,3,117.0136826471659
32,fixed250_sequence_ce,11,L2,43,43,43,L1,,1.0,0.22602739726027396,0.22693487068487064,0.21914683947292643,full_count,0.26594516594516593,3,117.0136826471659
32,fixed250_sequence_ce,23,L2,43,43,43,L1,,1.0,0.3287671232876712,0.3214903152403152,0.304001045345318,full_count,0.3184583934583935,3,117.0136826471659
32,fixed250_sequence_ce,101,L2,43,43,43,L1,,1.0,0.3904109589041096,0.3800269175269175,0.3789702973046963,full_count,0.3150553150553151,3,117.0136826471659
32,fixed250_sequence_ce,11,L2,672,42,672,L1,,1.0,0.5205479452054794,0.5073475135975136,0.5021813664294472,fixed250,0.5056096681096681,4,242.10347130039656
