objective,l2_width,last_layer,split,scope,layer,shift,mean_neurons,mean_firing_rate,mean_total_spikes_per_timestep,sd_neurons,sd_firing_rate,sd_total_spikes_per_timestep
fixed250_sequence_ce,32,L2,test,tau_subgroup,L1,2,43.0,0.0010974206440940916,0.04718908769604594,0.0,0.0005778646347330527,0.024848179293521264
fixed250_sequence_ce,32,L2,test,tau_subgroup,L1,3,43.0,0.011752482520895299,0.5053567483984979,0.0,0.004760467977838394,0.20470012304705093
fixed250_sequence_ce,32,L2,test,tau_subgroup,L1,4,42.0,0.07009858836399592,2.944140711287828,0.0,0.01570224331967979,0.6594942194265513
fixed250_sequence_ce,32,L2,test,tau_subgroup,L2,2,11.0,0.20887553467076328,2.2976308813783963,0.0,0.08547024353166045,0.9401726788482649
fixed250_sequence_ce,32,L2,test,tau_subgroup,L2,3,11.0,0.27714018916802213,3.0485420808482444,0.0,0.07222214463654095,0.7944435910019507
fixed250_sequence_ce,32,L2,test,tau_subgroup,L2,4,10.0,0.2899740446211619,2.8997404462116187,0.0,0.027975051810538828,0.2797505181053877
fixed250_sequence_ce,32,L2,test,whole_layer,L1,-1,128.0,0.027317863651424783,3.4966865473823723,0.0,0.006766042625662192,0.8660534560847606
fixed250_sequence_ce,32,L2,test,whole_layer,L2,-1,32.0,0.25768479401369565,8.24591340843826,0.0,0.0615489321115013,1.9695658275680417
fixed250_sequence_ce,32,L2,train,tau_subgroup,L1,2,43.0,0.0012647030985810164,0.0543822332389837,0.0,0.0005847744049905007,0.025145299414591534
fixed250_sequence_ce,32,L2,train,tau_subgroup,L1,3,43.0,0.010321332740775594,0.44381730785335055,0.0,0.0040873069323020105,0.17575419808898643
fixed250_sequence_ce,32,L2,train,tau_subgroup,L1,4,42.0,0.06089711636799918,2.5576788874559657,0.0,0.012897979438305477,0.5417151364088301
fixed250_sequence_ce,32,L2,train,tau_subgroup,L2,2,11.0,0.17179905305250742,1.8897895835775815,0.0,0.06057071116253349,0.6662778227878683
fixed250_sequence_ce,32,L2,train,tau_subgroup,L2,3,11.0,0.2317199495922259,2.5489194455144846,0.0,0.054365061564424534,0.59801567720867
fixed250_sequence_ce,32,L2,train,tau_subgroup,L2,4,10.0,0.27740019316551384,2.7740019316551376,0.0,0.03312105539687823,0.3312105539687822
fixed250_sequence_ce,32,L2,train,whole_layer,L1,-1,128.0,0.02387405022303359,3.0558784285482994,0.0,0.0056769125919352535,0.7266448117677125
fixed250_sequence_ce,32,L2,train,whole_layer,L2,-1,32.0,0.22539721752335015,7.212710960747205,0.0,0.04668415282625585,1.4938928904401871
fixed250_sequence_ce,32,L2,val,tau_subgroup,L1,2,43.0,0.00045595632074553623,0.01960612179205806,0.0,0.0002843344696518845,0.012226382195031037
fixed250_sequence_ce,32,L2,val,tau_subgroup,L1,3,43.0,0.00634732030387107,0.27293477306645597,0.0,0.0028472733319565044,0.12243275327412971
fixed250_sequence_ce,32,L2,val,tau_subgroup,L1,4,42.0,0.04906059225258593,2.0605448746086092,0.0,0.011821000160078678,0.49648200672330445
fixed250_sequence_ce,32,L2,val,tau_subgroup,L2,2,11.0,0.14045112701947046,1.544962397214175,0.0,0.06661637909664517,0.7327801700630965
fixed250_sequence_ce,32,L2,val,tau_subgroup,L2,3,11.0,0.2045660715663349,2.250226787229684,0.0,0.05851492711545545,0.6436641982700102
fixed250_sequence_ce,32,L2,val,tau_subgroup,L2,4,10.0,0.25394902408334064,2.5394902408334064,0.0,0.03733606575207242,0.3733606575207243
fixed250_sequence_ce,32,L2,val,whole_layer,L1,-1,128.0,0.0183834825739619,2.353085769467123,0.0,0.004900912596296402,0.6273168123259395
fixed250_sequence_ce,32,L2,val,whole_layer,L2,-1,32.0,0.19795873203991454,6.334679425277265,0.0,0.054279219039995406,1.736935009279853
fixed250_sequence_ce,64,L2,test,tau_subgroup,L1,2,43.0,0.0009234001674706284,0.03970620720123703,0.0,0.00027890851271884424,0.011993066046910306
fixed250_sequence_ce,64,L2,test,tau_subgroup,L1,3,43.0,0.016409296161018386,0.7055997349237906,0.0,0.006061678223938433,0.2606521636293526
fixed250_sequence_ce,64,L2,test,tau_subgroup,L1,4,42.0,0.08523330913986978,3.5797989838745305,0.0,0.011636410072259865,0.4887292230349141
