l2_width,objective,seed,test_balanced_accuracy,train_test_ba_gap,head_feature_dim,head_parameter_count,l1_fixed250_raw_probe_ba,l1_fixed250_pca128_probe_ba,l2_fixed250_raw_probe_ba,l2_fixed250_pca128_probe_ba,l2_pca128_explained_variance_ratio_sum,l2_test_firing_rate,l2_test_total_spikes_per_timestep,raw_l2_minus_l1_fixed250_probe_ba,pca128_l2_minus_l1_fixed250_probe_ba,l2_raw_minus_pca128_fixed250_probe_ba
32,fixed250_sequence_ce,11,0.5035027472527472,0.40830522454745255,512,6156,0.49500777000776996,0.4867105117105117,0.4688325563325563,0.4821872571872572,0.9756448268890381,0.21607076292246521,6.914264413518887,-0.026175213675213638,-0.004523254523254527,-0.013354700854700863
32,fixed250_sequence_ce,23,0.49918761793761796,0.4437592548258938,512,6156,0.5041167166167165,0.46864524364524357,0.5259733322233321,0.4373591686091685,0.9714998006820679,0.22859716699801194,7.315109343936382,0.02185661560661556,-0.031286075036075056,0.08861416361416358
32,fixed250_sequence_ce,101,0.518045843045843,0.47686575407163645,512,6156,0.49516733266733265,0.47805250305250296,0.5506465756465756,0.49262196137196135,0.9716758131980896,0.3283864521206097,10.50836646785951,0.05547924297924295,0.014569458319458384,0.05802461427461425
64,fixed250_sequence_ce,11,0.5025696525696526,0.4907079576197223,1024,12300,0.5050498112998113,0.47782009657009655,0.5289946164946165,0.4383491508491508,0.9552770853042603,0.2877241757786614,18.41434724983433,0.02394480519480524,-0.03947094572094573,0.09064546564546572
64,fixed250_sequence_ce,23,0.5958999333999333,0.39901166371754615,1024,12300,0.5480692918192918,0.5185397935397935,0.5754863192363192,0.5147609335109334,0.9528133869171143,0.28121893638170975,17.998011928429424,0.02741702741702745,-0.003778860028860076,0.06072538572538577
64,fixed250_sequence_ce,101,0.5138431013431014,0.4810999185999185,1024,12300,0.4886009823509823,0.4908522033522033,0.5353805916305916,0.4707493894993895,0.9551946520805359,0.2773049204771372,17.74751491053678,0.04677960927960928,-0.020102813852813817,0.0646312021312021
128,fixed250_sequence_ce,11,0.5159403096903097,0.4709863983148297,2048,24588,0.4582875457875457,0.4130154567654567,0.501828033078033,0.46334706959706956,0.9342018365859985,0.20959982293737575,26.828777335984096,0.04354048729048732,0.05033161283161286,0.03848096348096347
128,fixed250_sequence_ce,23,0.49446178821178827,0.5020837958337958,2048,24588,0.510821817071817,0.4657661782661782,0.48964854589854584,0.5168421855921855,0.9405722618103027,0.263336646785951,33.707090788601725,-0.021173271173271113,0.05107600732600731,-0.027193639693639693
128,fixed250_sequence_ce,101,0.4806020368520369,0.512675573337338,2048,24588,0.45982767232767235,0.4816773504273504,0.4934225496725497,0.4517038517038517,0.9370363354682922,0.2464639247846256,31.547382372432075,0.03359487734487737,-0.029973498723498693,0.04171869796869804
256,fixed250_sequence_ce,11,0.543070818070818,0.44074035301375303,4096,49164,0.4550407925407925,0.40872668997669,0.5021256521256521,0.4789092851592851,0.9079382419586182,0.12358013378064944,31.636514247846257,0.047084859584859584,0.07018259518259512,0.023216366966366975
256,fixed250_sequence_ce,23,0.5477085414585413,0.43443596295936304,4096,49164,0.47213134088134084,0.46684842934842935,0.5397928460428459,0.43421647796647794,0.9092496633529663,0.11446134391567263,29.302104042412193,0.0676615051615051,-0.03263195138195141,0.105576368076368
256,fixed250_sequence_ce,101,0.5191884504384504,0.47408915975092447,4096,49164,0.46082667332667326,0.4656780719280719,0.518045843045843,0.4644383394383395,0.9312244653701782,0.21279808130384362,54.476308813783966,0.05721916971916974,-0.0012397324897324147,0.05360750360750349
32,relative10_sequence_ce,11,0.658116883116883,0.32445498617857904,320,3852,0.544295288045288,0.4827422577422577,0.5450931013431013,0.46323884448884445,0.9708475470542908,0.31982583664678593,10.23442677269715,0.0007978132978132546,-0.01950341325341326,0.08185425685425685
32,relative10_sequence_ce,23,0.7497925685425685,0.23710145972400887,320,3852,0.517676073926074,0.46872155622155626,0.5127268564768565,0.5108537296037295,0.9729173183441162,0.2999787731941683,9.599320742213386,-0.004949217449217502,0.04213217338217329,0.0018731268731269068
