objective,l2_width,last_layer,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_input_feature_dim,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_input_feature_dim,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,32,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.1725829725829726,0.18212204462204462,0.14796347225964138,0.19406392694063926,0.0,0.0,0.03503810976949127,0.03135268341515605,0.029978218823438697,0.044564432182518564
fixed250_sequence_ce,32,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.15566378066378067,0.18981943981943983,0.16793635563881368,0.2009132420091324,0.0,0.0,0.020616346560808175,0.0502381954001886,0.04931152530508175,0.04859314304518896
fixed250_sequence_ce,32,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.39076078242744905,0.31067404817404815,0.29593961263603996,0.319634703196347,0.0,0.0,0.044126988097527374,0.054732652570414674,0.05266817388839054,0.057031945190852945
fixed250_sequence_ce,32,L2,L1,3,117.0136826471659,43,full_count,43.0,43.0,0.2998196248196248,0.30948403448403444,0.3007060607076469,0.3150684931506849,0.0,0.0,0.02938544637541566,0.0772489921278643,0.07996266073079199,0.0830435318697407
fixed250_sequence_ce,32,L2,L1,4,242.10347130039656,42,fixed250,672.0,672.0,0.5163079204745872,0.5012415824915825,0.5062672234583193,0.5114155251141552,0.0,0.0,0.04192166529277058,0.020359581893289905,0.022939719033551086,0.0220174674908515
fixed250_sequence_ce,32,L2,L1,4,242.10347130039656,42,full_count,42.0,42.0,0.39668911335578,0.3975718725718725,0.3839100589958894,0.4063926940639269,0.0,0.0,0.03159355390915368,0.06717730179243174,0.06082288727046908,0.06509852707480937
fixed250_sequence_ce,32,L2,L2,2,54.31342963722199,11,fixed250,176.0,176.0,0.4522506814173481,0.5031304343804344,0.5030156486429274,0.5159817351598174,0.0,0.0,0.008833845344329194,0.025578776552790613,0.019843941353494477,0.034474129841418934
fixed250_sequence_ce,32,L2,L2,2,54.31342963722199,11,full_count,11.0,11.0,0.3367524450857784,0.3394392644392645,0.30839918765202523,0.3470319634703196,0.0,0.0,0.020563337816722177,0.04452379408089318,0.0584492576715442,0.03954453898559079
fixed250_sequence_ce,32,L2,L2,3,117.0136826471659,11,fixed250,176.0,176.0,0.5061808561808562,0.46542346542346547,0.4711329149259991,0.47716894977168955,0.0,0.0,0.07106067920489055,0.054372711184792484,0.05453507228835767,0.05744176084661705
fixed250_sequence_ce,32,L2,L2,3,117.0136826471659,11,full_count,11.0,11.0,0.37224827641494307,0.37398388648388653,0.3399450830787858,0.3835616438356164,0.0,0.0,0.03908652993929357,0.023498336858701153,0.04593798533383874,0.020547945205479465
fixed250_sequence_ce,32,L2,L2,4,242.10347130039656,10,fixed250,160.0,160.0,0.45670194003527337,0.4435959873459873,0.4499236769179298,0.4520547945205479,0.0,0.0,0.01923196956628205,0.02248180341094898,0.03267641849438686,0.02372672339135449
fixed250_sequence_ce,32,L2,L2,4,242.10347130039656,10,full_count,10.0,10.0,0.3419713003046337,0.3345314407814408,0.3103155263092004,0.34474885844748854,0.0,0.0,0.03158195502938166,0.06093749785937003,0.08005928893617173,0.059052589755148654
fixed250_sequence_ce,64,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.17081128747795415,0.16829767454767453,0.15349434263641684,0.17123287671232876,0.0,0.0,0.03468064614243172,0.02267471207996067,0.018970551962248592,0.02372672339135448
fixed250_sequence_ce,64,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.13857623857623858,0.16093906093906094,0.12257063382073409,0.18036529680365296,0.0,0.0,0.03288336172270057,0.009920504125935654,0.01144153778528871,0.010462501586657163
fixed250_sequence_ce,64,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.3756794131794132,0.4379042254042254,0.4351064197895982,0.4452054794520548,0.0,0.0,0.03475663938541143,0.029707785049737475,0.020880121263859488,0.029855472216032013
fixed250_sequence_ce,64,L2,L1,3,117.0136826471659,43,full_count,43.0,43.0,0.29002926086259423,0.2750090187590188,0.2517739020525907,0.2831050228310502,0.0,0.0,0.023235091506908362,0.048626787888553714,0.045588534839933595,0.05320173606269882
fixed250_sequence_ce,64,L2,L1,4,242.10347130039656,42,fixed250,672.0,672.0,0.5007816257816258,0.48441142191142195,0.4926289729967359,0.4931506849315069,0.0,0.0,0.021016691330742774,0.017983118969740797,0.015006698876598615,0.018121584322360218
fixed250_sequence_ce,64,L2,L1,4,242.10347130039656,42,full_count,42.0,42.0,0.40838544171877506,0.43418225293225293,0.4248681660983977,0.4429223744292237,0.0,0.0,0.05431870315420947,0.06132143765696937,0.0638877365709552,0.06652421134398845
fixed250_sequence_ce,64,L2,L2,2,54.31342963722199,22,fixed250,352.0,352.0,0.50674202340869,0.5120122932622932,0.5114878116723576,0.5251141552511416,0.0,0.0,0.054685087901991065,0.01157601652159766,0.005740603826794156,0.01581781559423634
fixed250_sequence_ce,64,L2,L2,2,54.31342963722199,22,full_count,22.0,22.0,0.39520202020202017,0.4284162596662597,0.4012110363576626,0.4383561643835616,0.0,0.0,0.026223761920517296,0.02382406450701437,0.037611487982493814,0.018121584322360218
fixed250_sequence_ce,64,L2,L2,3,117.0136826471659,21,fixed250,336.0,336.0,0.5536195286195286,0.4964121526621526,0.5026119354186762,0.5068493150684931,0.0,0.0,0.009924161630636372,0.016191370755839502,0.013532599027118357,0.018121584322360218
fixed250_sequence_ce,64,L2,L2,3,117.0136826471659,21,full_count,21.0,21.0,0.4080527497194164,0.39329651829651824,0.36437580158535465,0.4041095890410959,0.0,0.0,0.02175827182797355,0.012557459741246491,0.014743114865763499,0.011863361695677248
fixed250_sequence_ce,64,L2,L2,4,242.10347130039656,21,fixed250,336.0,336.0,0.5153358986692319,0.5081254393754393,0.5095869558351279,0.5228310502283106,0.0,0.0,0.05042993865390061,0.0733080424459778,0.07352380360610286,0.0757564384613564
fixed250_sequence_ce,64,L2,L2,4,242.10347130039656,21,full_count,21.0,21.0,0.35250921917588585,0.3501204813704814,0.33724899697214883,0.3584474885844749,0.0,0.0,0.039521925024960596,0.02316655061914898,0.03483046773230175,0.020925003173314353
fixed250_sequence_ce,128,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.17701418951418954,0.16446423946423946,0.13635827394599795,0.17579908675799086,0.0,0.0,0.019630624039934617,0.003886483852359942,0.004369188581968902,0.003954453898559076
fixed250_sequence_ce,128,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.1509078884078884,0.14628057128057126,0.11420343604467975,0.1552511415525114,0.0,0.0,0.024807852634666568,0.007336685975541836,0.0004337368367452829,0.014257986297713236
fixed250_sequence_ce,128,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.3660333493666827,0.3575348262848263,0.3520810878976417,0.36301369863013694,0.0,0.0,0.0950577241142284,0.06786929575801785,0.06488493485386734,0.06745793014928837
fixed250_sequence_ce,128,L2,L1,3,117.0136826471659,43,full_count,43.0,43.0,0.2664221580888247,0.26561378436378436,0.2496007691141703,0.27168949771689493,0.0,0.0,0.061881074176174035,0.036439968925482506,0.0410171476902062,0.02593108833698754
fixed250_sequence_ce,128,L2,L1,4,242.10347130039656,42,fixed250,672.0,672.0,0.48771645021645016,0.49289483664483663,0.4930668098068849,0.502283105022831,0.0,0.0,0.054326833435602316,0.01879111372211182,0.024125536065359353,0.022017467490851487
fixed250_sequence_ce,128,L2,L1,4,242.10347130039656,42,full_count,42.0,42.0,0.42682780182780183,0.39360153735153736,0.3685405475502624,0.4041095890410959,0.0,0.0,0.04136910299908009,0.049516955274155665,0.0338210613984788,0.05606406008131815
fixed250_sequence_ce,128,L2,L2,2,54.31342963722199,43,fixed250,688.0,688.0,0.5175164341831008,0.45107577607577604,0.4400044675160304,0.4634703196347032,0.0,0.0,0.011761029389628067,0.029701329340160423,0.031019274725941775,0.02768117728991355
fixed250_sequence_ce,128,L2,L2,2,54.31342963722199,43,full_count,43.0,43.0,0.3906926406926407,0.4166060791060791,0.3994662915295046,0.4223744292237443,0.0,0.0,0.05640484107676492,0.011047970243021059,0.013440375925734696,0.015817815594236322
fixed250_sequence_ce,128,L2,L2,3,117.0136826471659,43,fixed250,688.0,688.0,0.512632275132275,0.4697150072150072,0.47587365288162414,0.4817351598173516,0.0,0.0,0.0035823588576761657,0.030877867522257223,0.03406996758208012,0.03236860017981239
fixed250_sequence_ce,128,L2,L2,3,117.0136826471659,43,full_count,43.0,43.0,0.4161776495109828,0.43617054242054243,0.42620274847239753,0.4452054794520548,0.0,0.0,0.029040607153682233,0.046098423422403306,0.044436325446931726,0.04939111336252039
fixed250_sequence_ce,128,L2,L2,4,242.10347130039656,42,fixed250,672.0,672.0,0.5192259900593234,0.4758232508232508,0.46817118351637843,0.4885844748858448,0.0,0.0,0.040378609133214095,0.03739522186430811,0.0452418966682481,0.03954453898559083
fixed250_sequence_ce,128,L2,L2,4,242.10347130039656,42,full_count,42.0,42.0,0.4100929934263268,0.37063422688422687,0.36651209785113226,0.37442922374429227,0.0,0.0,0.02632987550333122,0.03470211410363882,0.03044796890957129,0.037723085940315766
fixed250_sequence_ce,256,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.11719576719576719,0.11487447737447737,0.07706608270356291,0.1232876712328767,0.0,0.0,0.025543917212502227,0.01721949519191514,0.026901585436453594,0.00684931506849315
fixed250_sequence_ce,256,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.10772607022607024,0.1042013542013542,0.06384451817933938,0.11643835616438354,0.0,0.0,0.019004743072935308,0.009415022528230333,0.026582235510340276,0.01186336169567724
fixed250_sequence_ce,256,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.32116602533269195,0.3618615181115181,0.3524028861413515,0.3721461187214612,0.0,0.0,0.050429807471896335,0.04751625587315625,0.03986052968746842,0.05048708764268487
fixed250_sequence_ce,256,L2,L1,3,117.0136826471659,43,full_count,43.0,43.0,0.2514069264069264,0.2697140822140822,0.25778015260930826,0.2785388127853881,0.0,0.0,0.04911153922485344,0.025411321813915474,0.022354107246807607,0.027681177289913563
fixed250_sequence_ce,256,L2,L1,4,242.10347130039656,42,fixed250,672.0,672.0,0.4791285874619207,0.459493746993747,0.4676666907632609,0.47260273972602734,0.0,0.0,0.03530240759076785,0.05048892764472546,0.0509079408596689,0.05171119476212844
fixed250_sequence_ce,256,L2,L1,4,242.10347130039656,42,full_count,42.0,42.0,0.381146785313452,0.43801591926591926,0.4202674377068513,0.44977168949771684,0.0,0.0,0.012041871798728352,0.013002174528867367,0.004879829195848747,0.014257986297713224
fixed250_sequence_ce,256,L2,L2,2,54.31342963722199,86,fixed250,1376.0,1376.0,0.46062810646143976,0.4731368168868168,0.4715676463297065,0.4817351598173516,0.0,0.0,0.038668451785325894,0.04603085278630021,0.04674532041062493,0.04662232387365786
fixed250_sequence_ce,256,L2,L2,2,54.31342963722199,86,full_count,86.0,86.0,0.3914983164983165,0.4018872331372331,0.4021824382360199,0.4063926940639269,0.0,0.0,0.027721762697688574,0.019630845711909185,0.023251235137632487,0.024054004001946915
fixed250_sequence_ce,256,L2,L2,3,117.0136826471659,85,fixed250,1360.0,1360.0,0.48276214526214517,0.492253811003811,0.49156440641092897,0.5068493150684931,0.0,0.0,0.02621824032869645,0.05171483650074898,0.04427434562490464,0.049391113362520375
fixed250_sequence_ce,256,L2,L2,3,117.0136826471659,85,full_count,85.0,85.0,0.4068382235048902,0.4388206700706701,0.42399865870370096,0.452054794520548,0.0,0.0,0.039489030133022324,0.02645157460080209,0.02369618816035385,0.029855472216032016
fixed250_sequence_ce,256,L2,L2,4,242.10347130039656,85,fixed250,1360.0,1360.0,0.509249238415905,0.5010290635290635,0.4958723658512758,0.5136986301369864,0.0,0.0,0.029915480504247513,0.0179400395738613,0.029523469917999555,0.018121584322360204
fixed250_sequence_ce,256,L2,L2,4,242.10347130039656,85,full_count,85.0,85.0,0.3997334455667789,0.445521608021608,0.44028628726994484,0.45433789954337905,0.0,0.0,0.02212457232390314,0.04803715274223864,0.04555653156988304,0.05186217667397513
relative10_sequence_ce,32,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.1947751322751323,0.19547905797905796,0.17100043824736946,0.2009132420091324,0.0,0.0,0.028134286304145367,0.013635194158407818,0.025355890416370024,0.0197722694927954
relative10_sequence_ce,32,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.16878306878306878,0.20085747585747582,0.17723860966577587,0.2100456621004566,0.0,0.0,0.03799288942879076,0.011033255043092957,0.019856062099902958,0.003954453898559081
relative10_sequence_ce,32,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.39706589706589707,0.4061366873866874,0.3910163065630399,0.4132420091324201,0.0,0.0,0.10462443118080099,0.05774180030080476,0.06175885291687007,0.06177054455921774
relative10_sequence_ce,32,L2,L1,3,117.0136826471659,43,full_count,43.0,43.0,0.30646143979477314,0.3184230121730121,0.29275584620692663,0.3310502283105023,0.0,0.0,0.055667060666916374,0.1078982910765318,0.10394320266545744,0.1140638903817059
relative10_sequence_ce,32,L2,L1,4,242.10347130039656,42,fixed250,672.0,672.0,0.5102052268718935,0.498538961038961,0.5006211019078002,0.5068493150684932,0.0,0.0,0.01575918122840274,0.009765309901556494,0.01846461043998127,0.006849315068493178
relative10_sequence_ce,32,L2,L1,4,242.10347130039656,42,full_count,42.0,42.0,0.4090668590668591,0.39632867132867133,0.3834698727130735,0.4155251141552511,0.0,0.0,0.05276272278953217,0.032244815747438,0.020606015362038186,0.034474129841418934
relative10_sequence_ce,32,L2,L2,2,54.31342963722199,11,fixed250,176.0,176.0,0.4762425845759179,0.5074027824027824,0.5068964610985977,0.5205479452054794,0.0,0.0,0.009304067642110685,0.0034863463101598327,0.013027428333641847,0.006849315068493109
relative10_sequence_ce,32,L2,L2,2,54.31342963722199,11,full_count,11.0,11.0,0.39525613275613275,0.38540787915787916,0.36126349386258116,0.3949771689497717,0.0,0.0,0.012593039905449502,0.041350309159148974,0.026378412697861765,0.044034934981702974
relative10_sequence_ce,32,L2,L2,3,117.0136826471659,11,fixed250,176.0,176.0,0.5211600128266795,0.48798400673400666,0.4893390974289067,0.5,0.0,0.0,0.04263858089206835,0.08870514010971746,0.08506830823352077,0.09662147931278005
relative10_sequence_ce,32,L2,L2,3,117.0136826471659,11,full_count,11.0,11.0,0.41024531024531025,0.38592495467495463,0.37110047554077363,0.3949771689497717,0.0,0.0,0.03217579938947421,0.01221732743951919,0.038042471180811416,0.010462501586657163
relative10_sequence_ce,32,L2,L2,4,242.10347130039656,10,fixed250,160.0,160.0,0.4965909090909091,0.4618790931290931,0.4680965531808678,0.4680365296803653,0.0,0.0,0.01098906498619669,0.04531848871857253,0.045658799462078896,0.045604987112872565
relative10_sequence_ce,32,L2,L2,4,242.10347130039656,10,full_count,10.0,10.0,0.40272767356100686,0.37347929847929845,0.35486190894470654,0.3789954337899544,0.0,0.0,0.009550521515449863,0.01747728471797485,0.022549600701246616,0.014257986297713235
relative10_sequence_ce,64,L2,L1,2,54.31342963722199,43,fixed250,688.0,688.0,0.16455026455026453,0.1600871350871351,0.14804433268278397,0.17123287671232876,0.0,0.0,0.057449413775887026,0.0518864532800928,0.04857329720281283,0.056064060081318146
relative10_sequence_ce,64,L2,L1,2,54.31342963722199,43,full_count,43.0,43.0,0.13595478595478594,0.15032467532467533,0.1075054121198981,0.16894977168949774,0.0,0.0,0.026115973743982702,0.029283442510184478,0.027986117174042754,0.03514795506470468
relative10_sequence_ce,64,L2,L1,3,117.0136826471659,43,fixed250,688.0,688.0,0.3838464005130671,0.3845665908165909,0.37724263775234196,0.3904109589041096,0.0,0.0,0.008868398132391209,0.013073897508042682,0.01803921261592478,0.011863361695677253
