l2_width,objective,seed,last_layer,feature_dim,input_feature_dim,layer,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
32,fixed250_sequence_ce,11,L2,2048,2048,L1,,0.1,0.5136986301369864,0.49500777000776996,0.48566705043434744,fixed250,0.5168470418470418
32,fixed250_sequence_ce,23,L2,2048,2048,L1,,0.01,0.5136986301369864,0.5041167166167165,0.4901651115288386,fixed250,0.47388167388167385
32,fixed250_sequence_ce,101,L2,2048,2048,L1,,0.1,0.5068493150684932,0.49516733266733265,0.49939213399506394,fixed250,0.5171777296777297
32,fixed250_sequence_ce,11,L2,128,2048,L1,0.9150329232215881,0.1,0.5,0.4867105117105117,0.5041251698269241,fixed250_pca128,0.43389850889850884
32,fixed250_sequence_ce,23,L2,128,2048,L1,0.911992073059082,1.0,0.4794520547945205,0.46864524364524357,0.46046890919556455,fixed250_pca128,0.458008658008658
32,fixed250_sequence_ce,101,L2,128,2048,L1,0.9031445384025574,0.1,0.4863013698630137,0.47805250305250296,0.4866775850425231,fixed250_pca128,0.5112554112554112
32,fixed250_sequence_ce,11,L2,128,128,L1,,1.0,0.4452054794520548,0.4411879786879787,0.4226307282457571,full_count,0.4397907647907648
32,fixed250_sequence_ce,23,L2,128,128,L1,,1.0,0.4863013698630137,0.4703345265845265,0.4605207562635099,full_count,0.42973785473785475
32,fixed250_sequence_ce,101,L2,128,128,L1,,0.1,0.547945205479452,0.5332792207792207,0.5347779784192828,full_count,0.43886483886483885
32,fixed250_sequence_ce,11,L2,512,512,L2,,1.0,0.4863013698630137,0.4688325563325563,0.46467303277390876,fixed250,0.5351972101972103
32,fixed250_sequence_ce,23,L2,512,512,L2,,0.1,0.541095890410959,0.5259733322233321,0.5493668695040533,fixed250,0.5040404040404041
32,fixed250_sequence_ce,101,L2,512,512,L2,,0.1,0.5684931506849316,0.5506465756465756,0.5548891390983309,fixed250,0.6156926406926407
32,fixed250_sequence_ce,11,L2,128,512,L2,0.9756448268890381,0.1,0.5,0.4821872571872572,0.47573769818393474,fixed250_pca128,0.4864237614237615
32,fixed250_sequence_ce,23,L2,128,512,L2,0.9714998006820679,0.1,0.4452054794520548,0.4373591686091685,0.46856596550690005,fixed250_pca128,0.4441197691197691
32,fixed250_sequence_ce,101,L2,128,512,L2,0.9716758131980896,1.0,0.5,0.49262196137196135,0.5026275476520575,fixed250_pca128,0.5393097643097643
32,fixed250_sequence_ce,11,L2,32,32,L2,,0.01,0.410958904109589,0.39694888444888443,0.37028095331839683,full_count,0.39852092352092355
32,fixed250_sequence_ce,23,L2,32,32,L2,,0.1,0.4794520547945205,0.46071844821844826,0.44219127574702105,full_count,0.39286315536315525
32,fixed250_sequence_ce,101,L2,32,32,L2,,0.1,0.3972602739726027,0.38051046176046177,0.3662021078215611,full_count,0.4366822991822992
64,fixed250_sequence_ce,11,L2,2048,2048,L1,,0.1,0.5136986301369864,0.5050498112998113,0.5096158703387983,fixed250,0.4875541125541126
64,fixed250_sequence_ce,23,L2,2048,2048,L1,,0.1,0.5616438356164384,0.5480692918192918,0.5495538666818159,fixed250,0.4997113997113997
64,fixed250_sequence_ce,101,L2,2048,2048,L1,,1.0,0.5,0.4886009823509823,0.4861189504348073,fixed250,0.4946608946608946
64,fixed250_sequence_ce,11,L2,128,2048,L1,0.9094942808151245,1.0,0.4863013698630137,0.47782009657009655,0.4797235928149907,fixed250_pca128,0.4911315536315537
64,fixed250_sequence_ce,23,L2,128,2048,L1,0.9132750630378723,0.1,0.5273972602739726,0.5185397935397935,0.49965427490727926,fixed250_pca128,0.4484126984126984
64,fixed250_sequence_ce,101,L2,128,2048,L1,0.9131036996841431,1.0,0.4931506849315068,0.4908522033522033,0.48680635110900766,fixed250_pca128,0.4567941317941318
64,fixed250_sequence_ce,11,L2,128,128,L1,,0.1,0.4726027397260274,0.4625402375402375,0.4584991631255761,full_count,0.3942219817219818
64,fixed250_sequence_ce,23,L2,128,128,L1,,1.0,0.4794520547945205,0.4734910922410922,0.4755227950731053,full_count,0.39732443482443486
64,fixed250_sequence_ce,101,L2,128,128,L1,,1.0,0.4589041095890411,0.4560918248418248,0.44789628787005104,full_count,0.44439033189033195
64,fixed250_sequence_ce,11,L2,1024,1024,L2,,1.0,0.541095890410959,0.5289946164946165,0.5359578790280545,fixed250,0.6173761423761424
