representation,mean_transition_minus_local,sd_transition_minus_local,median_transition_minus_local,transition_better_splits
fixed250,0.002941547831253688,0.026073338750031056,0.008721405228758083,4
fixed500,0.01578716898569843,0.03285308822712847,0.01441798941798944,3
relative10,0.0018268101723983854,0.018145728055580606,-0.0010504201680672232,2
