representation,decoder,n_trainable_params
fixed250,local,3552
fixed250,local_transition,7392
fixed250,transition,3840
fixed500,local,2016
fixed500,local_transition,4320
fixed500,transition,2304
relative10,local,2400
relative10,local_transition,5088
relative10,transition,2688
