representation,decoder,split_seed,best_epoch,n_trainable_params,linear_train_ba,linear_val_ba,linear_test_ba,linear_test_accuracy,linear_test_macro_f1,residual_train_ba,residual_val_ba,residual_test_ba,residual_test_accuracy,residual_test_macro_f1,test_delta_vs_linear,val_delta_vs_linear
fixed250,transition,23,21,3840,1.0,0.6189380132394838,0.5375632197323373,0.5536723163841808,0.5468109051442385,1.0,0.6502697125858891,0.5529226968565203,0.5706214689265536,0.5618236470319803,0.015359477124182952,0.03133169934640523
fixed250,transition,37,17,3840,1.0,0.646466503267974,0.6102904040404041,0.6012658227848101,0.5961742004929611,1.0,0.6783769063180829,0.608331252081252,0.6012658227848101,0.6007352933498219,-0.0019591519591520834,0.03191040305010895
fixed250,transition,53,33,3840,1.0,0.6466038225906646,0.4664432789432789,0.4785714285714286,0.461972573070774,1.0,0.684638880855986,0.5216588966588968,0.5285714285714286,0.5155067495017587,0.05521561771561784,0.038035058265321386
fixed250,transition,71,150,3840,1.0,0.6140796703296704,0.6269286881419234,0.6333333333333333,0.6324110555949952,1.0,0.7161744505494506,0.6394782913165266,0.6444444444444445,0.641400290742396,0.012549603174603186,0.10209478021978025
fixed250,local_transition,11,41,7392,1.0,0.4517094017094017,0.683183551198257,0.6875,0.6820908007191738,1.0,0.5048458485958486,0.6991217320261439,0.7019230769230769,0.6974080912563974,0.015938180827886894,0.053136446886446864
fixed250,local_transition,23,53,7392,1.0,0.6189380132394838,0.5375632197323373,0.5536723163841808,0.5468109051442385,1.0,0.653323487514664,0.5584694989106754,0.576271186440678,0.5662534216477809,0.020906279178338094,0.03438547427518013
fixed250,local_transition,37,8,7392,1.0,0.646466503267974,0.6102904040404041,0.6012658227848101,0.5961742004929611,1.0,0.6670343137254902,0.618324037074037,0.6075949367088608,0.6050975276236167,0.008033633033632914,0.02056781045751621
fixed250,local_transition,53,29,7392,1.0,0.6466038225906646,0.4664432789432789,0.4785714285714286,0.461972573070774,1.0,0.6871210478118374,0.5361790986790987,0.5357142857142857,0.5202507572025116,0.06973581973581983,0.04051722522117274
fixed250,local_transition,71,14,7392,1.0,0.6140796703296704,0.6269286881419234,0.6333333333333333,0.6324110555949952,1.0,0.6476228632478632,0.6477620214752567,0.65,0.6508735171680223,0.02083333333333337,0.033543192918192855
fixed500,local,11,46,2016,1.0,0.45666971916971916,0.6476988017429194,0.6442307692307693,0.6442168933181406,1.0,0.49114392551892555,0.6430691721132897,0.6394230769230769,0.6404846694379561,-0.00462962962962965,0.03447420634920639
fixed500,local,23,81,2016,1.0,0.5408638134741076,0.5711260893246187,0.5875706214689266,0.5771919773779232,1.0,0.5772985796882856,0.5729302832244009,0.5819209039548022,0.578357865254417,0.0018041938997821472,0.03643476621417796
fixed500,local,37,17,2016,1.0,0.6121576408341115,0.5881042568542568,0.5759493670886076,0.5677769843530153,1.0,0.6121576408341115,0.5825487012987013,0.569620253164557,0.5634477442394613,-0.005555555555555536,0.0
fixed500,local,53,20,2016,1.0,0.6480343486922434,0.6331585081585082,0.6285714285714286,0.6149478155943673,1.0,0.6524203136045242,0.6267482517482517,0.6214285714285714,0.6078611015984241,-0.0064102564102564985,0.004385964912280826
fixed500,local,71,13,2016,1.0,0.6281898656898656,0.5787406629318393,0.5833333333333334,0.5802832103683497,1.0,0.6337454212454212,0.5908934407096171,0.5944444444444444,0.5920539795754209,0.01215277777777779,0.005555555555555647
fixed500,transition,11,34,2304,1.0,0.45666971916971916,0.6476988017429194,0.6442307692307693,0.6442168933181406,1.0,0.49240689865689863,0.6673338779956427,0.6634615384615384,0.662004386215498,0.019635076252723316,0.03573717948717947
fixed500,transition,23,65,2304,1.0,0.5408638134741076,0.5711260893246187,0.5875706214689266,0.5771919773779232,1.0,0.6417122297637003,0.5873482726423903,0.5932203389830508,0.5881908726229212,0.016222183317771588,0.10084841628959273
fixed500,transition,37,44,2304,1.0,0.6121576408341115,0.5881042568542568,0.5759493670886076,0.5677769843530153,1.0,0.6457720588235295,0.6490377677877678,0.6392405063291139,0.6344630552963886,0.06093351093351096,0.033614417989418
fixed500,transition,53,62,2304,1.0,0.6480343486922434,0.6331585081585082,0.6285714285714286,0.6149478155943673,1.0,0.6858580746738642,0.6126651126651127,0.6,0.5903482500549592,-0.02049339549339546,0.03782372598162076
fixed500,transition,71,0,2304,1.0,0.6281898656898656,0.5787406629318393,0.5833333333333334,0.5802832103683497,1.0,0.6281898656898656,0.5787406629318393,0.5833333333333334,0.5802832103683497,0.0,0.0
fixed500,local_transition,11,95,4320,1.0,0.45666971916971916,0.6476988017429194,0.6442307692307693,0.6442168933181406,1.0,0.5306013431013431,0.6763208061002178,0.6778846153846154,0.673908339453102,0.028622004357298447,0.07393162393162395
fixed500,local_transition,23,52,4320,1.0,0.5408638134741076,0.5711260893246187,0.5875706214689266,0.5771919773779232,1.0,0.6184342006033182,0.5843973700591348,0.5932203389830508,0.578367861427072,0.013271280734516111,0.0775703871292106
fixed500,local_transition,37,40,4320,1.0,0.6121576408341115,0.5881042568542568,0.5759493670886076,0.5677769843530153,1.0,0.6559407096171802,0.619153762903763,0.6075949367088608,0.60349651187229,0.03104950604950618,0.0437830687830687
fixed500,local_transition,53,44,4320,1.0,0.6480343486922434,0.6331585081585082,0.6285714285714286,0.6149478155943673,1.0,0.6769208009339588,0.6133935508935509,0.6071428571428571,0.5999950200765419,-0.019764957264957306,0.028886452241715377
fixed500,local_transition,71,37,4320,1.0,0.6281898656898656,0.5787406629318393,0.5833333333333334,0.5802832103683497,1.0,0.6561164529914529,0.6237044817927171,0.6277777777777778,0.6242605725632546,0.04496381886087775,0.02792658730158737
