representation,decoder,split_seed,best_epoch,n_trainable_params,linear_train_ba,linear_val_ba,linear_test_ba,linear_test_accuracy,linear_test_macro_f1,residual_train_ba,residual_val_ba,residual_test_ba,residual_test_accuracy,residual_test_macro_f1,test_delta_vs_linear,val_delta_vs_linear
relative10,local,11,18,2400,1.0,0.5299068986568987,0.817824074074074,0.8173076923076923,0.8150728645096385,1.0,0.5745115995115995,0.820949074074074,0.8221153846153846,0.8176432529077008,0.0031250000000000444,0.04460470085470081
relative10,local,23,7,2400,1.0,0.6866159711747947,0.6836465141612201,0.6949152542372882,0.7002844000714182,1.0,0.7025881933970171,0.6816040305010893,0.6949152542372882,0.699516048584676,-0.0020424836601308227,0.015972222222222388
relative10,local,37,34,2400,1.0,0.74994650638033,0.7286220723720724,0.7215189873417721,0.7223291532756203,1.0,0.7818160597572361,0.6947316572316572,0.689873417721519,0.6888828396324648,-0.03389041514041524,0.03186955337690611
relative10,local,53,30,2400,1.0,0.7747739407278881,0.6054778554778554,0.6285714285714286,0.6066854021570045,1.0,0.8098757176059806,0.6356837606837608,0.6571428571428571,0.6349786563779567,0.03020590520590538,0.03510177687809257
relative10,local,71,24,2400,1.0,0.8394001831501833,0.7381273342670401,0.7444444444444445,0.7375975967647025,1.0,0.8529418498168498,0.7391777544351074,0.7444444444444445,0.7382046265893817,0.0010504201680672232,0.013541666666666563
relative10,transition,11,22,2688,1.0,0.5299068986568987,0.817824074074074,0.8173076923076923,0.8150728645096385,1.0,0.5634500915750916,0.840162037037037,0.8413461538461539,0.841055547073481,0.022337962962962976,0.033543192918192966
relative10,transition,23,31,2688,1.0,0.6866159711747947,0.6836465141612201,0.6949152542372882,0.7002844000714182,1.0,0.6985781171442936,0.6675021397447868,0.6779661016949152,0.6789381247909043,-0.01614437441643335,0.01196214596949896
relative10,transition,37,20,2688,1.0,0.74994650638033,0.7286220723720724,0.7215189873417721,0.7223291532756203,1.0,0.7715647370059134,0.7166562604062604,0.7088607594936709,0.707968544320373,-0.011965811965812034,0.021618230625583434
relative10,transition,53,26,2688,1.0,0.7747739407278881,0.6054778554778554,0.6285714285714286,0.6066854021570045,1.0,0.8054532029860977,0.6188325563325563,0.6428571428571429,0.6170536019267903,0.013354700854700918,0.030679262258209605
relative10,transition,71,8,2688,1.0,0.8394001831501833,0.7381273342670401,0.7444444444444445,0.7375975967647025,1.0,0.8446085164835165,0.7381273342670401,0.7444444444444445,0.7374535635225511,0.0,0.005208333333333259
relative10,local_transition,11,39,5088,1.0,0.5299068986568987,0.817824074074074,0.8173076923076923,0.8150728645096385,1.0,0.5787278693528694,0.81442674291939,0.8173076923076923,0.8133438763382185,-0.0033973311546839913,0.04882097069597069
relative10,local_transition,23,22,5088,1.0,0.6866159711747947,0.6836465141612201,0.6949152542372882,0.7002844000714182,1.0,0.7136993045081281,0.7267905773420479,0.7401129943502824,0.7370118084906127,0.04314406318082775,0.02708333333333346
relative10,local_transition,37,7,5088,1.0,0.74994650638033,0.7286220723720724,0.7215189873417721,0.7223291532756203,1.0,0.7657533846872081,0.7099352036852036,0.7025316455696202,0.7031915795171715,-0.018686868686868863,0.015806878306878103
relative10,local_transition,53,17,5088,1.0,0.7747739407278881,0.6054778554778554,0.6285714285714286,0.6066854021570045,1.0,0.797479275110854,0.6205322455322456,0.6428571428571429,0.6197848842164184,0.015054390054390243,0.022705334382965958
relative10,local_transition,71,11,5088,1.0,0.8394001831501833,0.7381273342670401,0.7444444444444445,0.7375975967647025,1.0,0.8529418498168498,0.7450717787114846,0.75,0.7427910085673096,0.00694444444444442,0.013541666666666563
fixed250,local,11,20,3552,1.0,0.4517094017094017,0.683183551198257,0.6875,0.6820908007191738,1.0,0.4757669413919414,0.67307325708061,0.6778846153846154,0.671747382825363,-0.010110294117646967,0.024057539682539708
fixed250,local,23,58,3552,1.0,0.6189380132394838,0.5375632197323373,0.5536723163841808,0.5468109051442385,1.0,0.6460213465728172,0.5442012916277622,0.559322033898305,0.5542528965973179,0.0066380718954248685,0.027083333333333348
fixed250,local,37,53,3552,1.0,0.646466503267974,0.6102904040404041,0.6012658227848101,0.5961742004929611,1.0,0.6784352629940865,0.6505661005661005,0.6392405063291139,0.6413584793869825,0.0402756965256964,0.03196875972611257
fixed250,local,53,49,3552,1.0,0.6466038225906646,0.4664432789432789,0.4785714285714286,0.461972573070774,1.0,0.6731407846539424,0.5140831390831392,0.5214285714285715,0.5068444138068282,0.04763986013986027,0.026536962063277825
fixed250,local,71,60,3552,1.0,0.6140796703296704,0.6269286881419234,0.6333333333333333,0.6324110555949952,1.0,0.6595886752136751,0.6222601540616246,0.6222222222222222,0.6276449129097905,-0.00466853408029877,0.04550900488400478
fixed250,transition,11,27,3840,1.0,0.4517094017094017,0.683183551198257,0.6875,0.6820908007191738,1.0,0.5041018009768009,0.6965005446623094,0.6971153846153846,0.6907760807779221,0.013316993464052351,0.05239239926739919
