representation,split_seed,linear_test_ba,local_test_ba,transition_test_ba,local_transition_test_ba,local_minus_linear,transition_minus_linear,local_transition_minus_linear,transition_minus_local,local_transition_minus_transition
relative10,11,0.817824074074074,0.820949074074074,0.840162037037037,0.81442674291939,0.0031250000000000444,0.022337962962962976,-0.0033973311546839913,0.01921296296296293,-0.025735294117646967
relative10,23,0.6836465141612201,0.6816040305010893,0.6675021397447868,0.7267905773420479,-0.0020424836601308227,-0.01614437441643335,0.04314406318082775,-0.014101890756302526,0.0592884375972611
relative10,37,0.7286220723720724,0.6947316572316572,0.7166562604062604,0.7099352036852036,-0.03389041514041524,-0.011965811965812034,-0.018686868686868863,0.021924603174603208,-0.006721056721056828
relative10,53,0.6054778554778554,0.6356837606837608,0.6188325563325563,0.6205322455322456,0.03020590520590538,0.013354700854700918,0.015054390054390243,-0.016851204351204463,0.0016996891996893249
relative10,71,0.7381273342670401,0.7391777544351074,0.7381273342670401,0.7450717787114846,0.0010504201680672232,0.0,0.00694444444444442,-0.0010504201680672232,0.00694444444444442
fixed250,11,0.683183551198257,0.67307325708061,0.6965005446623094,0.6991217320261439,-0.010110294117646967,0.013316993464052351,0.015938180827886894,0.02342728758169932,0.002621187363834543
fixed250,23,0.5375632197323373,0.5442012916277622,0.5529226968565203,0.5584694989106754,0.0066380718954248685,0.015359477124182952,0.020906279178338094,0.008721405228758083,0.005546802054155142
fixed250,37,0.6102904040404041,0.6505661005661005,0.608331252081252,0.618324037074037,0.0402756965256964,-0.0019591519591520834,0.008033633033632914,-0.042234848484848486,0.009992784992784998
fixed250,53,0.4664432789432789,0.5140831390831392,0.5216588966588968,0.5361790986790987,0.04763986013986027,0.05521561771561784,0.06973581973581983,0.007575757575757569,0.014520202020201989
fixed250,71,0.6269286881419234,0.6222601540616246,0.6394782913165266,0.6477620214752567,-0.00466853408029877,0.012549603174603186,0.02083333333333337,0.017218137254901955,0.008283730158730185
fixed500,11,0.6476988017429194,0.6430691721132897,0.6673338779956427,0.6763208061002178,-0.00462962962962965,0.019635076252723316,0.028622004357298447,0.024264705882352966,0.008986928104575131
fixed500,23,0.5711260893246187,0.5729302832244009,0.5873482726423903,0.5843973700591348,0.0018041938997821472,0.016222183317771588,0.013271280734516111,0.01441798941798944,-0.002950902583255477
fixed500,37,0.5881042568542568,0.5825487012987013,0.6490377677877678,0.619153762903763,-0.005555555555555536,0.06093351093351096,0.03104950604950618,0.0664890664890665,-0.029884004884004778
fixed500,53,0.6331585081585082,0.6267482517482517,0.6126651126651127,0.6133935508935509,-0.0064102564102564985,-0.02049339549339546,-0.019764957264957306,-0.014083139083138962,0.0007284382284381552
fixed500,71,0.5787406629318393,0.5908934407096171,0.5787406629318393,0.6237044817927171,0.01215277777777779,0.0,0.04496381886087775,-0.01215277777777779,0.04496381886087775
