representation,n_splits,mean_linear_test_ba,sd_linear_test_ba,mean_linear_test_macro_f1
fixed250,5,0.5848818284112401,0.08417764483369686,0.5838919070044286
fixed500,5,0.6037656638024285,0.03439088566357605,0.5968833762023592
relative10,5,0.7147395700704524,0.07789580661279387,0.7163938833556769
