representation,decoder,n_splits,mean_test_ba,sd_test_ba,mean_test_macro_f1,mean_delta_vs_linear,sd_delta_vs_linear,median_delta_vs_linear,min_delta_vs_linear,max_delta_vs_linear,improved_splits,n_trainable_params
fixed250,local,5,0.6008367884838474,0.06870925639362743,0.6003696171052564,0.01595496007260716,0.026395840137586377,0.0066380718954248685,-0.010110294117646967,0.04763986013986027,3,3552
fixed250,local_transition,5,0.6119712776330424,0.0661880489878308,0.6079766629796658,0.02708944922180222,0.024410850114271142,0.02083333333333337,0.008033633033632914,0.06973581973581983,5,7392
fixed250,transition,5,0.603778336315101,0.06932265535892779,0.6020484122807758,0.018896507903860847,0.021435723999919182,0.013316993464052351,-0.0019591519591520834,0.05521561771561784,4,3840
fixed500,local,5,0.6032379698188521,0.030158941999659888,0.5964410720211358,-0.0005276939835763495,0.00779329638096407,-0.00462962962962965,-0.0064102564102564985,0.01215277777777779,2,2016
fixed500,local_transition,5,0.6233939943498766,0.03331692116110547,0.6160056610784521,0.019628330547448235,0.024725794191096457,0.028622004357298447,-0.019764957264957306,0.04496381886087775,4,4320
fixed500,transition,5,0.6190251388045506,0.038409650347946446,0.6110579549116233,0.01525947500212208,0.030072036752923484,0.016222183317771588,-0.02049339549339546,0.06093351093351096,3,2304
relative10,local,5,0.7144292553851377,0.07004517056196514,0.715845084818436,-0.0003103146853146832,0.02277891688990942,0.0010504201680672232,-0.03389041514041524,0.03020590520590538,3,2400
relative10,local_transition,5,0.7233513096380743,0.06987505586585444,0.7232246314259461,0.008611739567621911,0.023055372392867014,0.00694444444444442,-0.018686868686868863,0.04314406318082775,3,5088
relative10,transition,5,0.7162560655575361,0.0832158154304576,0.7164938763268199,0.0015164954870837022,0.016352792672359416,0.0,-0.01614437441643335,0.022337962962962976,2,2688
