variant,coding,l1_mem_shift,l2_mem_shift,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,binary,2,2,0,11,input__events__whole_count,input,events,whole_count,30,0.1,0.4598096348096348,3250977034,"[{""C"": 0.001, ""val_ba"": 0.3034188034188034}, {""C"": 0.01, ""val_ba"": 0.38593940781440783}, {""C"": 0.1, ""val_ba"": 0.4598096348096348}, {""C"": 1.0, ""val_ba"": 0.4502608502608502}, {""C"": 10.0, ""val_ba"": 0.3973228160728161}]",0.6588235294117647,0.6484503504004652,0.6501724821191205,0.48520710059171596,0.4598096348096348,0.4492913742726336,0.41379310344827586,0.4066306446821153,0.4024094173835049,0.3894736842105263,0.3770833333333334,0.36400133682742375,0.4430379746835443,0.4459325396825396,0.4354377104377105
postencode_mask,binary,2,2,0,11,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5976662226662227,2778668308,"[{""C"": 0.001, ""val_ba"": 0.4389003357753358}, {""C"": 0.01, ""val_ba"": 0.5629079254079254}, {""C"": 0.1, ""val_ba"": 0.5976662226662227}, {""C"": 1.0, ""val_ba"": 0.5884646603396603}, {""C"": 10.0, ""val_ba"": 0.5657960095460095}]",1.0,1.0,1.0,0.6035502958579881,0.5976662226662227,0.5919785147108986,0.6666666666666666,0.6578262831939302,0.6593279579800227,0.6,0.586574074074074,0.5890929790310594,0.7468354430379747,0.7513888888888888,0.7457403163285518
postencode_mask,binary,2,2,0,11,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,10.0,0.5360743423243423,3817858282,"[{""C"": 0.001, ""val_ba"": 0.3266788766788767}, {""C"": 0.01, ""val_ba"": 0.41334706959706957}, {""C"": 0.1, ""val_ba"": 0.4762529137529137}, {""C"": 1.0, ""val_ba"": 0.5022675241425242}, {""C"": 10.0, ""val_ba"": 0.5360743423243423}]",0.8862745098039215,0.8880814890721203,0.8888212661313952,0.5443786982248521,0.5360743423243423,0.5403170725070868,0.5,0.4928234551396316,0.48757680347592625,0.49473684210526314,0.4847222222222222,0.4767924412425692,0.5063291139240507,0.5021825396825397,0.4928840767076061
postencode_mask,binary,2,2,0,11,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,0.01,0.6985014985014985,3219945234,"[{""C"": 0.001, ""val_ba"": 0.6583135614385615}, {""C"": 0.01, ""val_ba"": 0.6985014985014985}, {""C"": 0.1, ""val_ba"": 0.6770843739593739}, {""C"": 1.0, ""val_ba"": 0.6774315961815961}, {""C"": 10.0, ""val_ba"": 0.6419178044178043}]",0.9803921568627451,0.9778172154561973,0.9791951400900746,0.6982248520710059,0.6985014985014985,0.6955319351700932,0.7011494252873564,0.7000457059280589,0.6905310287585134,0.6421052631578947,0.6340277777777777,0.6285390048547944,0.7721518987341772,0.7839285714285715,0.7682921245421245
postencode_mask,binary,2,2,0,11,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,10.0,0.53250777000777,1405384964,"[{""C"": 0.001, ""val_ba"": 0.3394497863247863}, {""C"": 0.01, ""val_ba"": 0.4547861860361859}, {""C"": 0.1, ""val_ba"": 0.5102175602175602}, {""C"": 1.0, ""val_ba"": 0.5057779026529027}, {""C"": 10.0, ""val_ba"": 0.53250777000777}]",1.0,1.0,1.0,0.5384615384615384,0.53250777000777,0.5354229658644653,0.5057471264367817,0.4914741304447186,0.48704221350971694,0.4631578947368421,0.44768518518518524,0.4314828202986098,0.5569620253164557,0.5488095238095237,0.5472945491327844
postencode_mask,binary,2,2,0,11,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.6981906981906981,3527665401,"[{""C"": 0.001, ""val_ba"": 0.6355342574092574}, {""C"": 0.01, ""val_ba"": 0.6981906981906981}, {""C"": 0.1, ""val_ba"": 0.6898552836052837}, {""C"": 1.0, ""val_ba"": 0.6858488733488733}, {""C"": 10.0, ""val_ba"": 0.6494803807303806}]",0.996078431372549,0.9964539007092199,0.9963768115942028,0.6982248520710059,0.6981906981906981,0.6962111492330757,0.735632183908046,0.7384101192924722,0.7242737413089002,0.6842105263157895,0.6798611111111111,0.6601214338636939,0.7974683544303798,0.8125,0.796919746919747
postencode_mask,binary,2,2,0,11,l1__spike__whole_mean,l1,spike,whole_mean,128,10.0,0.4896301615051615,3127822513,"[{""C"": 0.001, ""val_ba"": 0.39760898823398816}, {""C"": 0.01, ""val_ba"": 0.48076264013764014}, {""C"": 0.1, ""val_ba"": 0.472108793983794}, {""C"": 1.0, ""val_ba"": 0.48481865356865356}, {""C"": 10.0, ""val_ba"": 0.4896301615051615}]",0.9941176470588236,0.9945159162130958,0.9944178028381065,0.4911242603550296,0.4896301615051615,0.47701150876438225,0.47701149425287354,0.4594636980666393,0.4602638552201031,0.4631578947368421,0.4395833333333334,0.43880052695842164,0.4936708860759494,0.48730158730158735,0.48435962185962184
postencode_mask,binary,2,2,0,11,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,0.01,0.6155688061938062,1788346329,"[{""C"": 0.001, ""val_ba"": 0.5699203574203574}, {""C"": 0.01, ""val_ba"": 0.6155688061938062}, {""C"": 0.1, ""val_ba"": 0.6150346181596181}, {""C"": 1.0, ""val_ba"": 0.5990127927627927}, {""C"": 10.0, ""val_ba"": 0.6057702713952713}]",0.9470588235294117,0.9458151088458532,0.9505900409887879,0.621301775147929,0.6155688061938062,0.6125060843334696,0.6494252873563219,0.644361031125737,0.6265901471554812,0.5894736842105263,0.5761574074074075,0.5498185115251678,0.7215189873417721,0.7250992063492063,0.7055325121501591
postencode_mask,binary,2,2,0,11,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5061747280497281,3231047109,"[{""C"": 0.001, ""val_ba"": 0.3653807997557998}, {""C"": 0.01, ""val_ba"": 0.46275876900876894}, {""C"": 0.1, ""val_ba"": 0.5061747280497281}, {""C"": 1.0, ""val_ba"": 0.49129377566877563}, {""C"": 10.0, ""val_ba"": 0.47683427683427687}]",0.9176470588235294,0.9196439247129448,0.9189480337774937,0.5207100591715976,0.5061747280497281,0.505443842657159,0.5632183908045977,0.5507580042506514,0.5481154061139714,0.5263157894736842,0.5055555555555556,0.5006089086352244,0.6075949367088608,0.6086309523809523,0.5999808735296351
postencode_mask,binary,2,2,0,11,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,0.01,0.7098092879342879,1615841375,"[{""C"": 0.001, ""val_ba"": 0.5833041958041958}, {""C"": 0.01, ""val_ba"": 0.7098092879342879}, {""C"": 0.1, ""val_ba"": 0.6954604423354424}, {""C"": 1.0, ""val_ba"": 0.6766341297591297}, {""C"": 10.0, ""val_ba"": 0.6710081585081585}]",0.996078431372549,0.9964539007092199,0.9963768115942028,0.7100591715976331,0.7098092879342879,0.7111861027975551,0.7586206896551724,0.7625064273961333,0.7504713570805525,0.7052631578947368,0.705787037037037,0.6954519122088781,0.8227848101265823,0.8348214285714287,0.8173674364850835
