tau_mem_ms,seed,readout,delta_ba_rsnn_minus_ff
125,11,output_whole_count,0.05579489954489958
125,11,hidden_whole_count_linear,-0.03205544455544462
125,11,uend_linear,0.34619061494061487
125,23,output_whole_count,0.009115884115884043
125,23,hidden_whole_count_linear,-0.12061272061272066
125,23,uend_linear,0.30190365190365187
125,37,output_whole_count,-0.012668581418581404
125,37,hidden_whole_count_linear,-0.06275946275946276
125,37,uend_linear,0.2936043123543123
125,53,output_whole_count,-0.011176323676323596
125,53,hidden_whole_count_linear,-0.025410006660006756
125,53,uend_linear,0.2922903485403485
125,71,output_whole_count,-0.030681818181818143
125,71,hidden_whole_count_linear,-0.005738705738705829
125,71,uend_linear,0.3717046842046842
250,11,output_whole_count,0.08411380286380288
250,11,hidden_whole_count_linear,0.049314574314574255
250,11,uend_linear,0.33414571539571536
250,23,output_whole_count,-0.06845376845376855
250,23,hidden_whole_count_linear,-0.016754773004773016
250,23,uend_linear,0.36784257409257415
250,37,output_whole_count,0.023455710955710918
250,37,hidden_whole_count_linear,-0.05951756576756578
250,37,uend_linear,0.39311729936729944
250,53,output_whole_count,-0.01361832611832603
250,53,hidden_whole_count_linear,-0.023611111111111138
250,53,uend_linear,0.3421633921633922
250,71,output_whole_count,0.10415140415140406
250,71,hidden_whole_count_linear,-0.019191919191919204
250,71,uend_linear,0.39428765678765676
500,11,output_whole_count,0.016369047619047616
500,11,hidden_whole_count_linear,-0.04757117882117884
500,11,uend_linear,0.3013583638583638
500,23,output_whole_count,-0.008752358752358746
500,23,hidden_whole_count_linear,-0.029065379065379093
500,23,uend_linear,0.24195179820179827
500,37,output_whole_count,0.006288850038850047
500,37,hidden_whole_count_linear,-0.008746114996114995
500,37,uend_linear,0.3242278554778555
500,53,output_whole_count,0.0869477744477744
500,53,hidden_whole_count_linear,-0.050466894216894154
500,53,uend_linear,0.288988788988789
500,71,output_whole_count,-0.033421439671439734
500,71,hidden_whole_count_linear,-0.019150987900987904
500,71,uend_linear,0.3330169830169829
1000,11,output_whole_count,-0.05047521922521914
1000,11,hidden_whole_count_linear,-0.09874639249639255
1000,11,uend_linear,0.16987387612387606
1000,23,output_whole_count,-0.03897005772005768
1000,23,hidden_whole_count_linear,-0.05899447774447775
1000,23,uend_linear,0.1698933011433012
1000,37,output_whole_count,-0.023038073038073037
1000,37,hidden_whole_count_linear,0.0111700799200799
1000,37,uend_linear,0.17619602619602626
1000,53,output_whole_count,-0.053918997668997604
1000,53,hidden_whole_count_linear,-0.011311605061605057
1000,53,uend_linear,0.20105866355866348
1000,71,output_whole_count,-0.10528291153291153
1000,71,hidden_whole_count_linear,-0.07838897213897211
1000,71,uend_linear,0.23197705072705066
2000,11,output_whole_count,-0.020707070707070563
2000,11,hidden_whole_count_linear,-0.06051864801864809
2000,11,uend_linear,0.09957889332889341
2000,23,output_whole_count,-0.11146006771006772
2000,23,hidden_whole_count_linear,-0.061936674436674444
2000,23,uend_linear,0.12662823287823283
2000,37,output_whole_count,-0.009648684648684569
2000,37,hidden_whole_count_linear,-0.0972929847929847
2000,37,uend_linear,0.21161199911199896
2000,53,output_whole_count,-0.0991335053835054
2000,53,hidden_whole_count_linear,-0.16098068598068588
2000,53,uend_linear,0.13125763125763124
2000,71,output_whole_count,-0.044610944610944614
2000,71,hidden_whole_count_linear,-0.07312895437895439
2000,71,uend_linear,0.054611360861360814
