model_kind,tau_mem_ms,output_whole_count_ba_mean,output_whole_count_ba_std,output_whole_count_ba_count,hidden_whole_count_linear_ba_mean,hidden_whole_count_linear_ba_std,hidden_whole_count_linear_ba_count,uend_linear_ba_mean,uend_linear_ba_std,uend_linear_ba_count,uend_minus_hidden_count_ba_mean,uend_minus_hidden_count_ba_std,uend_minus_hidden_count_ba_count,uend_minus_output_count_ba_mean,uend_minus_output_count_ba_std,uend_minus_output_count_ba_count,state_events_per_neuron_second_mean,state_events_per_neuron_second_std,state_events_per_neuron_second_count,output_events_per_neuron_second_mean,output_events_per_neuron_second_std,output_events_per_neuron_second_count,state_tail_event_fraction_mean,state_tail_event_fraction_std,state_tail_event_fraction_count,output_tail_event_fraction_mean,output_tail_event_fraction_std,output_tail_event_fraction_count
ff,125,0.48834276834276835,0.03629654659551171,5,0.5477768065268066,0.017258753171204975,5,0.14848082473082472,0.03747125461225073,5,-0.3992959817959818,0.03125523758057861,5,-0.33986194361194355,0.06534358549253659,5,53.568034561366254,4.06283596688313,5,360.13047895039597,34.44465875075387,5,0.0,0.0,5,0.000385800899606045,0.00016317672189800558,5
ff,250,0.4720598845598845,0.027412074643867926,5,0.5160524198024199,0.022841540063914156,5,0.17818334443334444,0.0299200352037864,5,-0.3378690753690754,0.04560440195501707,5,-0.2938765401265401,0.03518158346201219,5,57.27697517708557,3.430878019682795,5,388.5139594927226,28.79323255606498,5,2.3992697880539583e-06,4.242327888057058e-06,5,0.00044948931222092616,0.0003046869342283201,5
ff,500,0.4531529581529582,0.02103827933912066,5,0.5148996836496835,0.016929887661607836,5,0.2306088356088356,0.017028012158952374,5,-0.28429084804084803,0.02689976937190133,5,-0.22254412254412256,0.01885118248396497,5,52.783206176757815,5.127865052193028,5,354.6293033547597,57.16429296092233,5,2.4404668580893785e-06,3.716117617610926e-06,5,0.00028680286255397205,0.00018895043842805378,5
ff,1000,0.45448412698412693,0.028747850389158773,5,0.5051892551892552,0.03298061068025275,5,0.3010513098013098,0.034123604987504975,5,-0.20413794538794536,0.02537091495968842,5,-0.15343281718281715,0.03643661930818713,5,50.84956114259485,7.572026849690836,5,338.6778799814721,74.57329954680665,5,5.565850982723171e-06,1.2445621150003019e-05,5,0.00020834172067985142,0.0002220411002799284,5
ff,2000,0.46542929292929286,0.028278198692967934,5,0.5261388611388611,0.03360410516299357,5,0.35218240093240094,0.036076930749814475,5,-0.17395646020646022,0.0549614390040305,5,-0.11324689199689197,0.03369881256564591,5,49.380925823891005,3.350168122353577,5,342.94622823636826,47.86110011722077,5,8.957952855805522e-06,1.6393343622861326e-05,5,0.00020734878792746424,0.00014247723902845205,5
rsnn,125,0.49041958041958045,0.029089600171851734,5,0.49846153846153846,0.037644386622036466,5,0.46961954711954706,0.026625984359044126,5,-0.028841991341991335,0.048914137536202905,5,-0.020800033300033337,0.02031640752663314,5,36.07062620398116,5.481709212225848,5,184.94369329165107,31.100731966419694,5,0.3005761591028677,0.19905097823048448,5,0.29876524582505226,0.1901885369826025,5
rsnn,250,0.49798964923964917,0.04748012784710363,5,0.5021002608502607,0.024832926355569447,5,0.5444946719946719,0.014334073198434188,5,0.04239441114441117,0.03530654427072915,5,0.046505022755022815,0.059333635606384015,5,37.31818359584024,9.473720996777336,5,180.47138607077403,46.09089934712394,5,0.23227576760396565,0.06539659925116388,5,0.22442110097163342,0.06499960449259697,5
rsnn,500,0.4666393328893329,0.039182331612358484,5,0.4838995726495726,0.024446678672148375,5,0.5285175935175934,0.042687927836862774,5,0.04461802086802089,0.05483458939734222,5,0.06187826062826061,0.0692369577488619,5,31.24139298739499,13.11161937476469,5,143.4367169837429,76.65746475546636,5,0.2718816120738853,0.1391019182680267,5,0.23923271070808577,0.13210029162579615,5
rsnn,1000,0.40014707514707515,0.05038325365198577,5,0.4579349816849817,0.05053003417238148,5,0.49085109335109334,0.01594784421396972,5,0.03291611166611167,0.04862118230070565,5,0.09070401820401816,0.05363851996310934,5,40.117933717492505,13.396072292649308,5,162.350922634177,62.20663089543264,5,0.3404729095632083,0.10686582242787294,5,0.3097309263193444,0.11480421742783355,5
rsnn,2000,0.4083172383172383,0.025632368299404462,5,0.4353672716172716,0.036563403347527015,5,0.47692002442002435,0.024079403665684652,5,0.041552752802752745,0.040935887780974956,5,0.06860278610278606,0.036102900888081824,5,38.75011002004963,11.449869469925279,5,111.53955968569403,9.808454933686921,5,0.3497579498650277,0.1298424348125701,5,0.33134436848228926,0.14651069220959526,5
