tau_mem_ms,readout,mean,std,count
125,hidden_whole_count_linear,-0.04931526806526813,0.044811697483404266,5
125,output_whole_count,0.0020768120768120957,0.0331714544052828,5
125,uend_linear,0.3211387223887224,0.035863889084318056,5
250,hidden_whole_count_linear,-0.013952158952158978,0.039393815904925036,5
250,output_whole_count,0.025929764679764655,0.07067961328311907,5
250,uend_linear,0.36631132756132756,0.027934428700769127,5
500,hidden_whole_count_linear,-0.031000111000111,0.017978745656767704,5
500,output_whole_count,0.013486374736374717,0.04514309396790081,5
500,uend_linear,0.29790875790875787,0.03587453600218596,5
1000,hidden_whole_count_linear,-0.04725427350427351,0.04599978440386192,5
1000,output_whole_count,-0.0543370518370518,0.030928707225691313,5
1000,uend_linear,0.18979978354978352,0.026851705198563565,5
2000,hidden_whole_count_linear,-0.09077158952158951,0.04192195485124493,5
2000,output_whole_count,-0.057112054612054576,0.04597249434526314,5
2000,uend_linear,0.12473762348762345,0.057323416808581086,5
