model_kind,tau_mem_ms,seed,split,output_whole_count_ba,hidden_whole_count_linear_ba,uend_linear_ba,uend_minus_hidden_count_ba,uend_minus_output_count_ba,state_events_per_neuron_second,output_events_per_neuron_second,state_tail_event_fraction,output_tail_event_fraction
ff,125,11,test,0.4529415029415029,0.5634441946941947,0.15390096015096014,-0.4095432345432346,-0.2990405427905428,54.18441997162283,343.3080619916524,0.0,0.00029217709519275246
ff,125,11,train,0.7999692156186134,0.9264044124277153,0.9386693223894943,0.01226490996177898,0.13870010677088085,49.30876983668841,311.9622383052018,5.204537795237851e-05,0.0020709830899714858
ff,125,11,val,0.5884920634920635,0.5641293891293891,0.17103775853775852,-0.39309163059163066,-0.417454304954305,44.47072219848633,280.7315673828125,0.0,0.00010839565948117524
ff,125,23,test,0.5030046342546343,0.5607364857364857,0.19135864135864133,-0.3693778443778444,-0.31164599289599293,55.11320067105228,378.6175328084867,0.0,0.0006420656222186677
ff,125,23,train,0.7862171233986152,0.9342426385884522,0.9345802081785249,0.00033756959007269494,0.14836308477990978,50.17018744621343,344.287724664002,4.130294534462711e-05,0.0024511511619932144
ff,125,23,val,0.5159451659451659,0.5594336219336219,0.22878186628186628,-0.33065175565175564,-0.2871632996632997,45.167457580566406,310.58953857421875,0.0,0.000204974552616477
ff,125,37,test,0.46956515706515706,0.5543172105672105,0.16401584526584526,-0.3903013653013653,-0.3055493117993118,50.4299710417447,335.8062413881903,0.0,0.00037950708543601103
ff,125,37,train,0.7829879886392811,0.9415545780457899,0.8857087401831668,-0.05584583786262309,0.10272075154388571,45.93649245375405,304.7119214686592,2.0375353662479867e-05,0.0018931580581197358
ff,125,37,val,0.4973905723905723,0.5488155363155363,0.12876984126984128,-0.420045695045695,-0.368620731120731,41.29720687866211,275.4267883300781,0.0,8.158991840900853e-05
ff,125,53,test,0.4715763403263402,0.5225482850482851,0.1436736874236874,-0.3788745976245977,-0.3279026529026528,48.9116406897976,331.009222997378,0.0,0.00020810919622444126
ff,125,53,train,0.7974225636347173,0.9429382311146076,0.8840531103722465,-0.058885120742361075,0.08663054673752923,44.56063322109938,301.571494911706,3.505362519952701e-05,0.0016366062727323997
ff,125,53,val,0.5297077922077922,0.49528018278018276,0.17272126022126022,-0.32255892255892255,-0.35698653198653196,40.13142013549805,272.2509460449219,0.0,0.00014615811232943088
ff,125,71,test,0.5446262071262071,0.5378378565878567,0.08945498945498946,-0.4483828671328672,-0.45517121767121765,59.20094043261384,411.9113355662725,0.0,0.0004071454989583525
ff,125,71,train,0.8510316859085626,0.9525796255291707,0.9023533370908972,-0.05022628843827359,0.05132165118233456,53.934447145708255,373.5199591789311,2.013989926593157e-05,0.002360586232662829
ff,125,71,val,0.5316798941798943,0.5970959595959596,0.12239057239057238,-0.47470538720538724,-0.40928932178932187,48.47502517700195,338.0301513671875,0.0,0.00022572050511371344
ff,250,11,test,0.44029720279720275,0.4812312687312687,0.19973914973914975,-0.28149211899211896,-0.240558053058053,60.05155338653147,354.8614393260381,0.0,0.0002464826843918186
ff,250,11,train,0.8248731712115288,0.9312710071374504,0.9206280118481839,-0.010642995289266488,0.09575484063665507,54.56606590152813,321.40214908882183,0.00010345102696027677,0.0019106450377444123
ff,250,11,val,0.5749037999037999,0.570580808080808,0.1684283309283309,-0.40215247715247715,-0.40647546897546905,49.25410461425781,289.3404846191406,0.0,8.5756357293576e-05
ff,250,23,test,0.5065399877899878,0.5389652014652014,0.18174672549672546,-0.357218475968476,-0.32479326229326233,61.46673803460108,430.9462568727258,9.79393969404779e-06,0.0009451428913090327
ff,250,23,train,0.8000071411436397,0.9322876224574307,0.8832905403197672,-0.04899708213766352,0.08328339917612748,56.43784868696676,394.6464849527855,0.00016710533828964689,0.002956265412117138
ff,250,23,val,0.5406806156806158,0.56501924001924,0.18306878306878308,-0.38195045695045693,-0.3576118326118327,50.85756301879883,357.15447998046875,0.0,0.0003459668077994138
ff,250,37,test,0.4602827727827728,0.5315247252747253,0.1692717005217005,-0.3622530247530248,-0.29101107226107226,54.65926737328098,396.4685974121094,2.202409246222001e-06,0.0005313362160774127
ff,250,37,train,0.759658091926472,0.9285259413774473,0.923362887917087,-0.0051630534603602785,0.16370479599061494,49.861358721367054,359.5813147960144,8.476594219014503e-05,0.002196363691783954
