architecture,hidden_width,tau_mem_ms,seed,original_exp4_0_binary_ba,custom_cap1_binary_ba,custom_minus_original
ff,128,2000.0,11,0.263267982017982,0.2598720723720724,-0.003395909645909634
ff,128,2000.0,23,0.2958971583971583,0.28327089577089576,-0.012626262626262541
ff,128,2000.0,37,0.3233752358752358,0.3252331002331002,0.0018578643578643916
ff,128,2000.0,53,0.2953900266400266,0.29321234321234324,-0.0021776834276833745
ff,128,2000.0,71,0.3442293817293817,0.3008706571206571,-0.04335872460872464
rsnn,128,250.0,11,0.3327228327228327,0.36220793095793097,0.02948509823509826
rsnn,128,250.0,23,0.3756528194028194,0.37274877899877895,-0.0029040404040404644
rsnn,128,250.0,37,0.2772352647352648,0.31038822288822293,0.033152958152958156
rsnn,128,250.0,53,0.3686591186591186,0.39361124986124985,0.024952131202131245
rsnn,128,250.0,71,0.3921724109224109,0.332788739038739,-0.059383671883671885
