architecture,regularization,seed,condition,split,accuracy,balanced_accuracy,macro_f1,objective_loss
234x234,task_only,11,mean_ce_bias0_reuse,train,0.8554216867469879,0.8542741569766127,0.8578320975688678,0.8006625771522522
234x234,task_only,11,mean_ce_bias1_with_bias,train,0.9225473321858864,0.9233120395930237,0.9254491873795111,0.5636358261108398
234x234,task_only,11,mean_ce_bias1_zero_bias,train,0.9225473321858864,0.9235713490497527,0.9242213442864126,0.5699896812438965
234x234,task_only,11,mean_ce_bias0_reuse,val,0.5634920634920635,0.5587061087061086,0.5555794062259579,1.3367388248443604
234x234,task_only,11,mean_ce_bias1_with_bias,val,0.5555555555555556,0.5413780663780664,0.5405588624338623,1.2556874752044678
234x234,task_only,11,mean_ce_bias1_zero_bias,val,0.5158730158730159,0.5102272727272726,0.5128851346735052,1.2639554738998413
234x234,task_only,11,mean_ce_bias0_reuse,test,0.5684931506849316,0.5505723443223443,0.5479560628318462,1.430204153060913
234x234,task_only,11,mean_ce_bias1_with_bias,test,0.5616438356164384,0.5483266733266732,0.5432920177266246,1.3913264274597168
234x234,task_only,11,mean_ce_bias1_zero_bias,test,0.5547945205479452,0.5391275391275391,0.532992132155825,1.3994524478912354
234x234,task_only,23,mean_ce_bias0_reuse,train,0.7641996557659209,0.7606778821907249,0.7597589812517462,1.0666345357894897
234x234,task_only,23,mean_ce_bias1_with_bias,train,0.6144578313253012,0.6022005745368376,0.6049193971374078,1.4210479259490967
234x234,task_only,23,mean_ce_bias1_zero_bias,train,0.5920826161790017,0.5861631432046472,0.5782351503983144,1.432350754737854
234x234,task_only,23,mean_ce_bias0_reuse,val,0.5238095238095238,0.5114177489177488,0.5054930406650344,1.4998550415039062
234x234,task_only,23,mean_ce_bias1_with_bias,val,0.5238095238095238,0.5096079846079846,0.5092145703980319,1.6549437046051025
234x234,task_only,23,mean_ce_bias1_zero_bias,val,0.4603174603174603,0.450012025012025,0.4249746022357024,1.6744669675827026
234x234,task_only,23,mean_ce_bias0_reuse,test,0.547945205479452,0.5303994616494616,0.506042309543297,1.5591641664505005
234x234,task_only,23,mean_ce_bias1_with_bias,test,0.4931506849315068,0.46213855588855585,0.42074874256029826,1.7060832977294922
234x234,task_only,23,mean_ce_bias1_zero_bias,test,0.4794520547945205,0.4546980796980797,0.4129724442224443,1.7188278436660767
234x234,task_only,37,mean_ce_bias0_reuse,train,0.9397590361445783,0.9401752194297962,0.9415194684534427,0.46234142780303955
234x234,task_only,37,mean_ce_bias1_with_bias,train,0.9311531841652324,0.9305319191816572,0.933374098210471,0.5177205204963684
234x234,task_only,37,mean_ce_bias1_zero_bias,train,0.9294320137693631,0.9291786428283809,0.9313607228585804,0.5219058990478516
234x234,task_only,37,mean_ce_bias0_reuse,val,0.6111111111111112,0.6060606060606061,0.6056036283977461,1.1870086193084717
234x234,task_only,37,mean_ce_bias1_with_bias,val,0.6349206349206349,0.6296717171717172,0.6264080144556817,1.1609976291656494
234x234,task_only,37,mean_ce_bias1_zero_bias,val,0.6031746031746031,0.6011363636363637,0.5982438691076283,1.1674754619598389
234x234,task_only,37,mean_ce_bias0_reuse,test,0.5616438356164384,0.5550879675879675,0.5506706749131706,1.3809069395065308
234x234,task_only,37,mean_ce_bias1_with_bias,test,0.547945205479452,0.5401709401709401,0.5217882509785697,1.3848375082015991
234x234,task_only,37,mean_ce_bias1_zero_bias,test,0.5547945205479452,0.5467546342546342,0.5365847145793812,1.386833667755127
