architecture,regularization,seed,condition,probe,split,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,mean_ce_bias0_reuse,l2_fixed250_linear,test,0.6575342465753424,0.646065046065046,0.6489974538077005
234x234,task_only,11,mean_ce_bias0_reuse,l2_fixed250_linear,train,0.9948364888123924,0.9949115971174795,0.9950482949511822
234x234,task_only,11,mean_ce_bias0_reuse,l2_fixed250_linear,val,0.6031746031746031,0.6011363636363637,0.6116152222386604
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_linear,test,0.6027397260273972,0.5881715506715507,0.5873774421089
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_linear,train,0.9311531841652324,0.9303936574317603,0.9329902688792235
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_linear,val,0.6190476190476191,0.6042147667147667,0.6106385947338633
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,test,0.4931506849315068,0.48656343656343654,0.48385942587968317
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,train,0.9328743545611016,0.9347021840774153,0.9353729308155295
234x234,task_only,11,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,val,0.5555555555555556,0.5663480038480039,0.5491744122700509
234x234,task_only,11,mean_ce_bias1_with_bias,l2_fixed250_linear,test,0.636986301369863,0.6237436174936174,0.6298221964216588
234x234,task_only,11,mean_ce_bias1_with_bias,l2_fixed250_linear,train,1.0,1.0,1.0
234x234,task_only,11,mean_ce_bias1_with_bias,l2_fixed250_linear,val,0.5952380952380952,0.5983946608946609,0.6059073774597398
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_linear,test,0.5821917808219178,0.5723956598956599,0.5717709364154041
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_linear,train,0.9913941480206541,0.9917017205742695,0.9918410277582486
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_linear,val,0.5873015873015873,0.5919071669071668,0.589930373254172
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,test,0.4657534246575342,0.45509004884004883,0.452582574471369
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,train,0.8313253012048193,0.8329268680454341,0.8322254304470259
234x234,task_only,11,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,val,0.5476190476190477,0.5513347763347763,0.5455514173611896
234x234,task_only,23,mean_ce_bias0_reuse,l2_fixed250_linear,test,0.5958904109589042,0.5749729437229437,0.5697199222927845
234x234,task_only,23,mean_ce_bias0_reuse,l2_fixed250_linear,train,0.8674698795180723,0.8622036144779246,0.8686205609121748
234x234,task_only,23,mean_ce_bias0_reuse,l2_fixed250_linear,val,0.5873015873015873,0.570045695045695,0.5758747867745996
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_linear,test,0.5616438356164384,0.5496614496614497,0.5350064444675033
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_linear,train,0.7969018932874354,0.7904556601045046,0.7961265478079423
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_linear,val,0.5158730158730159,0.5046416546416547,0.5165081933889984
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,test,0.4931506849315068,0.4876005938505938,0.49043369068835957
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,train,0.8089500860585198,0.8109669091147927,0.8094164440096984
234x234,task_only,23,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,val,0.5238095238095238,0.5180976430976431,0.5215773179239975
234x234,task_only,23,mean_ce_bias1_with_bias,l2_fixed250_linear,test,0.5616438356164384,0.5470598845598845,0.5519282069489357
234x234,task_only,23,mean_ce_bias1_with_bias,l2_fixed250_linear,train,0.8055077452667814,0.7950697566751712,0.8040744026823144
234x234,task_only,23,mean_ce_bias1_with_bias,l2_fixed250_linear,val,0.5634920634920635,0.5349567099567099,0.5359844703704353
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_linear,test,0.5342465753424658,0.5175095737595737,0.4980971321349519
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_linear,train,0.7228915662650602,0.7131798278261212,0.7171903093465485
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_linear,val,0.6031746031746031,0.5910834535834536,0.612130224353718
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,test,0.4246575342465753,0.4216283716283716,0.41516217859547616
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,train,0.8433734939759037,0.8477831709563551,0.8470956277919952
234x234,task_only,23,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,val,0.49206349206349204,0.49666305916305914,0.4900618253554092
234x234,task_only,37,mean_ce_bias0_reuse,l2_fixed250_linear,test,0.5753424657534246,0.5669927294927294,0.5682196616020146
234x234,task_only,37,mean_ce_bias0_reuse,l2_fixed250_linear,train,0.9965576592082617,0.996545584045584,0.9966520448207478
234x234,task_only,37,mean_ce_bias0_reuse,l2_fixed250_linear,val,0.6349206349206349,0.6324915824915824,0.6372140705721943
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_linear,test,0.541095890410959,0.5350732600732601,0.521038525118634
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_linear,train,0.9724612736660929,0.9705544349207379,0.9726274571281642
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_linear,val,0.5952380952380952,0.6005772005772005,0.598021501327128
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,test,0.4383561643835616,0.43974913974913976,0.4382648265731941
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,train,0.8932874354561101,0.8948759917432197,0.8944079249997038
234x234,task_only,37,mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,val,0.5079365079365079,0.5221260221260221,0.5160420540939105
234x234,task_only,37,mean_ce_bias1_with_bias,l2_fixed250_linear,test,0.5821917808219178,0.5691731879231878,0.5697282948676137
234x234,task_only,37,mean_ce_bias1_with_bias,l2_fixed250_linear,train,0.9965576592082617,0.996545584045584,0.9966520448207478
234x234,task_only,37,mean_ce_bias1_with_bias,l2_fixed250_linear,val,0.626984126984127,0.6325276575276576,0.6271648319583175
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_linear,test,0.5753424657534246,0.5655275280275279,0.5522733475674653
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_linear,train,0.9707401032702238,0.9690528092341788,0.971168339330362
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_linear,val,0.6190476190476191,0.6156565656565657,0.6186785436785437
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,test,0.4589041095890411,0.4547175047175047,0.44814578709646463
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,train,0.9259896729776248,0.9282260279647888,0.9275124407912066
234x234,task_only,37,mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,val,0.48412698412698413,0.4972582972582973,0.48035137269582534
