split,n,no_bias_ba_mean,no_bias_ba_std,bias_trained_with_bias_ba_mean,bias_trained_with_bias_ba_std,bias_trained_zero_bias_ba_mean,bias_trained_zero_bias_ba_std,total_bias_effect_mean,total_bias_effect_std,direct_readout_effect_mean,direct_readout_effect_std,e2e_training_effect_mean,e2e_training_effect_std,decomposition_error_mean,decomposition_error_std
test,3,0.5453532578532578,0.010733428437914931,0.516878723128723,0.03885008303670223,0.513526751026751,0.04171452642858812,-0.028474534724534744,0.02860486332277665,0.0033519721019720596,0.007062167580971928,-0.031826506826506805,0.03105021540133254,0.0,0.0
train,3,0.8517090861990445,0.07330192453157774,0.8186815111038395,0.15310351310581416,0.8129710450275937,0.16039374194540848,-0.033027575095205076,0.09434302194129975,0.005710466076245886,0.007331883195867719,-0.038738041171450965,0.10145033620471341,0.0,0.0
val,3,0.5587281545614878,0.0386377877779049,0.5602192560525894,0.05079414526988578,0.5204585537918871,0.062118975980657756,0.00149110149110158,0.01687553174184701,0.03976070226070231,0.014066229225021501,-0.03826960076960073,0.024162102561019666,0.0,0.0
