condition,probe,split,n,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
mean_ce_bias0_reuse,l2_fixed250_linear,test,3,0.6095890410958904,0.03492479118899166,0.5960102397602397,0.035543716560959934,0.5956456792341664,0.037730373115426555
mean_ce_bias0_reuse,l2_fixed250_linear,train,3,0.9529546758462422,0.06045096309866596,0.9512202652136628,0.06294781203227845,0.9534403002280349,0.05998018637638536
mean_ce_bias0_reuse,l2_fixed250_linear,val,3,0.6084656084656085,0.019797129030549934,0.6012245470578804,0.025493503054216025,0.6082346931951513,0.025155488687507426
mean_ce_bias0_reuse,l2_wholecount_linear,test,3,0.5684931506849314,0.025627790320369426,0.5576354201354201,0.022398590282351017,0.5478074705650124,0.02855535768435503
mean_ce_bias0_reuse,l2_wholecount_linear,train,3,0.9001721170395869,0.07494506387978397,0.8971345841523343,0.07719463124307609,0.90058142460511,0.07561257672329431
mean_ce_bias0_reuse,l2_wholecount_linear,val,3,0.5767195767195767,0.044109343916754126,0.5698112073112073,0.04610575465321358,0.5750560964833299,0.04171882452056058
mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,test,3,0.4748858447488584,0.025830384700878447,0.47130439005439007,0.02231694856948897,0.4708526477137456,0.02319884773661661
mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,train,3,0.8783706253585772,0.051679715547394346,0.880181694978476,0.05157225569093473,0.8797324332749773,0.05245815275143142
mean_ce_bias0_reuse,l2_wholecount_matched_biasfree,val,3,0.5291005291005292,0.019797129030549976,0.5355238896905563,0.02185789665990439,0.5289312614293196,0.014491345771128766
mean_ce_bias1_with_bias,l2_fixed250_linear,test,3,0.593607305936073,0.03179997323558017,0.5799922299922299,0.032227188083271074,0.5838262327460694,0.03332598874064876
mean_ce_bias1_with_bias,l2_fixed250_linear,train,3,0.934021801491681,0.0908840265138824,0.9305384469069184,0.0958012100557724,0.9335754825010207,0.09158129159979045
mean_ce_bias1_with_bias,l2_fixed250_linear,val,3,0.5952380952380952,0.02592052637865797,0.5886263427930095,0.04042761004869854,0.5896855599294976,0.03895146644918172
mean_ce_bias1_with_bias,l2_wholecount_linear,test,3,0.5639269406392694,0.02117264496688515,0.5518109205609205,0.02441624600041551,0.5407138053726072,0.031168088606828036
mean_ce_bias1_with_bias,l2_wholecount_linear,train,3,0.8950086058519794,0.1219968684796513,0.8913114525448566,0.12629700468848573,0.893399892145053,0.12488448746535438
mean_ce_bias1_with_bias,l2_wholecount_linear,val,3,0.6031746031746031,0.012960263189328984,0.599549062049062,0.011394688243774608,0.6069130470954779,0.012302534416265715
mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,test,3,0.4497716894977169,0.01797718692696761,0.44381197506197506,0.015686913723554165,0.4386301800544366,0.016692944415947212
mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,train,3,0.8668961560527825,0.04207392339024464,0.869645355655526,0.04186445437519504,0.8689444996767426,0.04185636938436077
mean_ce_bias1_with_bias,l2_wholecount_matched_biasfree,val,3,0.507936507936508,0.028246238761987626,0.5150853775853775,0.025633347542699005,0.5053215384708081,0.028721717559651392
