seed,probe,no_bias_test_ba,bias_trained_test_ba,bias_trained_minus_no_bias
11,l2_wholecount_matched_biasfree,0.48656343656343654,0.45509004884004883,-0.0314733877233877
11,l2_wholecount_linear,0.5881715506715507,0.5723956598956599,-0.01577589077589081
11,l2_fixed250_linear,0.646065046065046,0.6237436174936174,-0.022321428571428603
23,l2_wholecount_matched_biasfree,0.4876005938505938,0.4216283716283716,-0.06597222222222221
23,l2_wholecount_linear,0.5496614496614497,0.5175095737595737,-0.03215187590187596
23,l2_fixed250_linear,0.5749729437229437,0.5470598845598845,-0.027913059163059195
37,l2_wholecount_matched_biasfree,0.43974913974913976,0.4547175047175047,0.014968364968364956
37,l2_wholecount_linear,0.5350732600732601,0.5655275280275279,0.030454267954267866
37,l2_fixed250_linear,0.5669927294927294,0.5691731879231878,0.002180458430458443
