epoch,train_task_ce,val_task_ce,train_ba,val_ba
1.0,2.4653573036193848,2.447260856628418,0.10395258829221093,0.11990740740740741
2.0,2.3927176975342164,2.394075870513916,0.18264453313981613,0.15648148148148147
3.0,2.329014431794211,2.347878932952881,0.2817760576251142,0.21455026455026457
4.0,2.271473297769149,2.3066935539245605,0.35200872487359725,0.24636243386243387
5.0,2.218226017516985,2.2689478397369385,0.4087418656383695,0.25932539682539685
6.0,2.16662175314767,2.2314248085021973,0.4418438182804165,0.2982142857142857
7.0,2.116736791220056,2.1961281299591064,0.49905052935273986,0.31967893217893223
8.0,2.0683450155126866,2.1612749099731445,0.5501300028827314,0.36260822510822505
9.0,2.0215436304292664,2.127411365509033,0.5905899256708543,0.37851731601731603
10.0,1.9763214881571969,2.096376657485962,0.6213863929343519,0.38546176046176045
11.0,1.9329688649579704,2.066979169845581,0.641078989469301,0.38546176046176045
12.0,1.8912231610276817,2.037513017654419,0.6620184957211916,0.38546176046176045
13.0,1.8509472034063683,2.0088977813720703,0.6914493461332247,0.3924062049062049
14.0,1.812124493610428,1.982775092124939,0.7128714576209595,0.4138708513708514
15.0,1.7746168184198323,1.9573849439620972,0.7261378261654016,0.4208152958152958
16.0,1.738223396151899,1.9337297677993774,0.744990475379686,0.4208152958152958
17.0,1.7033595388399345,1.9119958877563477,0.7491625030732191,0.42775974025974023
18.0,1.669694047376334,1.8904614448547363,0.7695821757442357,0.42775974025974023
19.0,1.6372009138232049,1.8689624071121216,0.7743316995929087,0.4485930735930736
20.0,1.6057284434362862,1.847681999206543,0.7881476546735727,0.4604978354978355
21.0,1.5753104980143746,1.8269251585006714,0.8138723587018791,0.47177128427128423
22.0,1.5462533732084316,1.808472752571106,0.8188527731248111,0.46575276575276575
23.0,1.5180050963583993,1.7900470495224,0.8234456703277712,0.4607924482924483
24.0,1.4904608455664525,1.7729229927062988,0.8256803569374579,0.4839405964405965
25.0,1.463956644530961,1.75594162940979,0.8300025159085731,0.49584535834535837
26.0,1.4383155501442808,1.7408771514892578,0.8375392806144554,0.49584535834535837
27.0,1.4134122186601674,1.725904941558838,0.8440343786536709,0.48195646945646947
28.0,1.3893474319920893,1.7111284732818604,0.8387933655817755,0.49584535834535837
29.0,1.366269506809018,1.6975772380828857,0.8600783879539264,0.5027898027898028
30.0,1.3437007587665946,1.6839269399642944,0.8636308115885765,0.49584535834535837
31.0,1.321850396679929,1.669416904449463,0.8727606628673842,0.5027898027898028
32.0,1.3006152400871973,1.6548786163330078,0.8753871750263155,0.5027898027898028
33.0,1.280183204685349,1.6432040929794312,0.8753871750263155,0.5027898027898028
34.0,1.2602112065494162,1.6320502758026123,0.8737531880982109,0.5027898027898028
35.0,1.2409077759659024,1.6205881834030151,0.8770538416929821,0.5027898027898028
36.0,1.2221801744681011,1.6089143753051758,0.8789170406762792,0.5014009139009138
37.0,1.2040418240781905,1.5983836650848389,0.8822164373580287,0.5014009139009138
38.0,1.1863115859729287,1.5890560150146484,0.883759647234572,0.5014009139009138
39.0,1.1691450160669994,1.5805599689483643,0.8852915099796701,0.489496151996152
40.0,1.1524866104331155,1.5710796117782593,0.8885999481348064,0.489496151996152
41.0,1.136373196842338,1.561900019645691,0.8869659612067018,0.489496151996152
42.0,1.1206667384264186,1.5508424043655396,0.8866674443640673,0.4819203944203943
43.0,1.1055081212787332,1.5422953367233276,0.88528801855461,0.4819203944203943
44.0,1.0906416735837874,1.533692479133606,0.8853901427376165,0.4938251563251563
45.0,1.0762826745973808,1.5255926847457886,0.8911938517011957,0.4938251563251563
46.0,1.062267187642969,1.5173728466033936,0.8923388138676631,0.5057299182299182
47.0,1.0487748909735228,1.5104862451553345,0.895026985910674,0.5057299182299182
48.0,1.0356158108391162,1.5038925409317017,0.8965701957872172,0.5057299182299182
49.0,1.0227620386215577,1.4960230588912964,0.895548690410873,0.5126743626743626
50.0,1.0101458296923547,1.4896782636642456,0.895548690410873,0.5126743626743626
51.0,0.997916671166937,1.4842321872711182,0.8971826773389776,0.5126743626743626
52.0,0.9860492546669177,1.4778006076812744,0.8987525617029797,0.4938251563251563
53.0,0.9744438098137638,1.4712653160095215,0.899806746817886,0.4938251563251563
54.0,0.9632071824984788,1.4646198749542236,0.9030432978485545,0.4938251563251563
55.0,0.9522350375090122,1.458505630493164,0.9003551258055437,0.4938251563251563
56.0,0.9414623174527836,1.4537700414657593,0.9003551258055437,0.5007696007696008
