metric,D_mixed_to_raw,D_mixed_to_reconstruction
CNN_test_balanced_accuracy,0.4863215488215488,0.3357683982683983
CNN_test_accuracy,0.5118110236220472,0.3543307086614173
CNN_test_macro_f1,0.45328253949572317,0.3112220509938563
kNN_selected_k,10.0,10.0
kNN_test_balanced_accuracy,0.5131673881673883,0.3605098605098605
kNN_test_accuracy,0.5354330708661418,0.3779527559055118
kNN_test_macro_f1,0.48270659085087403,0.32472610722610723
prototype_test_balanced_accuracy,0.49434824434824437,0.3189333814333814
prototype_test_accuracy,0.5118110236220472,0.33070866141732286
prototype_test_macro_f1,0.46342940092940094,0.2965396520927212
linear_probe_test_balanced_accuracy,0.5128367003367004,0.36516955266955264
linear_probe_test_accuracy,0.5354330708661418,0.36220472440944884
linear_probe_test_macro_f1,0.4814786967418547,0.33316655718158766
retrieval_macro_mAP,0.3768221448889612,0.23544394460483012
retrieval_micro_mAP,0.39028961084187147,0.24274102071345635
SameLabel_macro_at_1,0.5167448292448292,0.30462361712361713
SameLabel_micro_at_1,0.5354330708661418,0.3228346456692913
D_intra_macro,0.05638309906838206,0.07574706758229939
D_inter_centroids,0.06682808697223663,0.03423229977488518
D_inter_over_D_intra,1.185250333437712,0.45192904315721216
NMI_arithmetic,0.6113119318115411,0.3869194853660208
ARI,0.39244690483025707,0.11736491777603758
silhouette_macro,0.07314182240710047,-0.10676595435116289
silhouette_micro,0.08513727945072105,-0.0996939564947773
