condition,seed,ablation,replicate,test_balanced_accuracy,test_accuracy,test_macro_f1,test_loss,what_selector_firing_fraction,when_selector_firing_fraction,conjunction_firing_fraction,residual_mean_abs_logit,residual_abs_max
direct_what_plus_constrained_when_residual,11,ordered,0,0.4599574037074037,0.4657534246575342,0.44007559506118277,3.782853518446831,0.2646911499751491,0.04371880694996687,0.02099641732935719,0.39419575260110096,3.1455414295196533
direct_what_plus_constrained_when_residual,11,reset_when,0,0.44606851481851484,0.4520547945205479,0.428898520379279,3.8226413334885687,0.2646911499751491,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,11,when_zero,0,0.44606851481851484,0.4520547945205479,0.428898520379279,3.8226413334885687,0.2646911499751491,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,11,when_shuffle,0,0.4613462925962926,0.4657534246575342,0.4416333982273261,3.775929810249642,0.2646911499751491,0.04371880694996687,0.014119708830351225,0.28601690405580005,2.274785041809082
direct_what_plus_constrained_when_residual,11,when_shuffle,1,0.44706057831057827,0.4520547945205479,0.4292971935378122,3.7838545956023752,0.2646911499751491,0.04371880694996687,0.01414430086149768,0.2831374847725646,2.4505133628845215
direct_what_plus_constrained_when_residual,11,when_shuffle,2,0.4553939116439116,0.4589041095890411,0.43637894429521557,3.7858963535256582,0.2646911499751491,0.04371880694996687,0.014331976888667991,0.2842138804257188,2.431976318359375
direct_what_plus_constrained_when_residual,11,when_shuffle,3,0.4553939116439116,0.4589041095890411,0.4359994376538494,3.7708784782723206,0.2646911499751491,0.04371880694996687,0.014043991260768721,0.2813097592358175,2.382009744644165
direct_what_plus_constrained_when_residual,11,when_shuffle,4,0.4553939116439116,0.4589041095890411,0.43637894429521557,3.7856007144875723,0.2646911499751491,0.04371880694996687,0.014074407720344599,0.2831505292082486,2.2963523864746094
direct_what_plus_constrained_when_residual,11,when_circular_shift,0,0.44844946719946716,0.4520547945205479,0.42974495736711105,3.7661575095294273,0.2646911499751491,0.04371880694996687,0.010200515656063619,0.26185487067862734,2.686873435974121
direct_what_plus_constrained_when_residual,11,residual_what_zero,0,0.44606851481851484,0.4520547945205479,0.428898520379279,3.8226413334885687,0.0,0.04371880694996687,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,23,ordered,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.6819745588966203,0.0,0.0
direct_what_plus_constrained_when_residual,23,reset_when,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_zero,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_shuffle,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.5409470261762757,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_shuffle,1,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.541827162027833,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_shuffle,2,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.5437997017892644,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_shuffle,3,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.5438132921222664,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_shuffle,4,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.5387557467693836,0.0,0.0
direct_what_plus_constrained_when_residual,23,when_circular_shift,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.7278173407471835,0.725259122349238,0.49564009174121937,0.0,0.0
direct_what_plus_constrained_when_residual,23,residual_what_zero,0,0.49152375402375403,0.5,0.4782795211726008,3.656548663361432,0.0,0.725259122349238,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,37,ordered,0,0.48819583194583194,0.4863013698630137,0.4822008908965431,3.0684828856219983,0.31738151818257127,0.02173547258117959,0.010518917743538768,0.19034608205159506,3.534822463989258
direct_what_plus_constrained_when_residual,37,reset_when,0,0.48224345099345095,0.4794520547945205,0.4751215211991074,3.1000244454161763,0.31738151818257127,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,37,when_zero,0,0.48224345099345095,0.4794520547945205,0.4751215211991074,3.1000244454161763,0.31738151818257127,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,37,when_shuffle,0,0.48819583194583194,0.4863013698630137,0.4822008908965431,3.0741815958937555,0.31738151818257127,0.02173547258117959,0.007898572109012592,0.14521334595876198,2.9844565391540527
direct_what_plus_constrained_when_residual,37,when_shuffle,1,0.48819583194583194,0.4863013698630137,0.4822008908965431,3.073522633069182,0.31738151818257127,0.02173547258117959,0.00796134650430749,0.14596999943528546,2.9798409938812256
direct_what_plus_constrained_when_residual,37,when_shuffle,2,0.48819583194583194,0.4863013698630137,0.4817035905271199,3.0736150284336037,0.31738151818257127,0.02173547258117959,0.00787786303015242,0.14489316069372168,2.7745590209960938
direct_what_plus_constrained_when_residual,37,when_shuffle,3,0.48819583194583194,0.4863013698630137,0.4817035905271199,3.073379875862435,0.31738151818257127,0.02173547258117959,0.007908926648442676,0.14435359386548605,2.8293981552124023
direct_what_plus_constrained_when_residual,37,when_shuffle,4,0.48819583194583194,0.4863013698630137,0.4822008908965431,3.0705560658076037,0.31738151818257127,0.02173547258117959,0.007988527170311465,0.1472494896144083,2.907010555267334
direct_what_plus_constrained_when_residual,37,when_circular_shift,0,0.48819583194583194,0.4863013698630137,0.48152281451301066,3.0774072914907378,0.31738151818257127,0.02173547258117959,0.005177916873757456,0.09328753872004818,2.0690500736236572
direct_what_plus_constrained_when_residual,37,residual_what_zero,0,0.48224345099345095,0.4794520547945205,0.4751215211991074,3.1000244454161763,0.0,0.02173547258117959,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,53,ordered,0,0.5010454822954823,0.5136986301369864,0.4903663699779428,3.8331105219174737,0.3412752650762094,0.10173982148774023,0.04277136659211398,1.3812452864973512,22.363264083862305
direct_what_plus_constrained_when_residual,53,reset_when,0,0.49863955488955486,0.5068493150684932,0.48847663109282297,3.7158060661733967,0.3412752650762094,1.617896785950961e-05,9.707380715705766e-06,0.0015733443438734637,0.1471557319164276
direct_what_plus_constrained_when_residual,53,when_zero,0,0.49863955488955486,0.5068493150684932,0.48847663109282297,3.7158522605895996,0.3412752650762094,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,53,when_shuffle,0,0.49463522588522585,0.5068493150684932,0.4846345911003839,3.7977663458210147,0.3412752650762094,0.10173982148774023,0.03349369926275679,1.0930455177341967,18.94910430908203
direct_what_plus_constrained_when_residual,53,when_shuffle,1,0.49463522588522585,0.5068493150684932,0.4846345911003839,3.8142480001057666,0.3412752650762094,0.10173982148774023,0.03403925405897946,1.104533008244484,18.09764862060547
direct_what_plus_constrained_when_residual,53,when_shuffle,2,0.49463522588522585,0.5068493150684932,0.4846345911003839,3.796171547615365,0.3412752650762094,0.10173982148774023,0.03371632186050365,1.1092010219347532,18.855533599853516
direct_what_plus_constrained_when_residual,53,when_shuffle,3,0.5005876068376068,0.5136986301369864,0.49022414725094987,3.796474136718332,0.3412752650762094,0.10173982148774023,0.034124031850563286,1.1040794337721176,20.567340850830078
direct_what_plus_constrained_when_residual,53,when_shuffle,4,0.49463522588522585,0.5068493150684932,0.4846345911003839,3.8190203235573965,0.3412752650762094,0.10173982148774023,0.03392729560139165,1.0931261750661074,19.23931312561035
direct_what_plus_constrained_when_residual,53,when_circular_shift,0,0.4757860195360195,0.4863013698630137,0.46506017286868556,3.8224966493371415,0.3412752650762094,0.10173982148774023,0.030303206800861498,1.1378023940134265,18.949665069580078
direct_what_plus_constrained_when_residual,53,residual_what_zero,0,0.49863955488955486,0.5068493150684932,0.48847663109282297,3.7158522605895996,0.0,0.10173982148774023,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,71,ordered,0,0.4084179709179709,0.4246575342465753,0.4017304555348033,3.4177311871149767,0.46915382703777336,0.08493828694499668,0.056430298417826374,1.2301489599219195,13.491065979003906
direct_what_plus_constrained_when_residual,71,reset_when,0,0.43863775113775105,0.4589041095890411,0.4352464494569757,3.4084050753345227,0.46915382703777336,6.471587143803844e-07,6.471587143803844e-07,0.0001549307239926569,0.12000644952058792
direct_what_plus_constrained_when_residual,71,when_zero,0,0.43863775113775105,0.4589041095890411,0.4352464494569757,3.4084750332244456,0.46915382703777336,0.0,0.0,0.0,0.0
direct_what_plus_constrained_when_residual,71,when_shuffle,0,0.417308386058386,0.4383561643835616,0.4114073777541107,3.4545565370011,0.46915382703777336,0.08493828694499668,0.0437045694582505,0.825499077365823,10.3165283203125
direct_what_plus_constrained_when_residual,71,when_shuffle,1,0.43020521145521134,0.4520547945205479,0.4238066398304827,3.40425794418544,0.46915382703777336,0.08493828694499668,0.04374210466368456,0.8221676708900765,9.638764381408691
direct_what_plus_constrained_when_residual,71,when_shuffle,2,0.4308365245865245,0.4520547945205479,0.4228583000202503,3.444324499940219,0.46915382703777336,0.08493828694499668,0.043720748426110005,0.8486587925044369,9.081228256225586
direct_what_plus_constrained_when_residual,71,when_shuffle,3,0.417308386058386,0.4383561643835616,0.40966934778501485,3.4593954478224664,0.46915382703777336,0.08493828694499668,0.04358872804837641,0.8218588284705872,9.003840446472168
direct_what_plus_constrained_when_residual,71,when_shuffle,4,0.429844461094461,0.4520547945205479,0.42033816581373507,3.428260136957038,0.46915382703777336,0.08493828694499668,0.04310206469516236,0.8243247951002426,9.129549026489258
direct_what_plus_constrained_when_residual,71,when_circular_shift,0,0.4195630758130758,0.4383561643835616,0.41224684657665406,3.605503265171835,0.46915382703777336,0.08493828694499668,0.04260957691351889,0.8670266556413206,6.712822437286377
direct_what_plus_constrained_when_residual,71,residual_what_zero,0,0.43863775113775105,0.4589041095890411,0.4352464494569757,3.4084750332244456,0.0,0.08493828694499668,0.0,0.0,0.0
